MIDL 32Re Data for 1998-08 (GSM nT, km/s, cm^-3, K)
yr mo dy hr mn sc msc bx by bz ux uy uz rho T B_interp Ux_interp Uyz_interp rho_interp T_interp
#START
1998  8  1 18 50  0    0    -0.67    -7.97     0.27    -437.9    -22.09    -35.95    21.416      18254    0    0    0    0    0
1998  8  1 18 51  0    0    -0.17    -8.83    -0.79    -442.7     -9.96    -28.69    16.018      13392    0    0    0    0    0
1998  8  1 18 52  0    0     0.15    -8.86    -1.31    -442.9     -8.40    -27.32    15.688      13239    0    0    0    0    0
1998  8  1 18 53  0    0     0.42    -9.04    -1.23    -442.4     -8.89    -26.46    14.973      12747    0    0    0    0    0
1998  8  1 18 54  0    0     0.56    -9.25    -1.06    -441.3     -9.67    -26.46    14.089      12210    0    0    0    0    0
1998  8  1 18 55  0    0     0.55    -9.31    -0.82    -441.0     -9.85    -26.61    13.208      11995    0    0    0    0    0
1998  8  1 18 56  0    0     0.49    -9.37    -0.22    -440.5     -9.51    -27.44    13.208      11962    0    0    0    0    0
1998  8  1 18 57  0    0     0.39    -9.40     1.12    -440.5     -7.98    -29.08    12.759      11818    0    0    0    0    0
1998  8  1 18 58  0    0     0.49    -9.53     0.99    -440.7     -7.62    -29.12    10.824      12199    0    0    0    0    0
1998  8  1 18 59  0    0     0.39    -9.61     0.43    -440.7     -6.77    -28.62    10.479      13579    0    0    0    0    0
1998  8  1 19  0  0    0     0.37    -9.68     0.02    -440.1     -8.44    -26.94     9.349      13579    0    0    0    0    0
1998  8  1 19  1  0    0     0.23    -9.75    -0.03    -438.4     -8.44    -26.94     9.275      13579    0    0    0    0    0
1998  8  1 19  2  0    0    -0.06    -9.78    -0.26    -437.5     -8.44    -28.14     7.839      13827    0    0    0    0    0
1998  8  1 19  3  0    0    -0.11    -9.79    -0.40    -438.2     -3.98    -29.59     7.349      13871    0    0    0    0    0
1998  8  1 19  4  0    0    -0.06    -9.79    -0.41    -436.8     -3.62    -29.69     7.008      14129    0    0    0    0    0
1998  8  1 19  5  0    0     0.23    -9.80     0.11    -436.8     -5.36    -26.86     6.791      14208    0    0    0    0    0
