Corrected IMF based on L1.dat
yr mo dy hr mn sc ms bx by bz ux uy uz rho T
#START
2019 08 04 00 55 00   0       2.49       1.34      -0.50     347.45       0.00       0.00       4.16     29016.40
2019 08 04 00 56 00   0       2.58       1.39      -0.44     341.82       0.00       0.00       4.59     24535.30
2019 08 04 00 57 00   0       2.48       1.29      -0.54     353.07       0.00       0.00       3.21     72751.60
2019 08 04 00 58 00   0       2.39       1.43      -0.71     354.78       0.00       0.00       4.14     52603.60
2019 08 04 00 59 00   0       2.38       1.48      -0.69     342.84       0.00       0.00       3.17     29267.00
2019 08 04 01 00 00   0       2.42       1.64      -0.51     354.79       0.00       0.00       4.56     53891.10
2019 08 04 01 01 00   0       2.44       1.37      -0.61     352.10       0.00       0.00       3.89     37442.00
2019 08 04 01 02 00   0       2.48       1.12      -0.66     349.65       0.00       0.00       3.82     40044.00
2019 08 04 01 03 00   0       2.50       1.21      -0.52     352.30       0.00       0.00       4.23     35798.00
2019 08 04 01 04 00   0       2.51       1.40      -0.40     349.61       0.00       0.00       4.05     34929.80
2019 08 04 01 05 00   0       2.39       1.35      -0.47     350.77       0.00       0.00       4.05     34248.90
2019 08 04 01 06 00   0       2.38       1.37      -0.57     351.94       0.00       0.00       4.35     35789.40
2019 08 04 01 07 00   0       2.45       1.33      -0.37     352.56       0.00       0.00       4.38     38400.90
2019 08 04 01 08 00   0       2.22       1.69      -0.41     352.40       0.00       0.00       4.44     35298.00
2019 08 04 01 09 00   0       2.27       1.58      -0.50     349.94       0.00       0.00       4.33     31389.30
2019 08 04 01 10 00   0       2.08       1.76      -0.35     348.52       0.00       0.00       3.84     33303.70
2019 08 04 01 11 00   0       2.31       1.55      -0.39     350.14       0.00       0.00       3.72     36713.20
2019 08 04 01 12 00   0       2.64       0.86      -0.74     347.47       0.00       0.00       3.44     48548.40
2019 08 04 01 13 00   0       2.40       1.34      -0.43     343.55       0.00       0.00       2.52     75484.00
2019 08 04 01 14 00   0       1.90       2.06       0.14     351.89       0.00       0.00       3.82     65312.70
2019 08 04 01 15 00   0       1.89       2.03      -0.01     347.90       0.00       0.00       3.41     35314.90
2019 08 04 01 16 00   0       2.53       0.99      -0.42     342.41       0.00       0.00       3.34     23304.40
2019 08 04 01 17 00   0       2.55       0.83      -0.46     353.24       0.00       0.00       4.25     53255.70
2019 08 04 01 18 00   0       2.56       0.74      -0.47     352.19       0.00       0.00       4.20     51769.00
2019 08 04 01 19 00   0       2.61       0.68      -0.33     348.70       0.00       0.00       3.73     38834.20
2019 08 04 01 20 00   0       2.26       1.03      -0.24     349.37       0.00       0.00       3.97     45663.80
2019 08 04 01 21 00   0       2.23       1.42      -0.06     349.83       0.00       0.00       4.08     48878.10
2019 08 04 01 22 00   0       2.00       1.61       0.04     353.09       0.00       0.00       5.28     33390.30
2019 08 04 01 23 00   0       1.65       1.64       0.37     354.20       0.00       0.00       5.84     34258.70
2019 08 04 01 24 00   0       1.70       1.59       0.30     353.27       0.00       0.00       6.14     30252.10
2019 08 04 01 25 00   0       1.43       2.08       0.53     352.68       0.00       0.00       5.81     23072.00
2019 08 04 01 26 00   0       1.55       1.81       0.36     353.98       0.00       0.00       5.65     22158.00
2019 08 04 01 27 00   0       1.69       1.62       0.27     353.99       0.00       0.00       6.13     29608.50
2019 08 04 01 28 00   0       1.58       1.76       0.33     356.02       0.00       0.00       6.79     35377.20
2019 08 04 01 29 00   0       1.48       1.86       0.38     350.59       0.00       0.00       5.20     22369.60
2019 08 04 01 30 00   0       1.50       1.89       0.35     339.70       0.00       0.00       3.00     17268.50
2019 08 04 01 31 00   0       1.62       1.85       0.31     352.31       0.00       0.00       5.79     25822.50
2019 08 04 01 32 00   0       1.64       1.75       0.31     355.06       0.00       0.00       6.18     28335.80
2019 08 04 01 33 00   0       1.72       1.79       0.31     339.66       0.00       0.00       3.13     13572.10
2019 08 04 01 34 00   0       1.58       1.83       0.32     350.18       0.00       0.00       5.56     23910.70
2019 08 04 01 35 00   0       1.50       1.84       0.39     351.75       0.00       0.00       5.61     25760.20
2019 08 04 01 36 00   0       1.54       1.75       0.23     351.42       0.00       0.00       6.20     25553.70
