MAG 16-second Averaged Interplanetary Magnetic Field Data, GSE
year doy hr min sec Bx By Bz 
2020 111  0  0 13.043   -1.130    1.888   -0.954
2020 111  0  0 29.043   -1.192    1.816   -0.998
2020 111  0  0 45.043   -1.139    1.858   -0.986
2020 111  0  1  1.043   -1.072    1.855   -0.983
2020 111  0  1 17.043   -1.183    1.844   -0.809
2020 111  0  1 33.043   -1.277    1.728   -0.902
2020 111  0  1 49.042   -1.263    1.889   -0.735
2020 111  0  2  5.042   -1.313    1.775   -0.808
2020 111  0  2 21.042   -1.468    1.759   -0.676
2020 111  0  2 37.042   -1.335    1.827   -0.714
2020 111  0  2 53.042   -1.267    1.808   -0.813
2020 111  0  3  9.042   -1.367    1.835   -0.767
2020 111  0  3 25.042   -1.278    1.799   -0.731
2020 111  0  3 41.042   -1.327    1.778   -0.790
2020 111  0  3 57.042   -1.396    1.752   -0.784
2020 111  0  4 13.042   -1.265    1.798   -0.844
2020 111  0  4 29.042   -1.389    1.730   -0.793
2020 111  0  4 45.042   -1.143    1.876   -0.883
2020 111  0  5  1.042   -1.246    1.819   -0.909
2020 111  0  5 17.042   -1.314    1.825   -0.915
2020 111  0  5 33.042   -1.220    1.822   -0.893
2020 111  0  5 49.042   -1.245    1.735   -0.905
2020 111  0  6  5.042   -1.226    1.835   -0.796
2020 111  0  6 21.042   -1.284    1.759   -0.929
2020 111  0  6 37.042   -1.408    1.734   -0.831
2020 111  0  6 53.042   -1.240    1.835   -0.836
2020 111  0  7  9.042   -1.229    1.840   -0.926
2020 111  0  7 25.042   -1.330    1.790   -0.983
2020 111  0  7 41.042   -1.272    1.802   -0.998
2020 111  0  7 57.042   -1.253    1.806   -1.003
2020 111  0  8 13.042   -1.286    1.851   -0.875
2020 111  0  8 29.042   -1.217    1.881   -0.852
2020 111  0  8 45.042   -1.065    1.838   -1.084
2020 111  0  9  1.042   -1.091    1.750   -1.069
2020 111  0  9 17.042   -1.048    1.860   -1.013
2020 111  0  9 33.042   -1.014    1.782   -1.159
2020 111  0  9 49.042   -1.069    1.776   -1.110
2020 111  0 10  5.041   -0.959    1.764   -1.199
2020 111  0 10 21.041   -1.018    1.842   -1.076
2020 111  0 10 37.041   -1.088    1.763   -1.165
2020 111  0 10 53.041   -1.043    1.890   -1.006
2020 111  0 11  9.041   -1.146    1.827   -1.134
2020 111  0 11 25.041   -1.115    1.980   -1.028
2020 111  0 11 41.041   -1.144    1.910   -1.082
2020 111  0 11 57.041   -1.169    1.962   -1.042
2020 111  0 12 13.041   -1.195    1.991   -1.008
2020 111  0 12 29.041   -1.188    2.056   -0.905
2020 111  0 12 45.041   -1.252    2.006   -0.848
2020 111  0 13  1.041   -1.045    2.067   -0.807
2020 111  0 13 17.041   -1.044    2.085   -0.821
2020 111  0 13 33.041   -1.186    2.027   -0.739
2020 111  0 13 49.041   -1.279    1.900   -0.794
2020 111  0 14  5.041   -1.132    2.000   -0.830
2020 111  0 14 21.041   -1.079    1.969   -1.046
2020 111  0 14 37.041   -1.192    1.974   -0.989
2020 111  0 14 53.041   -1.095    2.017   -0.966
2020 111  0 15  9.041   -1.056    2.070   -0.974
2020 111  0 15 25.041   -1.156    2.012   -0.955
2020 111  0 15 41.041   -1.270    1.916   -1.033
2020 111  0 15 57.041   -1.321    1.900   -1.017
2020 111  0 16 13.041   -1.271    1.932   -1.045
2020 111  0 16 29.041   -1.239    1.946   -1.024
2020 111  0 16 45.041   -1.139    2.024   -0.994
2020 111  0 17  1.041   -1.108    1.995   -0.996
2020 111  0 17 17.041   -1.116    1.994   -0.917
2020 111  0 17 33.041   -1.299    1.916   -0.962
2020 111  0 17 49.041   -1.245    1.912   -0.980
2020 111  0 18  5.040   -1.198    1.992   -1.062
2020 111  0 18 21.040   -1.234    1.970   -1.018
2020 111  0 18 37.040   -1.114    1.989   -1.033
2020 111  0 18 53.040   -1.005    1.979   -1.177
2020 111  0 19  9.040   -1.004    2.050   -1.043
2020 111  0 19 25.040   -1.066    1.979   -1.115
2020 111  0 19 41.040   -1.101    1.919   -1.105
2020 111  0 19 57.040   -1.152    1.908   -1.053
2020 111  0 20 13.040   -1.003    1.978   -0.999
2020 111  0 20 29.040   -1.062    1.915   -1.136
2020 111  0 20 45.040   -0.991    1.964   -1.013
2020 111  0 21  1.040   -1.050    1.963   -1.103
2020 111  0 21 17.040   -1.103    1.926   -1.055
2020 111  0 21 33.040   -1.053    1.964   -1.099
2020 111  0 21 49.040   -1.009    2.024   -0.990
2020 111  0 22  5.040   -0.946    2.021   -1.072
2020 111  0 22 21.040   -1.036    1.980   -1.072
2020 111  0 22 37.040   -0.994    1.944   -1.027
2020 111  0 22 53.040   -1.108    1.905   -1.087
2020 111  0 23  9.040   -1.038    1.917   -1.107
2020 111  0 23 25.040   -0.930    2.030   -1.070
2020 111  0 23 41.040   -1.037    1.971   -1.048
2020 111  0 23 57.040   -1.116    1.903   -1.050
2020 111  0 24 13.040   -0.998    1.917   -1.082
2020 111  0 24 29.040   -0.994    1.987   -1.191
2020 111  0 24 45.040   -0.903    2.030   -1.119
2020 111  0 25  1.040   -0.905    1.916   -1.221
2020 111  0 25 17.040   -1.116    1.844   -1.181
2020 111  0 25 33.040   -1.158    1.907   -0.975
2020 111  0 25 49.039   -1.121    1.846   -1.089
2020 111  0 26  5.039   -1.046    1.924   -1.108
2020 111  0 26 21.039   -0.882    2.021   -1.064
2020 111  0 26 37.039   -0.908    1.947   -1.176
2020 111  0 26 53.039   -1.047    1.866   -1.183
2020 111  0 27  9.039   -0.951    2.017   -1.089
2020 111  0 27 25.039   -1.111    1.898   -1.139
2020 111  0 27 41.039   -1.158    1.939   -1.082
2020 111  0 27 57.039   -0.979    1.856   -1.411
2020 111  0 28 13.039   -1.380    1.838   -0.850
2020 111  0 28 29.039   -1.262    1.930   -0.914
2020 111  0 28 45.039   -1.194    1.902   -1.062
2020 111  0 29  1.039   -1.269    1.924   -0.916
2020 111  0 29 17.039   -1.273    1.915   -0.892
2020 111  0 29 33.039   -1.271    1.872   -0.991
2020 111  0 29 49.039   -1.279    1.881   -0.843
2020 111  0 30  5.039   -1.085    2.033   -0.848
2020 111  0 30 21.039   -1.243    1.760   -1.085
2020 111  0 30 37.039   -1.328    1.801   -0.821
2020 111  0 30 53.039   -1.379    1.751   -0.863
2020 111  0 31  9.039   -1.092    1.931   -0.963
2020 111  0 31 25.039   -1.297    1.815   -0.969
2020 111  0 31 41.039   -1.357    1.893   -0.831
2020 111  0 31 57.039   -1.288    1.787   -1.093
2020 111  0 32 13.039   -1.300    1.894   -1.020
2020 111  0 32 29.039   -1.313    1.877   -0.962
2020 111  0 32 45.039   -1.315    1.899   -0.916
2020 111  0 33  1.039   -1.418    1.890   -0.775
2020 111  0 33 17.039   -1.359    1.824   -0.826
2020 111  0 33 33.039   -1.105    1.847   -0.960
2020 111  0 33 49.038   -1.216    1.821   -1.024
2020 111  0 34  5.038   -1.206    1.870   -1.033
2020 111  0 34 21.038   -1.271    1.901   -0.996
2020 111  0 34 37.038   -1.219    1.910   -0.994
2020 111  0 34 53.038   -1.239    1.956   -1.035
2020 111  0 35  9.038   -1.211    1.891   -0.941
