Downloaded from SuperMag. SMR is renamed to dst_sm. Added msc column so making SmrHourly can work.
year	month	day	hour	min	sec msc	dst_sm
2024	05	10	10	23	0  0	27.6
2024	05	10	10	24	0  0	27.4
2024	05	10	10	25	0  0	27.3
2024	05	10	10	26	0  0	27.0
2024	05	10	10	27	0  0	27.1
2024	05	10	10	28	0  0	26.8
2024	05	10	10	29	0  0	26.5
2024	05	10	10	30	0  0	26.3
2024	05	10	10	31	0  0	25.6
2024	05	10	10	32	0  0	25.0
2024	05	10	10	33	0  0	24.7
2024	05	10	10	34	0  0	24.5
2024	05	10	10	35	0  0	24.8
2024	05	10	10	36	0  0	25.3
2024	05	10	10	37	0  0	25.8
2024	05	10	10	38	0  0	26.3
2024	05	10	10	39	0  0	26.6
2024	05	10	10	40	0  0	26.8
2024	05	10	10	41	0  0	26.4
2024	05	10	10	42	0  0	26.0
2024	05	10	10	43	0  0	25.8
2024	05	10	10	44	0  0	25.6
2024	05	10	10	45	0  0	25.5
2024	05	10	10	46	0  0	25.8
2024	05	10	10	47	0  0	25.7
2024	05	10	10	48	0  0	25.6
2024	05	10	10	49	0  0	25.3
2024	05	10	10	50	0  0	24.8
2024	05	10	10	51	0  0	24.1
2024	05	10	10	52	0  0	23.0
2024	05	10	10	53	0  0	21.7
2024	05	10	10	54	0  0	20.8
2024	05	10	10	55	0  0	20.2
2024	05	10	10	56	0  0	19.8
2024	05	10	10	57	0  0	19.4
2024	05	10	10	58	0  0	19.2
2024	05	10	10	59	0  0	18.7
2024	05	10	11	00	0  0	18.1
2024	05	10	11	01	0  0	17.7
2024	05	10	11	02	0  0	17.5
2024	05	10	11	03	0  0	17.2
2024	05	10	11	04	0  0	17.2
2024	05	10	11	05	0  0	17.4
2024	05	10	11	06	0  0	17.8
2024	05	10	11	07	0  0	18.8
2024	05	10	11	08	0  0	19.5
2024	05	10	11	09	0  0	19.2
2024	05	10	11	10	0  0	18.8
2024	05	10	11	11	0  0	18.7
2024	05	10	11	12	0  0	18.2
2024	05	10	11	13	0  0	17.7
2024	05	10	11	14	0  0	17.3
2024	05	10	11	15	0  0	17.4
2024	05	10	11	16	0  0	17.5
2024	05	10	11	17	0  0	17.6
2024	05	10	11	18	0  0	18.1
2024	05	10	11	19	0  0	18.2
2024	05	10	11	20	0  0	18.6
2024	05	10	11	21	0  0	19.0
2024	05	10	11	22	0  0	19.0
2024	05	10	11	23	0  0	19.1
2024	05	10	11	24	0  0	19.2
2024	05	10	11	25	0  0	19.4
2024	05	10	11	26	0  0	19.2
2024	05	10	11	27	0  0	18.9
2024	05	10	11	28	0  0	18.6
2024	05	10	11	29	0  0	18.2
2024	05	10	11	30	0  0	18.4
2024	05	10	11	31	0  0	18.1
2024	05	10	11	32	0  0	17.7
2024	05	10	11	33	0  0	17.1
2024	05	10	11	34	0  0	16.6
2024	05	10	11	35	0  0	16.5
2024	05	10	11	36	0  0	16.7
2024	05	10	11	37	0  0	16.4
2024	05	10	11	38	0  0	16.1
2024	05	10	11	39	0  0	15.7
2024	05	10	11	40	0  0	15.2
2024	05	10	11	41	0  0	14.9
2024	05	10	11	42	0  0	14.9
2024	05	10	11	43	0  0	14.8
2024	05	10	11	44	0  0	14.9
2024	05	10	11	45	0  0	14.7
2024	05	10	11	46	0  0	14.6
2024	05	10	11	47	0  0	14.4
2024	05	10	11	48	0  0	14.1
2024	05	10	11	49	0  0	14.2
2024	05	10	11	50	0  0	13.8
2024	05	10	11	51	0  0	14.0
2024	05	10	11	52	0  0	14.4
2024	05	10	11	53	0  0	14.9
2024	05	10	11	54	0  0	14.9
2024	05	10	11	55	0  0	14.5
2024	05	10	11	56	0  0	14.3
2024	05	10	11	57	0  0	13.6
2024	05	10	11	58	0  0	13.3
2024	05	10	11	59	0  0	12.9
2024	05	10	12	00	0  0	12.4
2024	05	10	12	01	0  0	12.6
2024	05	10	12	02	0  0	13.1
2024	05	10	12	03	0  0	13.2
2024	05	10	12	04	0  0	13.1
2024	05	10	12	05	0  0	13.1
2024	05	10	12	06	0  0	12.9
2024	05	10	12	07	0  0	12.8
2024	05	10	12	08	0  0	12.8
2024	05	10	12	09	0  0	12.6
2024	05	10	12	10	0  0	12.2
2024	05	10	12	11	0  0	11.6
2024	05	10	12	12	0  0	11.6
2024	05	10	12	13	0  0	11.1
2024	05	10	12	14	0  0	10.7
2024	05	10	12	15	0  0	10.3
2024	05	10	12	16	0  0	10.1
2024	05	10	12	17	0  0	10.0
2024	05	10	12	18	0  0	9.9
2024	05	10	12	19	0  0	10.0
2024	05	10	12	20	0  0	9.9
2024	05	10	12	21	0  0	10.0
2024	05	10	12	22	0  0	10.0
2024	05	10	12	23	0  0	9.9
2024	05	10	12	24	0  0	10.2
2024	05	10	12	25	0  0	10.4
2024	05	10	12	26	0  0	10.7
2024	05	10	12	27	0  0	10.8
2024	05	10	12	28	0  0	10.6
2024	05	10	12	29	0  0	10.6
2024	05	10	12	30	0  0	10.6
2024	05	10	12	31	0  0	10.4
2024	05	10	12	32	0  0	10.1
2024	05	10	12	33	0  0	10.1
2024	05	10	12	34	0  0	9.9
2024	05	10	12	35	0  0	9.7
2024	05	10	12	36	0  0	9.8
2024	05	10	12	37	0  0	10.1
2024	05	10	12	38	0  0	10.5
2024	05	10	12	39	0  0	10.8
2024	05	10	12	40	0  0	10.7
2024	05	10	12	41	0  0	10.5
2024	05	10	12	42	0  0	10.8
2024	05	10	12	43	0  0	10.9
2024	05	10	12	44	0  0	10.9
2024	05	10	12	45	0  0	10.9
2024	05	10	12	46	0  0	10.8
2024	05	10	12	47	0  0	10.6
2024	05	10	12	48	0  0	10.1
2024	05	10	12	49	0  0	9.6
2024	05	10	12	50	0  0	9.4
2024	05	10	12	51	0  0	9.3
2024	05	10	12	52	0  0	9.3
2024	05	10	12	53	0  0	9.0
2024	05	10	12	54	0  0	8.8
2024	05	10	12	55	0  0	8.5
2024	05	10	12	56	0  0	8.5
2024	05	10	12	57	0  0	8.8
2024	05	10	12	58	0  0	8.8
2024	05	10	12	59	0  0	8.9
2024	05	10	13	00	0  0	9.1
2024	05	10	13	01	0  0	9.4
2024	05	10	13	02	0  0	9.5
