File created on 2026-01-23T12:41:09.209080
Wind Gannon storm data

Orbit:
XYZ GSE GSM: 2024 05 10 12 0 215.36  100.57   -1.10 215.36  100.14   9.29
XYZ GSE GSM: 2024 05 11 12 0 216.31  101.57   -0.68 216.31  101.15   9.25
XYZ GSE GSM: 2024 05 12 12 0 217.27  102.42   -0.27 217.27  102.01   9.17

#SATELLITEXYZ
215.36
100.14
9.29

#COORDINATES
GSM

year mo dy hr mn sc msc Bx By Bz Ux Uy Uz rho T
#START
2024 05 10 00 49 00 000       -4.33       0.36      -3.21    -395.16      -7.74      15.52       6.10  128177.20
2024 05 10 00 50 00 000       -4.15       1.07      -3.26    -396.02      -7.72      15.95       5.97  126791.29
2024 05 10 00 51 00 000       -4.29       1.11      -3.25    -396.87      -7.69      16.37       5.84  125405.38
2024 05 10 00 52 00 000       -4.03       0.94      -3.75    -397.72      -7.67      16.80       5.71  124019.48
2024 05 10 00 53 00 000       -4.02       0.84      -3.82    -398.33      -8.07      16.41       5.57  123626.73
2024 05 10 00 54 00 000       -3.92       0.36      -3.96    -398.21      -9.78      13.58       5.42  126213.49
2024 05 10 00 55 00 000       -4.22       1.22      -3.70    -398.28     -11.32      11.20       5.35  128240.75
2024 05 10 00 56 00 000       -4.15       1.33      -3.72    -398.93     -12.36      10.14       5.50  128589.52
2024 05 10 00 57 00 000       -4.06       2.29      -3.23    -399.58     -13.40       9.08       5.65  128938.28
2024 05 10 00 58 00 000       -3.46       0.55      -3.96    -400.23     -14.44       8.02       5.80  129287.05
2024 05 10 00 59 00 000       -3.30      -0.16      -3.89    -400.88     -15.49       6.97       5.95  129635.82
2024 05 10 01 00 00 000       -3.72       0.60      -3.44    -401.53     -16.53       5.91       6.09  129984.59
2024 05 10 01 01 00 000       -3.83       1.26      -3.15    -402.18     -17.57       4.85       6.24  130333.36
2024 05 10 01 02 00 000       -3.39       0.53      -3.60    -402.83     -18.61       3.79       6.39  130682.12
2024 05 10 01 03 00 000       -3.19      -1.07      -3.16    -403.48     -19.66       2.73       6.54  131030.89
2024 05 10 01 04 00 000       -1.91      -2.93      -2.46    -404.13     -20.70       1.67       6.69  131379.66
2024 05 10 01 05 00 000       -2.19      -0.56      -1.94    -404.78     -21.74       0.61       6.84  131728.42
2024 05 10 01 06 00 000       -2.75       2.49      -2.57    -405.43     -22.78      -0.45       6.99  132077.20
