ACE

#COORDINATES
GSM

year mo dy hr mn sc msc Bx By Bz Ux Uy Uz Rho T F107
#START
2024  5 10  9 24 28 672    2.57   -1.48    0.66  -419.5 0.0 0.0     6.10   73721.6  233.5
2024  5 10  9 24 46 318    2.43   -1.20    1.01  -425.3 0.0 0.0     5.61   75625.0  233.5
2024  5 10  9 25 35 614    2.15   -2.19   -0.06  -426.8 0.0 0.0     5.93   98027.0  233.5
2024  5 10  9 26 10 230    1.72   -1.82    0.13  -430.5 0.0 0.0     5.38  102919.0  233.5
2024  5 10  9 28 34 763    1.73   -1.60    0.00  -444.6 0.0 0.0     6.51  159588.0  233.5
2024  5 10  9 31  1 943    1.54   -1.52   -0.43  -469.2 0.0 0.0    14.87  176508.0  233.5
2024  5 10  9 36 12 642    0.36   -1.28   -0.72  -448.0 0.0 0.0     5.73  124124.0  233.5
2024  5 10  9 38 32 597   -0.28   -0.89   -0.96  -435.9 0.0 0.0     5.60   95818.0  233.5
2024  5 10  9 40 57  98   -0.74   -0.32   -1.16  -423.8 0.0 0.0     5.48   67512.0  233.5
2024  5 10  9 41 33 483   -0.79   -0.42   -1.18  -427.2 0.0 0.0     5.78   77610.0  233.5
2024  5 10  9 41 48 708   -0.64   -1.08   -1.67  -433.6 0.0 0.0     6.37   98854.0  233.5
2024  5 10  9 42 37 720   -0.58   -0.97   -1.47  -435.2 0.0 0.0     6.54  107726.0  233.5
2024  5 10  9 45 59 891   -1.19   -1.43   -2.03  -440.7 0.0 0.0     7.61  141050.0  233.5
2024  5 10  9 48 27 105   -1.69   -1.91   -2.91  -428.1 0.0 0.0     6.27   88814.0  233.5
2024  5 10  9 50 52 777   -1.10   -1.23   -1.73  -424.5 0.0 0.0     5.20   80917.0  233.5
2024  5 10  9 51  6  40   -1.36   -1.55   -2.08  -431.1 0.0 0.0     6.93   92184.0  233.5
2024  5 10  9 52 57 819   -1.46   -1.42   -2.26  -423.7 0.0 0.0     5.98   65923.0  233.5
2024  5 10  9 54 49 174   -1.41   -1.29   -2.21  -416.7 0.0 0.0     4.83   48378.0  233.5
2024  5 10  9 55 33 588   -1.02   -1.30   -2.35  -418.8 0.0 0.0     5.66   61413.0  233.5
2024  5 10  9 56 21 817   -1.30   -1.46   -2.45  -420.5 0.0 0.0     5.96   68450.0  233.5
2024  5 10  9 57 19 619   -1.31   -1.17   -2.61  -420.7 0.0 0.0     5.39   65486.0  233.5
2024  5 10  9 57 59 985   -2.28   -1.22   -2.22  -423.5 0.0 0.0     5.38   78648.0  233.5
2024  5 10  9 59 51 414   -2.78   -1.04   -1.87  -416.5 0.0 0.0     4.28   77546.0  233.5
2024  5 10 10  1 31 374   -2.48   -0.66   -2.00  -419.2 0.0 0.0     3.61   81764.0  233.5
2024  5 10 10  2 58 152   -2.70   -0.39   -2.08  -415.6 0.0 0.0     3.75   81315.0  233.5
2024  5 10 10  3 56 652   -2.46   -0.55   -2.43  -415.7 0.0 0.0     3.58   77091.0  233.5
2024  5 10 10  5  4 166   -2.35   -0.82   -2.87  -414.7 0.0 0.0     3.48   71405.0  233.5
2024  5 10 10  5 46 938   -2.02   -0.78   -2.76  -417.1 0.0 0.0     3.42   72762.0  233.5
2024  5 10 10  6 50 667   -2.00   -0.85   -2.75  -416.6 0.0 0.0     3.65   78479.0  233.5
2024  5 10 10  7 43 961   -1.68   -1.26   -2.68  -417.5 0.0 0.0     3.54   76995.0  233.5
2024  5 10 10  8 46 193   -2.13   -0.83   -3.41  -417.2 0.0 0.0     3.46   63376.0  233.5
2024  5 10 10  9 31 374   -2.17   -0.89   -3.46  -419.2 0.0 0.0     2.92   92635.0  233.5
2024  5 10 10 10 18 888   -2.19   -0.93   -3.18  -420.8 0.0 0.0     2.96   85450.0  233.5
2024  5 10 10 11 10 134   -1.93   -1.02   -2.81  -422.1 0.0 0.0     2.83   75684.0  233.5
2024  5 10 10 11 59 985   -1.34   -1.83   -2.25  -423.5 0.0 0.0     2.88   87132.0  233.5
2024  5 10 10 12 54 216   -1.46   -1.97   -2.66  -424.2 0.0 0.0     3.14   96553.0  233.5
2024  5 10 10 13 53  17   -1.39   -2.23   -2.63  -424.4 0.0 0.0     3.08   89307.0  233.5
2024  5 10 10 14 51 818   -1.50   -2.48   -2.70  -424.6 0.0 0.0     3.02   82061.0  233.5
2024  5 10 10 15 50 621   -1.51   -2.56   -2.62  -424.7 0.0 0.0     2.97   74815.0  233.5
2024  5 10 10 17  2 878   -1.69   -2.27   -2.81  -423.1 0.0 0.0     3.04   77975.0  233.5
2024  5 10 10 18 16 695   -1.61   -2.10   -3.01  -421.2 0.0 0.0     2.94   76043.0  233.5
2024  5 10 10 19 15 234   -1.41   -2.18   -3.00  -421.3 0.0 0.0     2.89   75364.0  233.5
2024  5 10 10 19 57  98   -1.20   -2.14   -3.09  -423.8 0.0 0.0     2.62   71171.0  233.5
2024  5 10 10 21 20 351   -1.00   -2.51   -2.79  -420.7 0.0 0.0     3.35   51979.0  233.5
2024  5 10 10 21 45 266   -1.17   -2.20   -2.96  -434.1 0.0 0.0     3.58  125364.0  233.5
2024  5 10 10 24 11 590   -1.38   -2.44   -2.54  -421.8 0.0 0.0     2.59   88988.0  233.5
2024  5 10 10 25 29 163   -1.02   -2.39   -2.59  -419.5 0.0 0.0     2.82   79837.0  233.5
2024  5 10 10 26 34 326   -1.31   -2.85   -2.65  -418.7 0.0 0.0     2.58   74726.0  233.5
2024  5 10 10 27 48 429   -1.31   -2.73   -2.59  -416.8 0.0 0.0     2.34   70593.0  233.5
2024  5 10 10 28 52 908   -1.64   -2.53   -3.13  -416.2 0.0 0.0     2.23   68786.0  233.5
2024  5 10 10 30 41 512   -1.65   -1.81   -3.14  -409.8 0.0 0.0     1.84   55535.0  233.5
2024  5 10 10 31 58 902   -1.23   -1.47   -2.35  -415.5 0.0 0.0     2.83   76835.0  233.5
2024  5 10 10 32 57 401   -0.94   -1.28   -2.32  -415.7 0.0 0.0     3.05   81410.0  233.5
2024  5 10 10 33 50 667   -1.02   -1.65   -3.11  -416.6 0.0 0.0     3.03   82751.0  233.5
2024  5 10 10 34 34 326   -0.96   -1.33   -2.62  -418.7 0.0 0.0     3.21   78851.0  233.5
2024  5 10 10 35 22 550   -0.98   -1.46   -2.99  -420.3 0.0 0.0     2.87   82157.0  233.5
2024  5 10 10 36 33 588   -1.08   -1.17   -3.11  -418.8 0.0 0.0     2.97   77774.0  233.5
2024  5 10 10 37 18 156   -1.10   -1.39   -3.02  -421.0 0.0 0.0     3.24   74417.0  233.5
2024  5 10 10 38 32 849   -1.28   -1.50   -2.90  -419.0 0.0 0.0     2.77   66170.0  233.5
2024  5 10 10 39 37 284   -0.96   -1.02   -1.79  -418.3 0.0 0.0     2.90   73582.0  233.5
2024  5 10 10 41  5 673   -1.19   -1.38   -2.23  -414.6 0.0 0.0     3.21   83245.0  233.5
2024  5 10 10 42 13 987   -1.60   -1.59   -2.77  -413.5 0.0 0.0     3.00   78185.0  233.5
2024  5 10 10 42 58 902   -1.39   -1.27   -2.19  -415.5 0.0 0.0     2.80   74977.0  233.5
2024  5 10 10 43 59 653   -1.33   -1.59   -2.26  -415.3 0.0 0.0     2.82   75638.0  233.5
2024  5 10 10 45 11 715   -1.30   -1.51   -2.50  -413.7 0.0 0.0     2.90   74633.0  233.5
2024  5 10 10 46  9 446   -1.33   -1.62   -3.05  -414.1 0.0 0.0     2.83   71166.0  233.5
2024  5 10 10 47  0 404   -1.36   -1.49   -2.53  -415.2 0.0 0.0     2.71   68603.0  233.5
2024  5 10 10 48  9 446   -1.49   -1.72   -2.67  -414.1 0.0 0.0     2.75   70204.0  233.5
2024  5 10 10 49 17 528   -1.70   -1.93   -3.14  -413.0 0.0 0.0     2.44   70655.3  233.5
2024  5 10 10 51 33 818   -1.69   -2.42   -3.19  -410.8 0.0 0.0     1.84   71558.0  233.5
2024  5 10 10 52 33 818   -2.01   -2.18   -2.59  -410.8 0.0 0.0     1.85   71644.0  233.5
2024  5 10 10 53 43 828   -2.12   -2.33   -2.30  -409.6 0.0 0.0     2.17   74141.0  233.5
2024  5 10 10 55  4  39   -2.54   -2.81   -2.10  -407.0 0.0 0.0     2.09   70125.0  233.5
2024  5 10 10 55 34 586   -1.74   -2.07   -3.53  -410.7 0.0 0.0     2.53   71685.0  233.5
2024  5 10 10 56 21 585   -2.23   -2.22   -3.47  -412.5 0.0 0.0     1.61   61986.0  233.5
2024  5 10 10 58  3 256   -2.36   -2.35   -3.28  -407.1 0.0 0.0     1.48   69894.0  233.5
2024  5 10 10 58 57  14   -2.31   -2.48   -3.18  -407.8 0.0 0.0     1.64   69818.0  233.5
2024  5 10 11  0  7 171   -2.41   -2.74   -3.20  -406.6 0.0 0.0     1.58   61314.0  233.5
2024  5 10 11  0 49 244   -1.99   -2.77   -3.45  -408.8 0.0 0.0     1.51   53924.0  233.5
2024  5 10 11  1 41 512   -2.40   -2.84   -3.01  -409.8 0.0 0.0     1.35   59850.0  233.5
2024  5 10 11  2 49 244   -2.17   -2.64   -2.78  -408.8 0.0 0.0     1.46   71800.0  233.5
2024  5 10 11  3 54 678   -2.29   -2.34   -2.29  -408.2 0.0 0.0     1.77   79173.0  233.5
2024  5 10 11  4 55 457   -1.98   -1.02   -3.42  -408.1 0.0 0.0     1.77   80200.0  233.5
2024  5 10 11  5 10 959   -1.82   -1.33   -3.76  -413.8 0.0 0.0     1.83   71157.0  233.5
2024  5 10 11  6 30 751   -1.99   -1.84   -3.18  -411.2 0.0 0.0     1.51   71020.0  233.5
2024  5 10 11  7 32 284   -1.81   -2.72   -3.11  -411.1 0.0 0.0     1.94   75805.0  233.5
2024  5 10 11  8  8 691   -2.05   -2.57   -3.30  -414.2 0.0 0.0     1.66   58548.0  233.5
2024  5 10 11  9 36 891   -2.05   -2.30   -3.61  -410.5 0.0 0.0     1.52   57221.0  233.5
2024  5 10 11 10 22 347   -2.05   -2.29   -3.62  -412.3 0.0 0.0     1.72   60852.0  233.5
2024  5 10 11 11 43  56   -2.38   -1.67   -3.53  -409.7 0.0 0.0     1.62   62259.0  233.5
2024  5 10 11 13 34  47   -2.48   -2.28   -3.11  -403.2 0.0 0.0     1.68   69587.0  233.5
2024  5 10 11 13 42 284   -2.34   -2.71   -3.04  -409.7 0.0 0.0     1.91   44003.0  233.5
2024  5 10 11 14 41 512   -2.06   -2.47   -3.28  -409.8 0.0 0.0     1.68   54165.0  233.5
2024  5 10 11 16 43  56   -2.64   -2.16   -2.98  -409.7 0.0 0.0     1.76   73793.0  233.5
2024  5 10 11 18 34  47   -2.91   -1.86   -2.83  -403.2 0.0 0.0     1.80   82124.0  233.5
2024  5 10 11 19 51 680   -2.53   -2.37   -2.86  -401.0 0.0 0.0     1.74   78017.0  233.5
2024  5 10 11 20 29 272   -2.40   -2.43   -2.94  -403.7 0.0 0.0     1.62   66080.0  233.5
2024  5 10 11 21 14 241   -2.43   -2.32   -2.94  -405.7 0.0 0.0     1.61   64910.0  233.5
2024  5 10 11 21 53 124   -2.48   -2.00   -3.15  -408.3 0.0 0.0     1.68   81747.0  233.5
2024  5 10 11 22 32 284   -2.73   -1.87   -3.16  -411.1 0.0 0.0     1.75   98584.0  233.5
2024  5 10 11 23 11 715   -2.21   -2.50   -3.14  -413.7 0.0 0.0     1.83  115421.0  233.5
2024  5 10 11 25 26 889   -2.13   -2.20   -3.49  -404.1 0.0 0.0     1.59   64962.0  233.5
2024  5 10 11 25 52 347   -2.37   -2.09   -3.37  -408.5 0.0 0.0     1.58   78828.0  233.5
2024  5 10 11 25 55 153   -2.77   -2.13   -3.02  -416.0 0.0 0.0     1.85   84242.0  233.5
2024  5 10 11 27 20  63   -3.10   -1.67   -2.96  -412.7 0.0 0.0     1.31   92986.0  233.5
2024  5 10 11 30 16 606   -2.52   -2.62   -2.82  -405.3 0.0 0.0     1.76   75249.0  233.5
2024  5 10 11 31  3 256   -2.05   -2.59   -3.05  -407.1 0.0 0.0     1.68   79822.0  233.5
2024  5 10 11 32 26  95   -3.02   -2.63   -2.33  -404.2 0.0 0.0     1.39   75024.0  233.5
2024  5 10 11 33 34 845   -2.36   -2.80   -2.57  -403.1 0.0 0.0     1.33   66218.0  233.5
2024  5 10 11 34  7 171   -2.02   -2.37   -3.25  -406.6 0.0 0.0     1.42   62824.0  233.5
2024  5 10 11 34 48 469   -2.26   -2.78   -2.81  -409.0 0.0 0.0     1.39   62250.0  233.5
2024  5 10 11 36  4  39   -2.20   -2.45   -3.17  -407.0 0.0 0.0     1.27   55798.0  233.5
2024  5 10 11 37  2 475   -2.32   -2.22   -3.35  -407.2 0.0 0.0     1.21   52024.0  233.5
2024  5 10 11 37 56 235   -2.35   -2.33   -3.17  -408.0 0.0 0.0     1.41   60774.0  233.5
2024  5 10 11 39 26  95   -2.27   -2.61   -3.00  -404.2 0.0 0.0     1.44   59008.0  233.5
2024  5 10 11 40 12 668   -1.97   -2.71   -3.06  -405.8 0.0 0.0     1.39   53984.0  233.5
2024  5 10 11 40 36 891   -2.04   -2.66   -2.98  -410.5 0.0 0.0     1.31   49349.0  233.5
2024  5 10 11 42 15 817   -2.11   -2.79   -2.82  -405.5 0.0 0.0     1.41   49542.0  233.5
2024  5 10 11 43 26 889   -2.03   -2.80   -2.88  -404.1 0.0 0.0     1.39   50371.0  233.5
2024  5 10 11 43 45 373   -2.00   -2.98   -2.66  -409.3 0.0 0.0     1.36   49311.0  233.5
2024  5 10 11 44 14 746   -1.92   -3.22   -2.55  -413.3 0.0 0.0     1.37   51936.0  233.5
2024  5 10 11 46 32 453   -1.98   -3.00   -2.85  -403.3 0.0 0.0     1.37   43270.0  233.5
2024  5 10 11 46 33 588   -1.24   -3.74   -2.16  -418.8 0.0 0.0     1.55   53701.0  233.5
2024  5 10 11 47 53 656   -1.66   -2.76   -2.53  -416.2 0.0 0.0     1.70   48968.0  233.5
2024  5 10 11 49 53 901   -2.53   -1.98   -3.18  -408.2 0.0 0.0     1.56   45692.0  233.5
2024  5 10 11 51 16 606   -2.87   -1.50   -3.33  -405.3 0.0 0.0     1.44   50204.0  233.5
2024  5 10 11 52  4  39   -2.82   -1.38   -3.26  -407.0 0.0 0.0     1.49   57410.0  233.5
2024  5 10 11 52 32 284   -3.05   -1.02   -3.04  -411.1 0.0 0.0     1.95   85418.0  233.5
2024  5 10 11 53 16 263   -2.82   -0.79   -3.14  -413.2 0.0 0.0     2.37  119091.0  233.5
2024  5 10 11 54  5 924   -2.76   -0.83   -3.07  -414.5 0.0 0.0     2.18  110071.0  233.5
2024  5 10 11 54 55 653   -2.60   -1.22   -3.18  -415.9 0.0 0.0     1.99  101051.0  233.5
2024  5 10 11 55 45 449   -2.74   -1.47   -3.13  -417.2 0.0 0.0     1.81   92031.0  233.5
2024  5 10 11 57  3 412   -3.01   -1.22   -3.09  -414.8 0.0 0.0     2.26   90683.0  233.5
2024  5 10 11 57 52 161   -2.95   -1.29   -3.14  -416.3 0.0 0.0     2.58  122655.0  233.5
2024  5 10 12  1 11  95   -2.02   -2.40   -3.08  -406.1 0.0 0.0     1.84   68667.0  233.5
2024  5 10 12  1 13 230   -1.88   -2.37   -3.20  -413.6 0.0 0.0     1.92   72149.0  233.5
2024  5 10 12  2 13 230   -2.81   -1.92   -2.55  -413.6 0.0 0.0     2.18  101863.0  233.5
2024  5 10 12  4 39 637   -2.88   -1.75   -2.62  -402.5 0.0 0.0     1.84   81293.0  233.5
2024  5 10 12  5 58 140   -2.93   -2.24   -2.25  -400.2 0.0 0.0     1.54   77478.0  233.5
2024  5 10 12  6 34  47   -2.54   -2.58   -2.14  -403.2 0.0 0.0     1.65   78193.0  233.5
2024  5 10 12  6 43 828   -1.70   -3.19   -1.84  -409.6 0.0 0.0     1.66   60307.0  233.5
2024  5 10 12  7 16 263   -2.50   -2.20   -3.06  -413.2 0.0 0.0     1.56   50724.0  233.5
2024  5 10 12  9 32 453   -2.87   -2.76   -2.47  -403.3 0.0 0.0     1.64   49105.0  233.5
2024  5 10 12 11 10 323   -2.75   -1.83   -3.25  -398.7 0.0 0.0     1.48   50663.0  233.5
2024  5 10 12 12 17 677   -3.12   -1.25   -3.38  -397.7 0.0 0.0     1.48   52376.0  233.5
2024  5 10 12 13 53 275   -3.17   -1.20   -3.38  -393.5 0.0 0.0     1.33   47327.0  233.5
2024  5 10 12 14 47 427   -3.21   -1.21   -3.25  -394.2 0.0 0.0     1.51   47062.0  233.5
2024  5 10 12 16 16  28   -3.35   -1.20   -3.20  -390.7 0.0 0.0     1.55   52356.0  233.5
2024  5 10 12 16 27 534   -2.89   -1.61   -3.47  -396.6 0.0 0.0     1.62   51573.0  233.5
2024  5 10 12 17 59 144   -2.86   -1.78   -3.37  -392.7 0.0 0.0     1.39   48920.0  233.5
2024  5 10 12 18 14 404   -2.86   -1.91   -3.28  -398.2 0.0 0.0     1.49   51331.0  233.5
2024  5 10 12 19  9 508   -2.84   -2.25   -3.05  -398.7 0.0 0.0     1.47   50841.0  233.5
2024  5 10 12 20 30 832   -2.98   -1.84   -3.23  -396.2 0.0 0.0     1.44   51699.0  233.5
2024  5 10 12 21 28 358   -2.78   -2.11   -3.18  -396.5 0.0 0.0     1.42   48009.0  233.5
2024  5 10 12 22  9 508   -2.76   -1.97   -3.33  -398.7 0.0 0.0     1.38   47172.0  233.5
2024  5 10 12 22 53 293   -2.66   -2.11   -3.31  -400.7 0.0 0.0     1.44   48272.0  233.5
2024  5 10 12 23 30 862   -2.53   -2.21   -3.24  -403.6 0.0 0.0     1.51   49564.0  233.5
2024  5 10 12 24  0 132   -2.51   -2.00   -3.17  -407.5 0.0 0.0     1.63   57435.0  233.5
2024  5 10 12 25 15 817   -2.35   -2.25   -2.98  -405.5 0.0 0.0     1.64   60780.0  233.5
2024  5 10 12 26 35 354   -2.51   -2.39   -2.96  -410.7 0.0 0.0     1.44   61784.0  233.5
2024  5 10 12 27 37 404   -2.58   -2.04   -3.16  -410.4 0.0 0.0     1.62   76305.0  233.5
2024  5 10 12 28 39 457   -3.00   -1.64   -3.09  -410.1 0.0 0.0     1.81   90826.0  233.5
2024  5 10 12 29 41 512   -2.46   -2.50   -2.98  -409.8 0.0 0.0     2.00  105347.0  233.5
2024  5 10 12 31  4 821   -2.10   -2.59   -2.88  -406.8 0.0 0.0     1.33   59085.0  233.5
2024  5 10 12 31 10 959   -2.78   -1.28   -3.05  -413.8 0.0 0.0     1.26   58887.0  233.5
2024  5 10 12 32 43 828   -3.01   -1.32   -2.73  -409.6 0.0 0.0     2.40   98956.0  233.5
2024  5 10 12 35  6 252   -3.14   -0.85   -2.48  -399.2 0.0 0.0     2.08   69826.0  233.5
2024  5 10 12 35 26 925   -3.25   -0.36   -2.55  -411.7 0.0 0.0     2.74   93755.0  233.5
2024  5 10 12 36 20  63   -3.07   -1.02   -2.33  -412.7 0.0 0.0     2.32  105946.0  233.5
2024  5 10 12 37 50  19   -2.97   -1.22   -2.28  -408.7 0.0 0.0     1.82   89892.0  233.5
2024  5 10 12 39 33 250   -3.20   -0.85   -2.51  -403.2 0.0 0.0     2.34   70055.0  233.5
2024  5 10 12 40 25 397   -3.49   -0.86   -2.66  -412.0 0.0 0.0     2.93  127445.0  233.5
2024  5 10 12 41 42 284   -3.49   -0.81   -2.43  -409.7 0.0 0.0     2.22  105410.0  233.5
2024  5 10 12 43 30  67   -3.74   -0.36   -2.22  -403.7 0.0 0.0     2.00   88852.0  233.5
2024  5 10 12 45 26 889   -3.42   -1.25   -2.45  -404.1 0.0 0.0     1.71   94062.0  233.5
2024  5 10 12 46 22 926   -3.44   -0.80   -2.57  -404.6 0.0 0.0     1.60   82749.0  233.5
2024  5 10 12 47 17 394   -3.53   -0.64   -2.68  -405.2 0.0 0.0     1.46   83330.0  233.5
2024  5 10 12 49  4  39   -3.22   -1.17   -2.99  -407.0 0.0 0.0     1.67   89904.0  233.5
2024  5 10 12 49 57 793   -3.49   -0.68   -2.65  -407.7 0.0 0.0     1.70   75029.0  233.5
2024  5 10 12 52 29 182   -3.74   -0.77   -2.37  -396.3 0.0 0.0     1.96   62400.0  233.5
2024  5 10 12 53 52 439   -3.99   -0.31   -2.29  -393.6 0.0 0.0     2.28   62359.0  233.5
2024  5 10 12 53 56 523   -3.67   -0.43   -2.64  -400.3 0.0 0.0     2.11   73249.0  233.5
2024  5 10 12 54 37 239   -3.72   -0.74   -2.48  -402.7 0.0 0.0     1.77   80813.0  233.5
2024  5 10 12 56  3   2   -3.67   -0.13   -2.47  -399.6 0.0 0.0     1.88   77142.0  233.5
2024  5 10 12 56 21 585   -3.59   -0.80   -2.34  -412.5 0.0 0.0     2.07  101229.0  233.5
2024  5 10 12 57 36 122   -3.32   -0.96   -2.59  -410.6 0.0 0.0     1.77  101852.0  233.5
2024  5 10 12 58 26 161   -3.37   -0.73   -2.69  -411.8 0.0 0.0     1.78   93252.0  233.5
2024  5 10 12 59 56 235   -3.40   -0.90   -2.83  -408.0 0.0 0.0     1.68   80123.0  233.5
2024  5 10 13  0 21 331   -3.42   -1.07   -2.76  -412.5 0.0 0.0     1.81   98590.0  233.5
2024  5 10 13  0 47 186   -3.48   -1.14   -2.74  -417.0 0.0 0.0     1.94  117057.0  233.5
2024  5 10 13  1 13 776   -3.49   -0.93   -2.53  -421.6 0.0 0.0     2.08  135524.0  233.5
2024  5 10 13  3 10 959   -3.70   -0.44   -2.58  -413.8 0.0 0.0     1.77  103204.0  233.5
