#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     TITLE                           ACE> Solar Wind Parameters
#     PROJECT                         ISTP>International Solar-Terrestrial Physics
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     SOURCE_NAME                     AC>Advanced Composition Explorer
#     DATA_TYPE                       K0>5-Min Key Parameter [PRELIM]
#     DESCRIPTOR                      SWE>ACE Solar Wind Electron Proton Alpha Monitor
#     DATA_VERSION                    1
#     GENERATED_BY                    ACE Science Center
#     GENERATION_DATE                 20240516
#     TEXT                            SWEPAM - Solar Wind Electron Proton Alpha Monitor
#                                     References: http://www.srl.caltech.edu/ACE/
#                                     ACE browse data is designed for monitoring large scale particle and field
#                                     behavior and for selecting interesting time periods. The data is automatically
#                                     generated from the spacecraft data stream using simple algorithms provided by
#                                     the instrument teams. It is not routinely checked for accuracy and is subject
#                                     to revision. Use this data at your own risk, and consult with the appropriate
#                                     instrument teams about citing it.
#                                     SWEPAM Browse data is not validated by the experimenters and should not be used
#                                     except for preliminary examination prior to detailed studies.
#     MODS                            Initial Release 12/01/98
#     ADID_REF                        NSSD0327
#     LOGICAL_FILE_ID                 AC_K0_SWE_20240510_V01
#     LOGICAL_SOURCE                  AC_K0_SWE
#     LOGICAL_SOURCE_DESCRIPTION      K0 - ACE Solar Wind Experiment 5-Minute Key Parameters [PRELIM]
#     PI_NAME                         D. J. McComas
#     PI_AFFILIATION                  Southwest Research Institute
#     MISSION_GROUP                   ACE
#                                     !___Interplanetary Data near 1 AU
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#     TIME_RESOLUTION                 5 minutes
#     WEB_SITE                        http://www.srl.caltech.edu/ACE/
#     ACKNOWLEDGEMENT                 Please acknowledge the Principal
#                                     Investigator, D. J. McComas of
#                                     NASA LANL
#     RULES_OF_USE                    See the rules of use available from the ACE
#                                     Science Center at:
#                                     http://www.srl.caltech.edu/ACE/
#     ALT_LOGICAL_SOURCE              ACE_SWEPAM_Solar-Wind-Plasma-Key-Parameters-K0_5min_cdf
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/ACE/SWEPAM/KeyParameter/PT5M
#     CDAWEB_PARENTS                  ac_k0_swe_00000000_v01
#                                     ac_k0_swe_20240510_v01, ac_k0_swe_20240511_v01
#                                     ac_k0_swe_20240512_v01, ac_k0_swe_20240513_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time, centered
#  2. [PRELIMINARY VALUES - BROWSE USE ONLY] Solar Wind Proton Number Density, scalar
#       NOTES:  Np is the proton number density in units of cm-3, as calculated by integrating the ion distribution function.
#  3. [PRELIMINARY VALUES - BROWSE USE ONLY] Solar Wind Bulk Speed
#       NOTES:  Vp is the solar wind proton speed, or more generally just the solar wind (bulk) speed. It is obtained by integrating the ion (proton) distribution function.
#  4. [PRELIMINARY VALUES - BROWSE USE ONLY] radial component of the proton temperature
#       NOTES:  The radial component of the proton temperature is the (1,1) component of the temperature tensor, along the radial direction. It is obtained by integration of the ion (proton) distribution function.
#
EPOCH                   [PRELIM]_SW_H_NUM_DENSITY [PRELIM]_SW_BULK_SPEED [PRELIM]_H_TEMP_(RADICAL)
dd-mm-yyyy hh:mm:ss.ms                       #/cc                   km/s                    Kelvin
10-05-2024 04:30:00.000                   6.43890                422.700                   57208.0
10-05-2024 04:35:00.000                   6.27580                422.080                   57561.0
10-05-2024 04:40:00.000                   6.15410                422.030                   57997.0
10-05-2024 04:45:00.000                   6.54280                419.860                   53278.0
10-05-2024 04:50:00.000                   6.49690                418.740                   52833.0
10-05-2024 04:55:00.000                   6.35740                419.720                   53568.0
10-05-2024 05:00:00.000                   6.35060                421.160                   52805.0
10-05-2024 05:05:00.000                   6.40750                420.370                   54519.0
10-05-2024 05:10:00.000                   6.25970                420.600                   54135.0
10-05-2024 05:15:00.000                   6.35660                419.380                   50259.0
10-05-2024 05:20:00.000                   6.22660                418.030                   54437.0
10-05-2024 05:25:00.000                   6.07560                416.780                   54097.0
10-05-2024 05:30:00.000                   5.60590                416.850                   50232.0
10-05-2024 05:35:00.000                   5.65340                416.610                   53610.0
10-05-2024 05:40:00.000                   6.40000                415.150                   52473.0
10-05-2024 05:45:00.000                   6.69820                414.860                   52943.0
10-05-2024 05:50:00.000                   7.62200                410.610                   46368.0
10-05-2024 05:55:00.000                   7.50370                409.430                   47229.0
10-05-2024 06:00:00.000                   7.14160                409.550                   44053.0
10-05-2024 06:05:00.000                   7.68020                409.120                   38247.0
10-05-2024 06:10:00.000                   7.78070                407.360                   37352.0
10-05-2024 06:15:00.000                   6.92150                413.660                   25982.0
10-05-2024 06:20:00.000                   7.07000                416.800                   24292.0
10-05-2024 06:25:00.000                   7.56930                419.180                   32955.0
10-05-2024 06:30:00.000                   7.51490                415.490                   36391.0
10-05-2024 06:35:00.000                   7.38860                415.630                   38383.0
10-05-2024 06:40:00.000                   7.16410                411.750                   37234.0
10-05-2024 06:45:00.000                   7.18660                411.850                   41019.0
10-05-2024 06:50:00.000                   7.52250                410.550                   41007.0
10-05-2024 06:55:00.000                   6.91870                409.690                   38662.0
10-05-2024 07:00:00.000                   7.92380                407.580                   38572.0
10-05-2024 07:05:00.000                   6.87140                409.330                   45479.0
10-05-2024 07:10:00.000                   8.16440                409.810                   35874.0
10-05-2024 07:15:00.000                   9.01310                410.760                   34083.0
10-05-2024 07:20:00.000                   8.78230                412.030                   32758.0
10-05-2024 07:25:00.000                   8.70470                412.220                   34482.0
10-05-2024 07:30:00.000                   8.82990                408.920                   34954.0
10-05-2024 07:35:00.000                   9.03250                408.620                   33083.0
10-05-2024 07:40:00.000                   9.00590                408.360                   34264.0
10-05-2024 07:45:00.000                   8.40550                405.290                   33269.0
10-05-2024 07:50:00.000                   8.25060                407.270                   35500.0
10-05-2024 07:55:00.000                   7.55120                410.660                   39593.0
10-05-2024 08:00:00.000                   6.98730                408.060                   43573.0
10-05-2024 08:05:00.000                   6.93090                406.290                   44831.0
10-05-2024 08:10:00.000                   6.94040                408.130                   50035.0
10-05-2024 08:15:00.000                   7.65040                405.220                   48463.0
10-05-2024 08:20:00.000                   6.09330                407.590                   53945.0
10-05-2024 08:25:00.000                   6.83170                406.670                   55964.0
10-05-2024 08:30:00.000                   6.15020                414.870                   67239.0
10-05-2024 08:35:00.000                   4.85670                429.790                   71779.0
10-05-2024 08:40:00.000                   5.07630                428.210                   75602.0
10-05-2024 08:45:00.000                   5.08220                429.290                   67291.0
10-05-2024 08:50:00.000                   5.68080                423.720                   65503.0
10-05-2024 08:55:00.000                   5.27600                420.660                   66621.0
