File created on 2024-08-30T14:48:23.418999 by Dan Welling. Density spikes removed manually.
Source data: wind_20240509_230030_merged.cdf
Ballistically propagted from L1 to upstream BATS-R-US boundaryFile created on 2024-08-30 14:48:23.418358
Units: nT, km/s, K

#COORINATES
GSM

year mo dy hr mn sc msc Bx By Bz Ux Uy Uz Rho T
#START
2024 05 10 08 51 39 460        0.02       1.55       0.07    -408.24      15.95     -13.79       8.70   91467.17
2024 05 10 08 52 56 386        1.15       0.60       0.36    -405.84      14.79     -12.97       8.80   92522.89
2024 05 10 08 54 13 948        1.67      -0.59       0.45    -403.38      14.86     -11.97       8.93   94626.73
2024 05 10 08 55 18 665        1.83      -0.36       0.78    -402.72      20.29     -11.36       9.06   98654.52
2024 05 10 08 56 12 025        1.77       0.27       0.84    -403.65      24.22     -11.03       9.13  101359.41
2024 05 10 08 56 31 977        1.64       0.27       0.89    -409.32      23.65     -11.50       8.98  100095.55
2024 05 10 08 56 53 022        1.01       1.07       0.70    -414.99      23.08     -11.98       8.83   98831.70
2024 05 10 08 57 37 383        0.95       1.44       0.65    -417.31      22.14     -12.24       8.72   96934.12
2024 05 10 08 59 30 138        0.93       1.45       0.74    -409.59      20.10     -11.83       8.76   93135.39
2024 05 10 09 01 10 108        1.24       1.27       0.85    -403.92      18.38     -11.96       8.73   90276.99
2024 05 10 09 02 06 439        1.61       1.00       0.91    -404.44      17.62     -13.71       8.49   90239.59
2024 05 10 09 02 52 151        1.97       0.64       0.99    -406.45      16.57     -15.60       8.28   91589.27
2024 05 10 09 03 34 514        2.34       0.14       1.12    -408.96      15.42     -17.54       8.08   93401.31
2024 05 10 09 04 17 092        2.88      -0.79       1.42    -411.48      14.27     -19.47       7.88   95213.35
2024 05 10 09 04 59 881        2.93      -1.31       1.46    -413.99      13.12     -21.41       7.67   97025.39
2024 05 10 09 05 42 879        2.58      -1.54       1.35    -416.50      11.97     -23.35       7.47   98837.44
2024 05 10 09 06 26 080        2.28      -1.94       1.22    -419.01      10.82     -25.29       7.27  100649.48
2024 05 10 09 07 09 481        1.92      -2.11       1.03    -421.53       9.67     -27.23       7.07  102461.52
2024 05 10 09 07 53 079        1.94      -2.34       0.93    -424.04       8.52     -29.16       6.87  104273.55
2024 05 10 09 08 36 870        1.84      -2.35       0.88    -426.55       7.37     -31.10       6.66  106085.59
2024 05 10 09 09 20 851        1.74      -2.00       1.07    -429.07       6.22     -33.04       6.46  107897.64
2024 05 10 09 10 33 349        1.93      -2.22       1.24    -427.11       5.99     -31.82       6.82  106371.11
2024 05 10 09 11 50 181        1.79      -2.23       1.09    -424.49       6.00     -30.14       7.23  103999.09
2024 05 10 09 12 50 819        1.78      -2.32       0.94    -424.40       5.85     -30.24       7.25  102429.16
2024 05 10 09 13 51 456        0.92      -1.64      -0.00    -424.30       5.70     -30.34       7.27  100859.22
2024 05 10 09 14 52 095        0.64      -0.83       0.31    -424.20       5.56     -30.44       7.28   99289.27
2024 05 10 09 15 52 733        0.59      -0.90       1.03    -424.11       5.41     -30.54       7.30   97719.34
2024 05 10 09 16 53 371        0.40      -1.18       0.99    -424.01       5.26     -30.64       7.32   96149.40
2024 05 10 09 17 54 010       -0.39      -0.60      -0.53    -423.91       5.11     -30.74       7.34   94579.46
2024 05 10 09 18 54 650       -0.74      -0.54      -1.42    -423.82       4.96     -30.84       7.36   93009.52
2024 05 10 09 19 55 289       -0.88      -0.04      -1.59    -423.72       4.81     -30.95       7.38   91439.59
2024 05 10 09 20 55 929       -0.82      -0.12      -1.53    -423.62       4.66     -31.05       7.40   89869.64
2024 05 10 09 21 56 569       -0.68      -0.79      -1.61    -423.52       4.51     -31.15       7.41   88299.70
2024 05 10 09 22 57 209       -0.10      -1.30      -1.42    -423.43       4.36     -31.25       7.43   86729.77
2024 05 10 09 23 57 849        0.35      -1.52      -1.28    -423.33       4.21     -31.35       7.45   85159.83
2024 05 10 09 24 58 491        0.26      -1.94      -1.14    -423.23       4.06     -31.45       7.47   83589.89
2024 05 10 09 25 59 132        0.16      -2.00      -1.18    -423.14       3.91     -31.55       7.49   82019.95
2024 05 10 09 26 59 773        0.12      -1.93      -1.18    -423.04       3.76     -31.65       7.51   80450.01
2024 05 10 09 28 00 415       -0.14      -2.04      -1.59    -422.94       3.61     -31.75       7.53   78880.07
2024 05 10 09 29 00 772       -0.60      -2.06      -1.94    -422.89       3.57     -31.57       7.50   78164.52
2024 05 10 09 30 00 277       -0.85      -1.90      -2.06    -422.97       3.84     -30.53       7.32   80012.14
2024 05 10 09 30 59 781       -0.77      -1.80      -2.20    -423.05       4.11     -29.49       7.15   81859.75
2024 05 10 09 31 59 285       -0.54      -1.85      -2.10    -423.12       4.38     -28.45       6.97   83707.37
2024 05 10 09 32 58 790       -0.46      -1.79      -2.12    -423.20       4.65     -27.41       6.80   85554.98
2024 05 10 09 33 58 638       -0.30      -1.33      -2.58    -423.23       5.18     -26.84       6.70   87355.27
2024 05 10 09 34 59 516       -0.34      -1.23      -2.69    -423.09       6.48     -27.69       6.81   89013.58
2024 05 10 09 35 59 522       -0.21      -1.44      -2.61    -423.09       7.48     -27.58       6.78   89295.89
2024 05 10 09 36 59 238       -0.07      -1.73      -2.42    -423.14       8.37     -27.15       6.70   89119.54
2024 05 10 09 37 58 954       -0.05      -2.00      -2.23    -423.18       9.26     -26.72       6.62   88943.19
2024 05 10 09 38 58 670       -0.04      -1.80      -2.14    -423.23      10.15     -26.29       6.55   88766.84
2024 05 10 09 39 58 386       -0.23      -1.61      -2.12    -423.27      11.04     -25.85       6.47   88590.48
2024 05 10 09 40 58 102       -0.42      -1.60      -2.23    -423.32      11.93     -25.42       6.39   88414.13
2024 05 10 09 41 57 818       -0.13      -1.91      -2.27    -423.36      12.82     -24.99       6.31   88237.78
2024 05 10 09 43 00 427       -0.07      -1.83      -2.86    -422.96      12.83     -24.73       6.22   87563.97
2024 05 10 09 44 04 008       -0.06      -1.92      -3.01    -422.42      12.55     -24.52       6.13   86724.34
2024 05 10 09 45 07 598       -0.31      -1.93      -3.24    -421.87      12.26     -24.31       6.05   85884.70
2024 05 10 09 46 11 198       -0.43      -1.99      -3.13    -421.33      11.98     -24.10       5.96   85045.08
2024 05 10 09 47 14 806       -0.41      -1.96      -3.10    -420.78      11.69     -23.90       5.87   84205.45
2024 05 10 09 48 18 425       -0.45      -2.00      -3.09    -420.23      11.41     -23.69       5.79   83365.81
2024 05 10 09 49 22 008       -0.43      -1.93      -3.18    -419.69      11.21     -23.67       5.70   82068.14
2024 05 10 09 50 25 468       -0.24      -1.64      -3.38    -419.17      11.25     -24.22       5.61   79396.37
2024 05 10 09 51 28 103       -0.31      -1.73      -3.25    -418.78      11.33     -24.50       5.52   77655.19
2024 05 10 09 52 28 246       -0.29      -1.72      -3.27    -418.76      11.49     -23.99       5.44   78705.80
2024 05 10 09 53 28 389       -0.15      -1.77      -3.40    -418.74      11.65     -23.48       5.36   79756.42
2024 05 10 09 54 28 532       -0.29      -1.40      -3.53    -418.72      11.82     -22.97       5.28   80807.04
2024 05 10 09 55 28 675       -0.33      -1.54      -3.58    -418.70      11.98     -22.46       5.20   81857.66
2024 05 10 09 56 28 818       -0.27      -1.81      -3.54    -418.68      12.15     -21.95       5.12   82908.27
