DSCOVR

#COORDINATES
GSM

year mo dy hr mn sc msc Bx By Bz Ux Uy Uz Rho T F107
#START
2024  5 10  8 56 57  14    1.44    1.17    1.50  -407.8     7.2   -13.1     8.88   56005.0  233.5
2024  5 10  8 57 46 147    1.18    1.32    1.53  -409.2    -2.1   -24.8     8.90   57443.0  233.5
2024  5 10  8 58 39 200    1.17    1.27    1.40  -410.2    -4.6   -27.0     8.86   59677.0  233.5
2024  5 10  8 59 26 925    1.51   -1.49    0.38  -411.7   -18.4   -27.9     8.73   61283.0  233.5
2024  5 10  9  0 27 689    1.52   -1.61    0.34  -411.7   -21.2   -29.8     8.75   60743.0  233.5
2024  5 10  9  1 21 585    1.53   -1.84    0.36  -412.5   -22.0   -28.7     8.60   61760.0  233.5
2024  5 10  9  2 27 689    1.58   -1.76    0.47  -411.7   -19.7   -29.0     8.76   61303.0  233.5
2024  5 10  9  3 35 354    1.40   -1.92    0.61  -410.7   -16.8   -27.8     8.97   60250.0  233.5
2024  5 10  9  4 35 354    1.48   -1.77    0.63  -410.7   -15.9   -28.1     9.00   60470.0  233.5
2024  5 10  9  5 27 689    1.56   -1.23    0.66  -411.7   -16.8   -27.0     8.93   61997.0  233.5
2024  5 10  9  6 33  51    1.84   -0.72    1.11  -411.0   -11.4   -26.9     8.82   62269.0  233.5
2024  5 10  9  7 30 751    1.88   -0.59    1.20  -411.2   -14.4   -23.7     8.83   61922.0  233.5
2024  5 10  9  8 27 689    1.79   -0.40    1.32  -411.7   -13.6   -21.0     8.95   62557.0  233.5
2024  5 10  9  9 30 751    1.75   -0.43    1.17  -411.2   -11.0   -23.2     9.12   64130.0  233.5
2024  5 10  9 10 32 284    1.74   -0.25    1.36  -411.1    -7.1   -22.2     9.12   64021.0  233.5
2024  5 10  9 11 42 284    1.74   -0.20    1.58  -409.7    -3.1   -14.5     9.10   62237.0  233.5
2024  5 10  9 12 50  19    1.55   -0.18    1.56  -408.7     0.5    -7.7     9.28   60798.0  233.5
2024  5 10  9 13 50 795    1.38   -0.08    1.43  -408.7     1.2    -9.2     9.57   59367.0  233.5
2024  5 10  9 14 46 147    1.27    0.26    1.41  -409.2     0.6   -10.3     9.46   59343.0  233.5
