Created with imf_median.pro
Median of IMF_ballistic_WIND_bad.dat, IMF_ballistic_ACE.dat, IMF_ballistic_DSCOVER_bad.dat
Units: nT, km/s, K

#COORDINATES
GSM

year mo dy hr mn sc msc Bx By Bz Ux Uy Uz Rho T F107
#START
2024  5 10  8 56 28 203       1.64       0.12       1.13    -407.75       7.79      -9.40       8.79   57354.30     233.50
2024  5 10  8 57 27 101       1.66       0.31       1.14    -408.66       1.51     -11.23       8.89   53125.80     233.50
2024  5 10  8 58 16 221       1.20       0.78       1.16    -408.24       0.00      -9.55       8.77   49868.20     233.50
2024  5 10  8 59 19 644       1.46       0.27       0.64    -407.41       0.00      -8.78       8.75   49130.11     233.50
2024  5 10  9  0 33 485       1.06       1.24       0.70    -411.79       0.00      -8.68       8.80   48808.30     233.50
2024  5 10  9  1 25 792       1.12       1.07       0.82    -412.45       0.00     -10.77       8.65   48135.10     233.50
2024  5 10  9  2 18 821       1.52       0.89       0.89    -411.81       0.00     -13.76       8.64   55185.07     233.50
2024  5 10  9  3 14 224       1.46      -0.74       0.57    -411.01       0.00     -18.72       8.90   63018.20     233.50
2024  5 10  9  3 40 107       1.41      -1.41       0.61    -410.70       0.00     -18.66       8.26   65323.90     233.50
2024  5 10  9  3 50 281       1.42      -1.38       0.82    -415.80      -6.38     -15.68       8.63   61624.60     233.50
2024  5 10  9  4 49 171       1.50      -1.22       0.89    -416.00       0.00     -15.54       8.98   70247.10     233.50
2024  5 10  9  5 47 349       1.64      -1.08       0.94    -416.20       0.00     -16.17       8.90   77409.10     233.50
2024  5 10  9  6 34 396       1.84      -0.91       1.11    -412.91       0.00     -18.22       8.82   76986.10     233.50
2024  5 10  9  7 21 570       1.87      -0.77       1.08    -411.17       0.00     -20.26       8.83   74800.13     233.50
2024  5 10  9  8  8 853       1.82      -0.64       1.00    -411.53       0.00     -21.89       8.91   70718.31     233.50
2024  5 10  9  8 56 252       1.77      -0.50       1.03    -411.47       0.00     -22.00       9.03   66626.48     233.50
2024  5 10  9  9 43 774       1.75      -0.39       1.05    -411.18       0.00     -22.99       9.12   64106.93     233.50
2024  5 10  9 10 31 400       1.74      -0.25       1.20    -411.10       0.00     -22.21       9.12   64022.57     233.50
2024  5 10  9 11 35  62       1.74      -0.21       1.15    -413.61       0.00     -15.29       8.53   64016.25     233.50
2024  5 10  9 12 53 168       1.54      -1.59       1.55    -417.52       0.54      -7.78       9.30   80286.40     233.50
2024  5 10  9 14 16 143       1.33      -1.30       1.42    -412.65       0.00      -9.70       9.52   68306.80     233.50
2024  5 10  9 15 31 919       0.97       0.25       1.32    -418.60       0.00      -9.11       9.50   59440.80     233.50
2024  5 10  9 16 28 431       0.78       0.56       1.36    -419.10      -4.14     -13.79       9.65   59234.14     233.50
2024  5 10  9 17 24 943       0.65       0.41       1.70    -419.60      -3.93     -17.01       9.37   59181.24     233.50
