MIDL 32Re Data for 2024-05 (GSM nT, km/s, cm^-3, K)
year month day hour minute Bx By Bz Ux Uy Uz rho T B_interp Ux_interp Uyz_interp rho_interp T_interp
#START
2024  5 10  2 48    -1.29     5.35     3.26    -430.7      2.59    -13.60     7.719      48612    0    1    1    1    1
2024  5 10  2 49    -1.54     5.32     3.36    -430.5      2.77    -13.46     7.701      48308    0    1    1    1    1
2024  5 10  2 50    -1.66     5.27     3.55    -430.3      2.89    -13.33     7.698      48004    0    1    1    1    1
2024  5 10  2 51    -1.62     5.22     3.65    -429.9      3.53    -13.27     7.720      47711    0    1    1    1    1
2024  5 10  2 52    -1.58     5.11     3.70    -429.9      3.98    -13.18     7.694      47404    0    1    1    1    1
2024  5 10  2 53    -1.56     5.05     3.73    -429.8      2.63    -12.26     7.678      47098    0    1    1    1    1
2024  5 10  2 54    -1.56     5.09     3.74    -429.6      1.77    -11.63     7.861      46794    0    1    1    1    1
2024  5 10  2 55    -1.59     5.12     3.69    -429.5      1.80    -11.66     7.998      46692    0    1    1    1    1
2024  5 10  2 56    -1.63     5.14     3.66    -429.4      2.23    -11.78     7.952      46731    0    0    0    0    0
2024  5 10  2 57    -1.64     5.07     3.78    -429.0      2.30    -11.80     7.883      46978    0    1    1    1    1
2024  5 10  2 58    -1.72     5.01     3.90    -430.0      2.58    -10.16     7.925      47388    0    1    1    1    1
2024  5 10  2 59    -1.87     4.28     3.54    -430.9      4.87     -9.26     8.225      47794    0    1    1    1    1
2024  5 10  3  0    -1.91     3.82     3.42    -431.8      5.78     -9.30     8.618      49191    0    1    1    1    1
2024  5 10  3  1    -1.73     4.39     3.51    -432.0      8.07     -7.69    10.027      49326    0    0    0    0    0
2024  5 10  3  2    -1.53     4.24     3.54    -431.2     10.89     -4.94     9.388      49563    0    0    0    0    0
2024  5 10  3  3    -1.47     4.20     3.43    -429.8     11.84     -3.49     9.048      49610    0    0    0    0    0
