File created on 2016-01-15T21:32:13.992205

#COORDINATES
GSM

 year mo dy hr mn sc msc BX BY BZ UX UY UZ RHO T
#START
2005 08 31 05 00 00 000       0.00      -2.02      -4.22    -372.10      33.00       6.55      11.23   31340.81
2005 08 31 05 01 00 000       0.00      -2.12      -3.96    -372.10      33.02       6.58      11.23   31353.44
2005 08 31 05 02 00 000       0.00      -0.82      -3.69    -372.09      33.05       6.61      11.22   31366.08
2005 08 31 05 03 00 000       0.00      -1.21      -3.75    -372.08      33.08       6.63      11.22   31378.72
2005 08 31 05 04 00 000       0.00      -3.44      -4.42    -372.08      33.10       6.66      11.22   31391.36
2005 08 31 05 05 00 000       0.00      -2.01      -4.10    -372.07      33.13       6.69      11.21   31404.00
2005 08 31 05 06 00 000       0.00      -2.32      -4.24    -372.07      33.16       6.72      11.21   31416.63
2005 08 31 05 07 00 000       0.00      -2.76      -4.58    -372.06      33.18       6.74      11.21   31429.27
2005 08 31 05 08 00 000       0.00      -2.10      -3.44    -372.05      33.21       6.77      11.20   31441.91
2005 08 31 05 09 00 000       0.00      -1.99      -3.50    -372.05      33.23       6.80      11.20   31454.55
2005 08 31 05 10 00 000       0.00      -2.64      -4.93    -372.04      33.26       6.83      11.20   31467.18
2005 08 31 05 11 00 000       0.00      -2.92      -4.36    -372.04      33.29       6.86      11.19   31479.82
2005 08 31 05 12 00 000       0.00      -2.98      -4.32    -372.03      33.31       6.88      11.19   31492.46
2005 08 31 05 13 00 000       0.00      -3.31      -4.10    -372.02      33.34       6.91      11.19   31505.10
2005 08 31 05 14 00 000       0.00      -3.96      -3.98    -372.02      33.37       6.94      11.18   31517.74
2005 08 31 05 15 00 000       0.00      -3.52      -4.12    -372.01      33.39       6.96      11.18   31530.37
2005 08 31 05 16 00 000       0.00      -5.94      -2.76    -372.01      33.42       6.99      11.18   31543.01
2005 08 31 05 17 00 000       0.00      -6.67      -2.42    -372.00      33.45       7.02      11.17   31555.65
2005 08 31 05 18 00 000       0.00      -6.59      -2.38    -372.00      33.47       7.05      11.17   31568.29
2005 08 31 05 19 00 000       0.00      -6.48      -2.54    -371.99      33.50       7.08      11.17   31580.93
2005 08 31 05 20 00 000       0.00      -6.79      -2.30    -371.98      33.52       7.10      11.16   31593.56
2005 08 31 05 21 00 000       0.00      -6.79      -2.63    -371.98      33.55       7.13      11.16   31606.20
2005 08 31 05 22 00 000       0.00      -6.56      -2.64    -371.97      33.58       7.16      11.15   31618.84
2005 08 31 05 23 00 000       0.00      -6.55      -2.76    -371.97      33.60       7.19      11.15   31631.48
2005 08 31 05 24 00 000       0.00      -6.31      -3.06    -371.96      33.63       7.21      11.15   31644.12
2005 08 31 05 25 00 000       0.00      -6.33      -2.96    -371.95      33.66       7.24      11.14   31656.75
2005 08 31 05 26 00 000       0.00      -5.93      -3.03    -371.95      33.68       7.27      11.14   31669.39
2005 08 31 05 27 00 000       0.00      -5.91      -3.10    -371.94      33.71       7.30      11.14   31682.03
2005 08 31 05 28 00 000       0.00      -5.75      -3.35    -371.94      33.73       7.33      11.13   31694.67
2005 08 31 05 29 00 000       0.00      -6.08      -3.08    -371.93      33.76       7.35      11.13   31707.30
2005 08 31 05 30 00 000       0.00      -6.22      -2.23    -371.92      33.79       7.38      11.13   31719.94
2005 08 31 05 31 00 000       0.00      -6.22      -1.95    -371.92      33.81       7.41      11.12   31732.58
2005 08 31 05 32 00 000       0.00      -6.60      -1.93    -371.91      33.84       7.44      11.12   31745.22
2005 08 31 05 33 00 000       0.00      -6.67      -1.84    -371.91      33.87       7.46      11.12   31757.86
2005 08 31 05 34 00 000       0.00      -6.54      -1.99    -371.90      33.89       7.49      11.11   31770.49
2005 08 31 05 35 00 000       0.00      -7.33      -1.70    -371.89      33.92       7.52      11.11   31783.13
