MAG 16-second Averaged Interplanetary Magnetic Field Data, GSE
year doy hr min sec Bx By Bz 
2019 216  0 31 53.602    2.916   -0.861   -1.562
2019 216  0 32  9.602    2.954   -0.861   -1.549
2019 216  0 32 25.602    2.765   -0.929   -1.679
2019 216  0 32 41.602    2.766   -0.826   -1.651
2019 216  0 32 57.602    2.719   -0.951   -1.590
2019 216  0 33 13.602    2.692   -0.774   -1.816
2019 216  0 33 29.602    2.789   -0.669   -1.772
2019 216  0 33 45.602    2.671   -0.553   -1.850
2019 216  0 34  1.602    2.737   -0.579   -1.830
2019 216  0 34 17.602    2.757   -0.433   -1.840
2019 216  0 34 33.602    3.139   -0.129   -1.323
2019 216  0 34 49.602    3.054   -0.584   -1.167
2019 216  0 35  5.602    3.196   -0.674   -0.984
2019 216  0 35 21.602    3.139   -0.653   -0.991
2019 216  0 35 37.602    3.141   -0.454   -1.212
2019 216  0 35 53.602    3.057   -0.338   -1.278
2019 216  0 36  9.602    3.010   -0.348   -1.371
2019 216  0 36 25.602    3.006   -0.066   -1.347
2019 216  0 36 41.602    2.477   -0.794   -1.664
2019 216  0 36 57.601    2.449   -0.486   -1.894
2019 216  0 37 13.601    2.563   -0.464   -1.821
2019 216  0 37 29.601    2.744   -0.364   -1.629
2019 216  0 37 45.601    2.700   -0.154   -1.725
2019 216  0 38  1.601    2.643   -0.332   -1.747
2019 216  0 38 17.601    2.598   -0.373   -1.878
2019 216  0 38 33.601    2.758   -0.291   -1.646
2019 216  0 38 49.601    2.736    0.053   -1.673
2019 216  0 39  5.601    2.558    0.112   -1.840
2019 216  0 39 21.601    2.717   -0.245   -1.775
2019 216  0 39 37.601    2.708   -0.483   -1.687
2019 216  0 39 53.601    2.671   -0.096   -1.853
2019 216  0 40  9.601    2.580    0.221   -1.831
2019 216  0 40 25.601    2.739   -0.002   -1.580
2019 216  0 40 41.601    2.917    0.085   -1.535
2019 216  0 40 57.601    2.733    0.274   -1.712
2019 216  0 41 13.601    2.619    0.535   -1.748
2019 216  0 41 29.601    2.820   -0.258   -1.557
2019 216  0 41 45.601    2.805   -0.088   -1.495
2019 216  0 42  1.601    2.813   -0.025   -1.611
2019 216  0 42 17.601    2.758    0.024   -1.603
2019 216  0 42 33.601    2.728    0.105   -1.618
2019 216  0 42 49.601    2.869    0.071   -1.315
2019 216  0 43  5.601    3.319    0.652   -0.093
2019 216  0 43 21.601    3.385    0.707    0.175
2019 216  0 43 37.601    3.372    0.632    0.083
2019 216  0 43 53.601    3.300    0.394   -0.419
2019 216  0 44  9.601    3.337    0.388   -0.523
2019 216  0 44 25.601    3.212    0.471   -0.886
2019 216  0 44 41.601    3.175    0.401   -0.912
2019 216  0 44 57.601    3.153    0.358   -1.003
2019 216  0 45 13.600    3.127    0.225   -1.047
2019 216  0 45 29.600    3.138    0.485   -1.140
2019 216  0 45 45.600    3.162    0.069   -0.915
2019 216  0 46  1.600    3.212   -0.332   -0.714
2019 216  0 46 17.600    3.124    0.124   -1.079
2019 216  0 46 33.600    3.080   -0.012   -1.202
2019 216  0 46 49.600    3.002   -0.024   -1.325
2019 216  0 47  5.600    2.961    0.055   -1.369
2019 216  0 47 21.600    3.088    0.103   -1.311
2019 216  0 47 37.600    3.082    0.182   -1.060
2019 216  0 47 53.600    3.289    0.170   -1.066
2019 216  0 48  9.600    3.264    0.136   -1.030
2019 216  0 48 25.600    3.429    0.477   -0.325
2019 216  0 48 41.600    3.441    0.372   -0.405
2019 216  0 48 57.600    3.367    0.630   -0.748
2019 216  0 49 13.600    3.300    0.492   -1.028
2019 216  0 49 29.600    3.110    0.428   -1.534
2019 216  0 49 45.600    3.181    0.604   -1.316
2019 216  0 50  1.600    3.253    0.760   -0.863
2019 216  0 50 17.600    3.091    1.385   -0.050
2019 216  0 50 33.600    2.907    1.610   -0.112
2019 216  0 50 49.600    3.194    1.184    0.254
2019 216  0 51  5.600    3.256    0.864    0.472
2019 216  0 51 21.600    2.984    1.361    0.681
2019 216  0 51 37.600    3.056    1.094    0.915
2019 216  0 51 53.600    3.194    1.302    0.191
2019 216  0 52  9.600    3.297    1.144   -0.146
2019 216  0 52 25.600    3.095    1.501   -0.722
2019 216  0 52 41.600    3.155    1.456    0.041
2019 216  0 52 57.600    3.213    1.352    0.289
2019 216  0 53 13.600    3.250    1.389    0.391
2019 216  0 53 29.600    3.294    1.413    0.096
2019 216  0 53 45.599    3.263    1.493    0.008
2019 216  0 54  1.599    3.161    1.683    0.166
2019 216  0 54 17.599    3.195    1.587   -0.008
2019 216  0 54 33.599    3.315    1.485   -0.169
2019 216  0 54 49.599    3.391    1.262   -0.168
2019 216  0 55  5.599    3.329    1.418   -0.030
2019 216  0 55 21.599    3.225    1.646    0.011
2019 216  0 55 37.599    3.189    1.575   -0.147
2019 216  0 55 53.599    3.342    1.495   -0.021
2019 216  0 56  9.599    3.340    1.622   -0.019
2019 216  0 56 25.599    3.381    1.523   -0.018
2019 216  0 56 41.599    3.338    1.484    0.003
2019 216  0 56 57.599    3.357    1.398    0.015
2019 216  0 57 13.599    3.255    1.411   -0.154
2019 216  0 57 29.599    3.205    1.517   -0.189
2019 216  0 57 45.599    3.224    1.541   -0.308
2019 216  0 58  1.599    3.252    1.547   -0.327
2019 216  0 58 17.599    3.161    1.575   -0.481
2019 216  0 58 33.599    3.087    1.783    0.046
2019 216  0 58 49.599    3.156    1.746   -0.174
2019 216  0 59  5.599    3.187    1.689   -0.225
2019 216  0 59 21.599    3.093    1.680   -0.260
2019 216  0 59 37.599    3.160    1.635   -0.221
2019 216  0 59 53.599    3.215    1.693   -0.146
2019 216  1  0  9.599    3.282    1.786   -0.011
2019 216  1  0 25.599    3.226    1.884    0.087
2019 216  1  0 41.599    3.129    1.799    0.041
2019 216  1  0 57.599    3.224    1.713   -0.055
2019 216  1  1 13.599    3.196    1.587   -0.161
2019 216  1  1 29.599    3.230    1.433   -0.234
2019 216  1  1 45.599    3.292    1.336   -0.381
2019 216  1  2  1.598    3.299    1.294   -0.307
2019 216  1  2 17.598    3.259    1.265   -0.326
2019 216  1  2 33.598    3.221    1.347   -0.206
2019 216  1  2 49.598    3.148    1.448   -0.203
2019 216  1  3  5.598    3.229    1.406   -0.116
2019 216  1  3 21.598    3.365    1.313   -0.173
2019 216  1  3 37.598    3.308    1.390   -0.070
2019 216  1  3 53.598    3.331    1.433    0.007
2019 216  1  4  9.598    3.325    1.540    0.004
2019 216  1  4 25.598    3.301    1.538    0.029
2019 216  1  4 41.598    3.218    1.591    0.081
2019 216  1  4 57.598    3.277    1.606    0.178
2019 216  1  5 13.598    3.118    1.584    0.216
2019 216  1  5 29.598    3.146    1.277   -0.436
2019 216  1  5 45.598    3.132    1.471   -0.187
2019 216  1  6  1.598    3.230    1.507   -0.143
2019 216  1  6 17.598    3.095    1.607   -0.116
2019 216  1  6 33.598    3.138    1.550   -0.139
2019 216  1  6 49.598    3.246    1.454   -0.073
2019 216  1  7  5.598    3.186    1.342    0.091
2019 216  1  7 21.598    3.215    1.458    0.018
2019 216  1  7 37.598    3.247    1.543    0.084
2019 216  1  7 53.598    2.953    1.879    0.345
2019 216  1  8  9.598    2.818    2.017    0.112
2019 216  1  8 25.598    3.029    1.761   -0.097
2019 216  1  8 41.598    3.307    1.484    0.088
2019 216  1  8 57.598    3.131    1.627   -0.149
2019 216  1  9 13.598    3.013    1.804    0.120
2019 216  1  9 29.598    3.017    1.773   -0.030
2019 216  1  9 45.598    2.970    1.816    0.052
2019 216  1 10  1.598    3.022    1.789   -0.021
2019 216  1 10 17.598    2.849    1.852    0.211
2019 216  1 10 33.597    2.740    1.942    0.345
2019 216  1 10 49.597    2.670    2.037    0.467
2019 216  1 11  5.597    3.064    1.676    0.217
2019 216  1 11 21.597    3.220    1.557    0.066
2019 216  1 11 37.597    3.302    1.504   -0.176
2019 216  1 11 53.597    3.382    1.463   -0.235
2019 216  1 12  9.597    3.408    1.020   -0.496
2019 216  1 12 25.597    3.480    0.924   -0.555
2019 216  1 12 41.597    3.375    0.974   -0.415
2019 216  1 12 57.597    3.411    1.157   -0.358
2019 216  1 13 13.597    3.326    1.286   -0.191
2019 216  1 13 29.597    3.010    1.747    0.276
2019 216  1 13 45.597    2.814    1.937    0.511
2019 216  1 14  1.597    2.845    2.007    0.550
2019 216  1 14 17.597    2.744    2.021    0.710
2019 216  1 14 33.597    2.631    2.020    0.907
2019 216  1 14 49.597    2.516    2.027    0.960
2019 216  1 15  5.597    2.454    2.230    0.623
2019 216  1 15 21.597    2.616    2.100    0.650
2019 216  1 15 37.597    2.941    1.843    0.461
2019 216  1 15 53.597    3.226    1.303    0.015
2019 216  1 16  9.597    3.248    1.105   -0.140
2019 216  1 16 25.597    3.375    1.088   -0.156
2019 216  1 16 41.597    3.395    1.100   -0.054
2019 216  1 16 57.597    3.409    1.084   -0.172
2019 216  1 17 13.597    3.326    0.984   -0.157
2019 216  1 17 29.597    3.285    0.978   -0.156
2019 216  1 17 45.597    3.268    0.876   -0.271
2019 216  1 18  1.597    3.251    0.959   -0.191
2019 216  1 18 17.597    3.337    0.882   -0.269
