SWEPAM 64-second Averaged Solar Wind Ion Parameters (GSE, /cc, K, km/s, km)
year doy hr min sec rho T ux uy uz x y z
2017 147  1  1 13.000  -9999.900  2.1183e+04   -295.86    -16.18      5.65  1.5894e+06 -4.7092e+04  1.4196e+05
2017 147  1  2 17.000  -9999.900  2.3476e+04   -297.14    -12.86      4.04  1.5894e+06 -4.7098e+04  1.4197e+05
2017 147  1  3 21.000  -9999.900  1.8831e+04   -294.57    -15.05      3.79  1.5894e+06 -4.7104e+04  1.4197e+05
2017 147  1  4 25.000  -9999.900  1.6225e+04   -295.12    -14.75      5.11  1.5894e+06 -4.7109e+04  1.4197e+05
2017 147  1  5 29.000  -9999.900 -9.9999e+03  -9999.90  -9999.90  -9999.90  1.5894e+06 -4.7115e+04  1.4197e+05
2017 147  1  6 33.000  -9999.900 -9.9999e+03  -9999.90  -9999.90  -9999.90  1.5894e+06 -4.7121e+04  1.4197e+05
2017 147  1  7 37.000  -9999.900 -9.9999e+03  -9999.90  -9999.90  -9999.90  1.5894e+06 -4.7126e+04  1.4197e+05
2017 147  1  8 41.000  -9999.900 -9.9999e+03  -9999.90  -9999.90  -9999.90  1.5894e+06 -4.7132e+04  1.4198e+05
2017 147  1  9 45.000  -9999.900  2.2564e+04   -298.82    -12.52      5.17  1.5894e+06 -4.7138e+04  1.4198e+05
2017 147  1 10 49.000  -9999.900  2.3227e+04   -298.30    -12.82      6.00  1.5894e+06 -4.7144e+04  1.4198e+05
2017 147  1 11 53.000  -9999.900  2.0923e+04   -297.78    -15.96      5.41  1.5894e+06 -4.7149e+04  1.4198e+05
2017 147  1 12 57.000  -9999.900 -9.9999e+03   -303.12    -11.30      8.47  1.5894e+06 -4.7155e+04  1.4198e+05
2017 147  1 14  1.000  -9999.900  2.5272e+04   -300.23    -12.42      9.76  1.5894e+06 -4.7161e+04  1.4199e+05
2017 147  1 15  5.000  -9999.900  2.7637e+04   -302.10    -14.15      8.54  1.5894e+06 -4.7166e+04  1.4199e+05
2017 147  1 16  9.000  -9999.900  2.2174e+04   -295.86    -14.11      9.49  1.5894e+06 -4.7172e+04  1.4199e+05
2017 147  1 17 13.000  -9999.900  2.5643e+04   -299.42    -15.56      6.34  1.5894e+06 -4.7178e+04  1.4199e+05
2017 147  1 18 17.000  -9999.900  1.5099e+04   -296.91    -17.02      6.12  1.5894e+06 -4.7183e+04  1.4199e+05
2017 147  1 19 21.000  -9999.900  1.9767e+04   -296.68    -13.13      6.76  1.5894e+06 -4.7189e+04  1.4199e+05
2017 147  1 20 25.000  -9999.900  1.6386e+04   -298.91    -14.14      5.83  1.5894e+06 -4.7195e+04  1.4200e+05
2017 147  1 21 29.000  -9999.900  2.0807e+04   -299.22    -13.98      6.55  1.5894e+06 -4.7200e+04  1.4200e+05
2017 147  1 22 33.000  -9999.900  2.0727e+04   -297.90    -13.70      6.63  1.5894e+06 -4.7206e+04  1.4200e+05
2017 147  1 23 37.000  -9999.900  1.9999e+04   -298.05    -13.68      7.28  1.5894e+06 -4.7212e+04  1.4200e+05
2017 147  1 24 41.000  -9999.900  1.6853e+04   -294.77    -16.92      6.97  1.5894e+06 -4.7217e+04  1.4200e+05
2017 147  1 25 45.000  -9999.900  1.6826e+04   -297.17    -14.20      6.12  1.5894e+06 -4.7223e+04  1.4200e+05
2017 147  1 26 49.000  -9999.900  1.9391e+04   -298.76    -17.29      6.29  1.5894e+06 -4.7229e+04  1.4201e+05
2017 147  1 27 53.000  -9999.900  1.9572e+04   -297.87    -18.17      4.19  1.5894e+06 -4.7234e+04  1.4201e+05
2017 147  1 28 57.000  -9999.900  2.0275e+04   -297.26    -14.70      5.45  1.5894e+06 -4.7240e+04  1.4201e+05
2017 147  1 30  1.000  -9999.900  1.9174e+04   -297.09    -12.02      6.14  1.5894e+06 -4.7246e+04  1.4201e+05
2017 147  1 31  5.000  -9999.900  1.6591e+04   -297.56    -13.56      6.69  1.5894e+06 -4.7251e+04  1.4201e+05
2017 147  1 32  9.000  -9999.900  1.9847e+04   -296.25    -13.43      7.51  1.5894e+06 -4.7257e+04  1.4201e+05
2017 147  1 33 13.000  -9999.900  1.6293e+04   -295.90    -14.83      6.37  1.5894e+06 -4.7263e+04  1.4202e+05
2017 147  1 34 17.000  -9999.900  1.8453e+04   -298.21    -16.68      6.47  1.5894e+06 -4.7268e+04  1.4202e+05
2017 147  1 35 21.000  -9999.900  1.6123e+04   -295.74    -13.56      6.13  1.5894e+06 -4.7274e+04  1.4202e+05
2017 147  1 36 25.000  -9999.900  2.1710e+04   -296.82    -16.90      5.05  1.5894e+06 -4.7280e+04  1.4202e+05
2017 147  1 37 29.000  -9999.900  1.8240e+04   -297.41    -15.63      7.31  1.5894e+06 -4.7285e+04  1.4202e+05
2017 147  1 38 33.000  -9999.900 -9.9999e+03  -9999.90  -9999.90  -9999.90  1.5894e+06 -4.7291e+04  1.4203e+05
2017 147  1 39 37.000  -9999.900  1.9748e+04   -298.19    -13.49      6.63  1.5894e+06 -4.7297e+04  1.4203e+05
2017 147  1 40 41.000  -9999.900  1.4242e+04   -297.12    -16.73      6.76  1.5894e+06 -4.7303e+04  1.4203e+05
2017 147  1 41 45.000  -9999.900  1.5783e+04   -297.68    -13.19      6.11  1.5894e+06 -4.7308e+04  1.4203e+05
2017 147  1 42 49.000  -9999.900 -9.9999e+03   -294.75    -17.29      4.89  1.5894e+06 -4.7314e+04  1.4203e+05
2017 147  1 43 53.000  -9999.900 -9.9999e+03   -298.09    -16.64      7.21  1.5894e+06 -4.7320e+04  1.4203e+05
2017 147  1 44 57.000  -9999.900  1.7625e+04   -296.61    -12.72      6.13  1.5894e+06 -4.7325e+04  1.4204e+05
2017 147  1 46  1.000  -9999.900  2.3062e+04   -300.03    -14.69      7.03  1.5894e+06 -4.7331e+04  1.4204e+05
2017 147  1 47  5.000  -9999.900  2.0979e+04   -299.19    -15.81      6.26  1.5894e+06 -4.7337e+04  1.4204e+05
2017 147  1 48  9.000  -9999.900  2.1885e+04   -300.74    -13.86      4.79  1.5894e+06 -4.7342e+04  1.4204e+05
2017 147  1 49 13.000  -9999.900  1.8184e+04   -298.08    -16.11      4.90  1.5894e+06 -4.7348e+04  1.4204e+05
2017 147  1 50 17.000  -9999.900  1.8993e+04   -297.90    -17.75      4.85  1.5894e+06 -4.7354e+04  1.4204e+05
2017 147  1 51 21.000  -9999.900  1.5044e+04   -297.27    -17.73      4.52  1.5894e+06 -4.7359e+04  1.4205e+05
2017 147  1 52 25.000  -9999.900  1.5834e+04   -298.20    -16.19      5.00  1.5893e+06 -4.7365e+04  1.4205e+05
2017 147  1 53 29.000  -9999.900  1.4461e+04   -296.91    -14.01      5.42  1.5893e+06 -4.7371e+04  1.4205e+05
2017 147  1 54 33.000  -9999.900  1.9743e+04   -300.52    -12.97      4.42  1.5893e+06 -4.7376e+04  1.4205e+05
2017 147  1 55 37.000  -9999.900  1.7137e+04   -298.23    -17.20      4.73  1.5893e+06 -4.7382e+04  1.4205e+05
