IMF.dat from Geotail merged for Ux, Uy, Uz, rho, T

MIDL 32Re Data for 2003-10 (GSM nT, km/s, cm^-3, K)
year month day hour minute Bx By Bz Ux Uy Uz rho T B_interp Ux_interp Uyz_interp rho_interp T_interp
#START
2003 10 29   0  49     8.15     0.44    -4.91   -595.50    -33.26    -35.26      5.56  565703.94    0    1    1    1    1
2003 10 29   0  50     8.20     0.44    -4.63   -595.39    -33.19    -35.02      4.94  570927.30    0    1    1    1    1
2003 10 29   0  51     8.20     1.51    -4.63   -595.26    -33.12    -34.74      4.97  576896.81    0    1    1    1    1
2003 10 29   0  52     7.74     1.51    -4.63   -595.22    -33.08    -34.65      5.19  578002.60    0    1    1    1    1
2003 10 29   0  53     6.89    -3.60    -5.80   -595.22    -33.06    -34.66      5.41  576020.12    0    1    1    1    1
2003 10 29   0  54     6.47    -3.60    -6.06   -595.22    -33.04    -34.68      5.66  573754.45    0    1    1    1    1
2003 10 29   0  55     6.39    -0.99    -7.14   -595.22    -33.03    -34.70      5.92  571488.80    0    1    1    1    1
2003 10 29   0  56     6.39    -0.10    -7.14   -595.22    -33.01    -34.71      6.14  569506.36    0    1    1    1    1
2003 10 29   0  57     8.45     1.69    -3.79   -595.22    -33.00    -34.72      6.36  567523.91    0    1    1    1    1
2003 10 29   0  58     8.45     1.69    -3.79   -595.22    -32.98    -34.74      6.40  565258.25    0    1    1    1    1
2003 10 29   0  59     6.80     0.66    -5.78   -595.22    -32.96    -34.76      6.29  562992.56    0    1    1    1    1
2003 10 29   1   0     6.80    -3.41    -5.78   -595.22    -32.94    -34.77      6.20  561010.18    0    1    1    1    1
2003 10 29   1   1     7.65    -3.41    -5.70   -595.22    -32.93    -34.79      6.11  559027.70    0    1    1    1    1
2003 10 29   1   2     7.85    -2.59    -5.33   -595.22    -32.91    -34.80      6.00  556762.00    0    1    1    1    1
2003 10 29   1   3     8.33    -1.99    -5.15   -595.22    -32.89    -34.83      5.90  554496.41    0    1    1    1    1
2003 10 29   1   4     8.37    -1.86    -4.93   -595.22    -32.88    -34.84      5.81  552513.90    0    1    1    1    1
2003 10 29   1   5     8.39    -1.86    -4.92   -595.22    -32.86    -34.86      5.71  550531.47    0    1    1    1    1
2003 10 29   1   6     9.15    -1.15    -3.60   -595.22    -32.84    -34.87      5.61  548265.80    0    1    1    1    1
2003 10 29   1   7     9.15    -1.14    -3.60   -595.22    -32.82    -34.89      5.58  546000.14    0    1    1    1    1
2003 10 29   1   8     8.31    -0.94    -4.67   -595.22    -32.80    -34.91      5.58  544017.71    0    1    1    1    1
2003 10 29   1   9     7.01    -1.14    -6.54   -595.22    -32.79    -34.92      5.51  542035.25    0    1    1    1    1
2003 10 29   1  10     7.01    -1.53    -6.54   -595.22    -32.77    -34.94      5.31  539769.59    0    1    1    1    1
2003 10 29   1  11     7.62    -2.03    -5.96   -595.22    -32.75    -34.96      5.31  537503.97    0    1    1    1    1
2003 10 29   1  12     8.10    -2.38    -4.26   -595.22    -32.73    -34.97      5.74  535521.50    0    1    1    1    1
2003 10 29   1  13     8.27    -4.08     0.81   -595.22    -32.72    -34.99      6.20  533539.00    0    1    1    1    1
2003 10 29   1  14     8.63    -4.08     0.81   -595.22    -32.70    -35.01      6.00  531273.41    0    1    1    1    1
2003 10 29   1  15     8.88    -3.64     0.59   -595.22    -32.67    -35.03      5.05  529007.70    0    1    1    1    1
2003 10 29   1  16     8.88     0.58    -2.23   -595.22    -32.66    -35.04      4.84  527025.25    0    1    1    1    1
2003 10 29   1  17     9.06     0.58    -2.23   -595.22    -32.64    -35.06      4.96  525042.80    0    1    1    1    1
2003 10 29   1  18     8.50    -3.77    -2.22   -595.22    -32.62    -35.08      5.08  522777.16    0    1    1    1    1
2003 10 29   1  19     8.50    -3.77    -1.87   -595.22    -32.60    -35.09      5.21  520511.50    0    1    1    1    1
2003 10 29   1  20     8.15    -3.76    -1.87   -595.22    -32.58    -35.11      5.32  518529.06    0    1    1    1    1
2003 10 29   1  21     4.92    -3.76     7.78   -635.07    -40.95     33.16      5.44  512598.91    0    1    1    1    1
2003 10 29   1  22     4.00    -4.47     7.78   -660.08    -46.74     77.37      5.57  511658.07    0    1    1    1    1
2003 10 29   1  23     4.00    -4.54     7.34   -658.53    -46.95     76.05      5.77  513726.61    0    1    1    1    1
2003 10 29   1  24     5.49    -4.54     6.73   -656.72    -47.19     74.50      6.02  516139.92    0    1    1    1    1
2003 10 29   1  25     6.31    -4.39     5.67   -654.92    -47.43     72.96      6.27  518553.23    0    1    1    1    1
2003 10 29   1  26     7.98    -4.02     3.13   -653.11    -47.66     71.41      6.41  520966.53    0    1    1    1    1
2003 10 29   1  27     8.61    -2.62     2.96   -651.30    -47.90     69.86      6.28  523379.83    0    1    1    1    1
2003 10 29   1  28     8.61    -2.26     2.96   -649.75    -48.10     68.54      6.15  525448.38    0    1    1    1    1
2003 10 29   1  29     7.69    -1.79     5.36   -647.94    -48.33     66.99      6.21  527861.70    0    1    1    1    1
2003 10 29   1  30     6.68    -1.72     6.43   -646.13    -48.56     65.44      7.02  530275.00    0    1    1    1    1
2003 10 29   1  31     6.40    -1.72     6.43   -644.33    -48.79     63.89      7.67  532688.30    0    1    1    1    1
2003 10 29   1  32     6.40    -3.38     5.70   -642.52    -49.02     62.34      7.11  535101.62    0    1    1    1    1
2003 10 29   1  33     6.40    -4.18     4.23   -640.71    -49.24     60.80      6.33  537514.92    0    1    1    1    1
2003 10 29   1  34     8.14    -4.18     4.14   -638.90    -49.47     59.24      5.69  539928.23    0    1    1    1    1
2003 10 29   1  35     8.14    -1.81     4.14   -637.35    -49.65     57.92      5.92  541996.77    0    1    1    1    1
2003 10 29   1  36     4.10    -1.81     5.42   -635.54    -49.88     56.37      6.30  544410.08    0    1    1    1    1
2003 10 29   1  37     4.10    -1.52     5.42   -633.73    -50.10     54.82      6.34  546823.38    0    1    1    1    1
2003 10 29   1  38     6.71     1.74    -1.75   -631.93    -50.31     53.27      6.14  549236.70    0    1    1    1    1
2003 10 29   1  39     6.92     1.74    -2.02   -630.12    -50.53     51.72      6.05  551650.00    0    1    1    1    1
2003 10 29   1  40     6.95    -2.89    -2.02   -628.57    -50.71     50.38      6.14  553718.54    0    1    1    1    1
2003 10 29   1  41     6.92    -2.89    -0.06   -626.76    -50.92     48.83      6.24  556131.86    0    1    1    1    1
2003 10 29   1  42     6.95    -2.64     0.10   -624.95    -51.14     47.28      6.34  558545.17    0    1    1    1    1
2003 10 29   1  43     8.41    -0.38     1.25   -623.14    -51.34     45.73      6.44  560958.47    0    1    1    1    1
2003 10 29   1  44     9.42    -0.20     0.10   -621.34    -51.55     44.17      6.70  563371.77    0    1    1    1    1
2003 10 29   1  45     9.42     0.13    -0.13   -619.79    -51.73     42.84      6.92  565440.31    0    1    1    1    1
2003 10 29   1  46     9.05     0.13    -1.86   -617.98    -51.93     41.29      6.93  567853.63    0    1    1    1    1
2003 10 29   1  47     9.05    -0.40    -2.36   -616.17    -52.14     39.74      6.93  570266.94    0    1    1    1    1
2003 10 29   1  48     9.05    -1.00    -2.36   -614.62    -52.31     38.41      6.93  572335.50    0    1    1    1    1
2003 10 29   1  49     8.66    -3.00    -2.40   -612.81    -52.51     36.85      6.91  574748.78    0    1    1    1    1
2003 10 29   1  50     8.66    -3.00    -2.61   -611.00    -52.71     35.29      6.73  577162.10    0    1    1    1    1
2003 10 29   1  51     9.15    -1.83    -2.61   -609.20    -52.90     33.74      6.52  579575.41    0    1    1    1    1
2003 10 29   1  52     9.34    -1.39    -1.87   -607.39    -53.10     32.18      6.25  581988.71    0    1    1    1    1
2003 10 29   1  53     9.34    -1.83    -0.68   -605.84    -53.26     30.85      6.02  584057.25    0    1    1    1    1
2003 10 29   1  54     8.61    -2.88     2.90   -604.03    -53.45     29.30      5.87  586470.56    0    1    1    1    1
2003 10 29   1  55     8.12    -4.71     2.90   -602.22    -53.63     27.74      5.74  588883.88    0    1    1    1    1
2003 10 29   1  56     8.12    -4.71     1.50   -600.67    -53.79     26.40      5.62  590952.42    0    1    1    1    1
2003 10 29   1  57     8.74    -3.68     0.71   -598.87    -53.97     24.85      5.48  593365.73    0    1    1    1    1
2003 10 29   1  58     8.93    -3.13    -0.14   -598.12    -54.06     24.18      5.34  594400.00    0    1    1    1    1
2003 10 29   1  59     9.04    -3.13    -0.14   -598.12    -54.08     24.15      5.22  594400.00    0    1    1    1    1
2003 10 29   2   0     8.93    -3.38     0.50   -598.12    -54.09     24.12      5.10  594400.00    0    1    1    1    1
2003 10 29   2   1     8.72    -4.15     0.96   -598.12    -54.11     24.08      4.96  594400.00    0    1    1    1    1
2003 10 29   2   2     8.70    -4.17     0.96   -598.12    -54.12     24.05      4.81  594400.00    0    1    1    1    1
2003 10 29   2   3     8.46    -4.92     0.22   -598.12    -54.14     24.01      4.69  594400.00    0    1    1    1    1
2003 10 29   2   4     8.30    -4.92    -0.78   -598.12    -54.15     23.98      4.57  594400.00    0    1    1    1    1
2003 10 29   2   5     8.27    -4.11    -2.50   -598.12    -54.17     23.95      4.43  594400.00    0    1    1    1    1
2003 10 29   2   6     8.27    -4.11    -2.50   -598.12    -54.19     23.90      4.40  594400.00    0    1    1    1    1
2003 10 29   2   7     7.92    -5.45    -2.05   -598.12    -54.20     23.87      4.44  594400.00    0    1    1    1    1
2003 10 29   2   8     7.92    -5.45    -2.05   -598.12    -54.21     23.84      4.47  594400.00    0    1    1    1    1
2003 10 29   2   9     7.92    -2.89    -4.71   -598.12    -54.23     23.80      4.50  594400.00    0    1    1    1    1
2003 10 29   2  10     7.87    -2.40    -5.70   -598.12    -54.25     23.77      4.54  594400.00    0    1    1    1    1
2003 10 29   2  11     7.70    -2.38    -5.89   -598.12    -54.26     23.73      4.58  594400.00    0    1    1    1    1
2003 10 29   2  12     7.70    -1.18    -5.89   -598.12    -54.27     23.70      4.62  594400.00    0    1    1    1    1
2003 10 29   2  13     6.02     3.31    -5.89   -598.12    -54.29     23.66      4.65  594400.00    0    1    1    1    1
2003 10 29   2  14     6.02     3.31    -3.16   -598.12    -54.30     23.62      4.70  594400.00    0    1    1    1    1
2003 10 29   2  15     7.50    -0.56    -2.98   -598.12    -54.32     23.59      4.73  594400.00    0    1    1    1    1
2003 10 29   2  16     7.50    -6.42    -3.15   -598.12    -54.34     23.55      4.76  594400.00    0    1    1    1    1
2003 10 29   2  17     7.50    -6.42    -2.98   -598.12    -54.35     23.52      4.79  594400.00    0    1    1    1    1
2003 10 29   2  18     7.08    -6.55    -2.11   -598.12    -54.37     23.48      4.83  594400.00    0    1    1    1    1
2003 10 29   2  19     6.51    -6.63    -2.11   -598.12    -54.38     23.45      4.87  594400.00    0    1    1    1    1
2003 10 29   2  20     6.51    -6.63    -2.11   -598.12    -54.40     23.41      4.90  594400.00    0    1    1    1    1
2003 10 29   2  21     7.81    -5.82    -1.26   -598.12    -54.42     23.38      4.95  594400.00    0    1    1    1    1
2003 10 29   2  22     9.08    -3.17    -1.26   -598.12    -54.43     23.34      4.98  594400.00    0    1    1    1    1
2003 10 29   2  23     9.40    -0.98    -1.94   -598.12    -54.45     23.30      5.02  594400.00    0    1    1    1    1
