Corrected IMF based on L1.dat
yr mo dy hr mn sc ms bx by bz ux uy uz rho T
#START
2019 09 22 00 55 00   0      -3.28       1.92      -1.24     346.51       0.00       0.00       2.89     36043.70
2019 09 22 00 56 00   0      -3.28       1.96      -1.29     346.67       0.00       0.00       2.87     33470.60
2019 09 22 00 57 00   0      -3.29       1.95      -1.24     345.97       0.00       0.00       2.93     33015.30
2019 09 22 00 58 00   0      -3.16       1.96      -1.19     345.43       0.00       0.00       2.98     36172.30
2019 09 22 00 59 00   0      -3.22       1.98      -1.01     344.76       0.00       0.00       2.98     37021.60
2019 09 22 01 00 00   0      -3.25       1.92      -1.12     344.75       0.00       0.00       2.94     36935.10
2019 09 22 01 01 00   0      -3.28       1.77      -1.17     345.69       0.00       0.00       2.68     38444.90
2019 09 22 01 02 00   0      -3.17       1.94      -1.17     344.59       0.00       0.00       2.72     34583.80
2019 09 22 01 03 00   0      -3.26       1.91      -1.24     343.03       0.00       0.00       2.58     38662.10
2019 09 22 01 04 00   0      -3.33       1.91      -1.29     342.84       0.00       0.00       2.85     37091.20
2019 09 22 01 05 00   0      -3.16       1.92      -1.36     342.77       0.00       0.00       2.59     37759.40
2019 09 22 01 06 00   0      -3.17       1.96      -1.31     341.40       0.00       0.00       2.67     36593.80
2019 09 22 01 07 00   0      -3.33       2.15      -1.27     340.98       0.00       0.00       2.71     36186.80
2019 09 22 01 08 00   0      -3.33       2.10      -1.23     343.54       0.00       0.00       2.96     40555.20
2019 09 22 01 09 00   0      -3.15       2.06      -1.40     343.60       0.00       0.00       2.89     37899.90
2019 09 22 01 10 00   0      -3.16       1.93      -1.37     343.50       0.00       0.00       2.87     35379.90
2019 09 22 01 11 00   0      -3.14       1.90      -1.27     343.87       0.00       0.00       2.89     35928.40
2019 09 22 01 12 00   0      -3.21       1.94      -1.14     344.21       0.00       0.00       2.82     37777.00
2019 09 22 01 13 00   0      -3.07       1.87      -1.16     343.80       0.00       0.00       2.74     38162.20
2019 09 22 01 14 00   0      -2.90       1.79      -1.58     344.36       0.00       0.00       2.77     36534.90
2019 09 22 01 15 00   0      -2.68       1.89      -1.81     345.00       0.00       0.00       3.06     34487.50
2019 09 22 01 16 00   0      -2.89       1.88      -1.70     345.82       0.00       0.00       3.31     33090.10
2019 09 22 01 17 00   0      -3.02       1.83      -1.64     346.50       0.00       0.00       3.15     31687.20
2019 09 22 01 18 00   0      -3.08       1.90      -1.55     344.69       0.00       0.00       3.31     32261.00
2019 09 22 01 19 00   0      -3.14       1.88      -1.59     345.74       0.00       0.00       3.25     31365.50
2019 09 22 01 20 00   0      -3.13       1.89      -1.54     345.70       0.00       0.00       3.25     36466.00
2019 09 22 01 21 00   0      -3.17       1.98      -1.50     345.83       0.00       0.00       2.87     36124.70
2019 09 22 01 22 00   0      -3.15       1.92      -1.43     345.08       0.00       0.00       3.03     37042.20
2019 09 22 01 23 00   0      -3.13       1.89      -1.47     345.58       0.00       0.00       3.10     34739.20
2019 09 22 01 24 00   0      -3.07       1.90      -1.40     344.53       0.00       0.00       3.31     36315.20
2019 09 22 01 25 00   0      -3.07       1.89      -1.35     345.11       0.00       0.00       3.15     35403.10
2019 09 22 01 26 00   0      -3.09       1.88      -1.30     344.39       0.00       0.00       3.17     36972.90
2019 09 22 01 27 00   0      -3.20       1.88      -1.33     343.28       0.00       0.00       3.32     40173.70
2019 09 22 01 28 00   0      -3.34       1.86      -1.32     343.46       0.00       0.00       3.12     38891.10
2019 09 22 01 29 00   0      -3.40       1.89      -1.37     341.84       0.00       0.00       2.97     38790.00
2019 09 22 01 30 00   0      -3.35       1.93      -1.43     341.11       0.00       0.00       3.04     42699.40
2019 09 22 01 31 00   0      -3.36       1.89      -1.50     342.15       0.00       0.00       2.99     42764.80
2019 09 22 01 32 00   0      -3.30       1.88      -1.46     341.46       0.00       0.00       3.05     37276.00
2019 09 22 01 33 00   0      -3.28       1.93      -1.44     342.19       0.00       0.00       3.07     39878.70
2019 09 22 01 34 00   0      -3.23       1.88      -1.38     343.83       0.00       0.00       2.74     41440.60
2019 09 22 01 35 00   0      -3.20       1.84      -1.43     343.57       0.00       0.00       2.58     37072.30
2019 09 22 01 36 00   0      -3.25       1.89      -1.41     341.60       0.00       0.00       2.72     43119.20
2019 09 22 01 37 00   0      -3.25       1.92      -1.37     342.58       0.00       0.00       2.74     40624.10
2019 09 22 01 38 00   0      -3.31       1.93      -1.38     341.94       0.00       0.00       2.76     38559.40
2019 09 22 01 39 00   0      -3.26       1.96      -1.41     342.19       0.00       0.00       2.74     42143.80
2019 09 22 01 40 00   0      -3.24       1.95      -1.40     342.41       0.00       0.00       2.73     43866.20
2019 09 22 01 41 00   0      -3.31       1.95      -1.35     340.88       0.00       0.00       2.63     43656.50
2019 09 22 01 42 00   0      -3.28       1.94      -1.39     341.58       0.00       0.00       2.73     41359.30
2019 09 22 01 43 00   0      -3.28       1.97      -1.34     343.49       0.00       0.00       2.73     39568.90
2019 09 22 01 44 00   0      -3.32       1.96      -1.30     344.65       0.00       0.00       2.69     39289.30
2019 09 22 01 45 00   0      -3.38       1.94      -1.27     343.42       0.00       0.00       2.75     37489.50
2019 09 22 01 46 00   0      -3.46       2.00      -1.24     342.03       0.00       0.00       2.53     36846.50
2019 09 22 01 47 00   0      -3.43       2.02      -1.21     341.55       0.00       0.00       2.53     36829.40
2019 09 22 01 48 00   0      -3.53       2.08      -1.28     343.35       0.00       0.00       2.48     40142.90
2019 09 22 01 49 00   0      -3.48       2.12      -1.28     345.36       0.00       0.00       2.97     34983.30
2019 09 22 01 50 00   0      -3.42       2.17      -1.25     346.65       0.00       0.00       2.79     37116.40
2019 09 22 01 51 00   0      -3.27       2.21      -1.18     347.13       0.00       0.00       2.95     35465.70
2019 09 22 01 52 00   0      -3.28       2.14      -1.26     345.27       0.00       0.00       3.04     36930.90
2019 09 22 01 53 00   0      -3.29       2.12      -1.35     346.73       0.00       0.00       3.07     34824.60
2019 09 22 01 54 00   0      -3.38       2.10      -1.39     347.79       0.00       0.00       3.16     35391.20
2019 09 22 01 55 00   0      -3.13       2.13      -1.12     346.80       0.00       0.00       3.25     35803.60
2019 09 22 01 56 00   0      -3.09       2.13      -1.09     344.99       0.00       0.00       3.28     37293.50
2019 09 22 01 57 00   0      -3.00       2.19      -1.07     345.21       0.00       0.00       3.26     37341.40
2019 09 22 01 58 00   0      -3.06       1.92      -1.15     344.60       0.00       0.00       3.24     39016.50
2019 09 22 01 59 00   0      -3.14       1.76      -1.18     342.72       0.00       0.00       3.27     40526.10
2019 09 22 02 00 00   0      -3.14       1.79      -1.16     342.33       0.00       0.00       3.13     40062.70
2019 09 22 02 01 00   0      -3.00       1.72      -1.19     343.03       0.00       0.00       2.93     39581.60
2019 09 22 02 02 00   0      -3.04       1.41      -1.28     342.34       0.00       0.00       3.20     37029.30
2019 09 22 02 03 00   0      -3.10       1.04      -1.42     338.23       0.00       0.00       3.39     39346.10
2019 09 22 02 04 00   0      -3.11       1.17      -1.38     336.19       0.00       0.00       3.47     38650.00
2019 09 22 02 05 00   0      -3.19       1.58      -1.16     341.62       0.00       0.00       2.89     40004.20
2019 09 22 02 06 00   0      -3.21       1.66      -1.02     342.60       0.00       0.00       3.58     40735.90
2019 09 22 02 07 00   0      -3.12       1.68      -1.00     342.84       0.00       0.00       2.89     38366.60
2019 09 22 02 08 00   0      -3.18       1.76      -0.90     342.85       0.00       0.00       2.94     40214.60
2019 09 22 02 09 00   0      -3.25       1.77      -0.97     341.94       0.00       0.00       3.18     39533.60
2019 09 22 02 10 00   0      -3.21       1.69      -0.96     340.93       0.00       0.00       3.35     40835.70
2019 09 22 02 11 00   0      -3.02       1.48      -1.34     343.90       0.00       0.00       3.26     42356.50
2019 09 22 02 12 00   0      -2.89       1.35      -1.55     345.03       0.00       0.00       3.47     42139.20
2019 09 22 02 13 00   0      -2.91       1.34      -1.51     344.89       0.00       0.00       3.63     41747.90
2019 09 22 02 14 00   0      -3.00       1.41      -1.35     345.26       0.00       0.00       3.41     46887.40
2019 09 22 02 15 00   0      -3.01       1.46      -1.29     345.42       0.00       0.00       3.29     44894.10
2019 09 22 02 16 00   0      -3.03       1.41      -1.30     345.60       0.00       0.00       3.17     43873.10
2019 09 22 02 17 00   0      -3.07       1.37      -1.27     345.66       0.00       0.00       3.30     44452.40
2019 09 22 02 18 00   0      -2.97       1.73      -1.14     345.64       0.00       0.00       3.41     40675.00
2019 09 22 02 19 00   0      -3.03       1.69      -1.05     344.80       0.00       0.00       3.27     44581.50
2019 09 22 02 20 00   0      -3.11       1.64      -0.98     344.92       0.00       0.00       3.37     42873.60
