MIDL 32Re Data for 2016-10 (GSM nT, km/s, cm^-3, K)
yr mo dy hr mn sc msc bx by bz ux uy uz rho T B_interp Ux_interp Uyz_interp rho_interp T_interp
#START
2016 10 12 18  0  0    0     2.94    -0.32     0.11    -352.1      4.35      1.53     5.347      35693    0    0    0    0    0
2016 10 12 18  1  0    0     2.94    -0.41     0.21    -352.1      4.43      1.97     5.307      36003    0    0    0    0    0
2016 10 12 18  2  0    0     2.92    -0.57     0.26    -351.9      4.92      1.94     5.280      36733    0    0    0    0    0
2016 10 12 18  3  0    0     2.89    -0.44     0.31    -351.5      5.59      2.02     5.243      38967    0    0    0    0    0
2016 10 12 18  4  0    0     2.84    -0.28     0.31    -351.3      6.50      2.65     5.230      38848    0    0    0    0    0
2016 10 12 18  5  0    0     2.84    -0.23     0.36    -351.9      6.35      3.17     5.226      38178    0    0    0    0    0
2016 10 12 18  6  0    0     2.89    -0.25     0.42    -351.9      5.28      3.33     5.224      38178    0    0    0    0    0
2016 10 12 18  7  0    0     3.03    -0.41     0.33    -352.1      4.45      2.59     5.235      37822    0    0    0    0    0
2016 10 12 18  8  0    0     3.00    -0.63     0.05    -352.1      4.07      2.19     5.265      36944    0    0    0    0    0
2016 10 12 18  9  0    0     2.94    -0.67    -0.21    -352.0      3.93      1.85     5.282      37256    0    0    0    0    0
2016 10 12 18 10  0    0     2.95    -0.64    -0.42    -352.1      3.68      1.77     5.267      38564    0    0    0    0    0
2016 10 12 18 11  0    0     2.97    -0.58    -0.53    -352.2      3.88      1.41     5.242      39725    0    0    0    0    0
2016 10 12 18 12  0    0     2.97    -0.59    -0.68    -352.1      4.02      0.42     5.195      38661    0    0    0    0    0
2016 10 12 18 13  0    0     2.99    -0.60    -0.67    -352.0      3.43     -0.61     5.150      36061    0    0    0    0    0
2016 10 12 18 14  0    0     3.03    -0.53    -0.61    -352.1      2.71     -1.09     5.182      36061    0    0    0    0    0
2016 10 12 18 15  0    0     3.02    -0.34    -0.47    -352.1      2.56     -1.12     5.240      36105    0    0    0    0    0
2016 10 12 18 16  0    0     3.00    -0.23    -0.27    -352.1      2.38     -0.78     5.233      36378    0    0    0    0    0
2016 10 12 18 17  0    0     3.00     0.00    -0.18    -351.7      2.77      0.16     5.192      36967    0    0    0    0    0
2016 10 12 18 18  0    0     3.00     0.02    -0.39    -351.5      3.24      1.69     5.212      37567    0    0    0    0    0
2016 10 12 18 19  0    0     3.01     0.02    -0.43    -351.4      3.75      2.76     5.242      37567    0    0    0    0    0
2016 10 12 18 20  0    0     3.01     0.14    -0.32    -351.4      3.97      3.94     5.227      37855    0    0    0    0    0
2016 10 12 18 21  0    0     2.97    -0.13     0.04    -351.3      4.33      3.07     5.217      39420    0    0    0    0    0
2016 10 12 18 22  0    0     2.81    -0.50     0.60    -351.7      4.53      2.04     5.220      39943    0    0    0    0    0
2016 10 12 18 23  0    0     2.61    -0.41     0.90    -351.6      4.68      2.08     5.282      40185    0    0    0    0    0
2016 10 12 18 24  0    0     2.61    -0.40     0.93    -351.8      5.00      2.05     5.281      41174    0    0    0    0    0
2016 10 12 18 25  0    0     2.63    -0.38     0.86    -351.4      5.35      2.20     5.261      41015    0    0    0    0    0
2016 10 12 18 26  0    0     2.63    -0.26     0.83    -351.3      6.02      2.24     5.253      40139    0    0    0    0    0
2016 10 12 18 27  0    0     2.63    -0.21     0.84    -350.9      6.37      2.59     5.262      38965    0    0    0    0    0
2016 10 12 18 28  0    0     2.63    -0.27     0.81    -350.8      5.83      3.61     5.278      35798    0    0    0    0    0
2016 10 12 18 29  0    0     2.67    -0.45     0.53    -350.8      4.57      3.19     5.292      35829    0    0    0    0    0
2016 10 12 18 30  0    0     2.70    -0.53     0.20    -350.6      4.52      2.65     5.293      36274    0    0    0    0    0
2016 10 12 18 31  0    0     2.88    -0.25     0.02    -350.5      5.03      2.13     5.289      36274    0    0    0    0    0
2016 10 12 18 32  0    0     3.09     0.10    -0.30    -350.7      5.49      1.71     5.316      36313    0    0    0    0    0
2016 10 12 18 33  0    0     2.75     0.11    -0.25    -352.7      7.69     -1.18     5.671      37018    0    0    0    0    0
2016 10 12 18 34  0    0     2.89     0.13    -0.06    -352.2      7.11     -1.13     5.600      38150    0    0    0    0    0
2016 10 12 18 35  0    0     3.12     0.17    -0.05    -351.3      5.87     -0.86     5.442      40772    0    0    0    0    0
2016 10 12 18 36  0    0     3.10     0.25    -0.08    -351.2      4.66     -0.66     5.315      40358    0    0    0    0    0
2016 10 12 18 37  0    0     3.12     0.25    -0.10    -351.1      4.17     -0.47     5.328      37916    0    0    0    0    0
2016 10 12 18 38  0    0     3.14     0.21    -0.10    -351.0      3.94      0.63     5.416      37916    0    0    0    0    0
2016 10 12 18 39  0    0     3.14     0.22    -0.07    -350.9      3.95      0.60     5.452      37946    0    0    0    0    0
2016 10 12 18 40  0    0     3.11     0.32    -0.09    -350.8      4.26      0.60     5.417      38312    0    0    0    0    0
2016 10 12 18 41  0    0     3.07     0.47    -0.27    -351.0      4.02      0.58     5.370      38774    0    0    0    0    0
2016 10 12 18 42  0    0     3.05     0.46    -0.25    -351.1      3.15      0.46     5.325      39206    0    0    0    0    0
2016 10 12 18 43  0    0     3.06     0.37    -0.12    -351.3      2.28      0.12     5.305      39184    0    0    0    0    0
2016 10 12 18 44  0    0     3.10     0.30    -0.05    -351.2      1.80     -0.69     5.487      38511    0    0    0    0    0
2016 10 12 18 45  0    0     3.10     0.02     0.08    -351.1      1.32      0.21     5.673      34516    0    0    0    0    0
2016 10 12 18 46  0    0     3.10    -0.30     0.12    -351.1      0.73      3.65     5.836      28594    0    0    0    0    0
2016 10 12 18 47  0    0     3.11    -0.36     0.12    -351.3     -0.73      3.76     5.842      28453    0    0    0    0    0
2016 10 12 18 48  0    0     3.15    -0.52     0.15    -351.7     -1.84      4.19     5.844      27626    0    0    0    0    0
2016 10 12 18 49  0    0     3.14    -0.53     0.20    -352.1     -2.10      5.14     5.881      27791    0    0    0    0    0
2016 10 12 18 50  0    0     3.11    -0.56     0.07    -352.3     -2.35      5.40     5.931      28913    0    0    0    0    0
2016 10 12 18 51  0    0     3.11    -0.63    -0.28    -351.8     -2.37      4.65     5.877      30690    0    0    0    0    0
2016 10 12 18 52  0    0     3.12    -0.66    -0.29    -351.6     -2.55      3.01     5.710      31548    0    0    0    0    0
2016 10 12 18 53  0    0     3.17    -0.62    -0.29    -351.2     -3.21      2.32     5.711      31484    0    0    0    0    0
2016 10 12 18 54  0    0     3.19    -0.68    -0.41    -351.3     -4.43      2.36     5.706      31074    0    0    0    0    0
2016 10 12 18 55  0    0     3.19    -0.66    -0.47    -351.2     -3.32      1.91     5.685      31120    0    0    0    0    0
2016 10 12 18 56  0    0     3.19    -0.38    -0.59    -351.5      1.44      0.66     5.640      32183    0    0    0    1    1
2016 10 12 18 57  0    0     3.19    -0.29    -0.63    -351.3      1.16     -1.57     5.647      35807    0    0    0    1    1
2016 10 12 18 58  0    0     3.17    -0.09    -0.63    -351.1     -0.60     -1.57     5.626      35803    0    0    0    1    1
2016 10 12 18 59  0    0     3.03    -0.05    -0.63    -350.8     -0.64     -1.70     5.616      35777    0    0    0    1    1
2016 10 12 19  0  0    0     2.96    -0.39    -0.68    -350.8     -0.47     -3.02     5.615      35749    0    0    0    1    1
2016 10 12 19  1  0    0     2.92    -0.28    -0.80    -350.9      0.89     -3.57     5.624      35721    0    0    0    1    1
2016 10 12 19  2  0    0     2.93    -0.14    -0.87    -350.9      1.40     -3.79     5.695      35693    0    0    0    1    1
2016 10 12 19  3  0    0     3.00    -0.14    -0.83    -350.9      1.20     -3.72     5.742      35665    0    0    0    1    1
2016 10 12 19  4  0    0     3.15    -0.69    -0.29    -350.8     -0.23     -2.51     5.748      35638    0    0    0    1    1
2016 10 12 19  5  0    0     3.15    -0.62    -0.54    -351.1     -1.98     -1.25     5.714      35609    0    0    0    1    1
2016 10 12 19  6  0    0     3.14    -0.49    -0.55    -351.3     -3.19     -0.48     5.694      35579    0    0    0    1    1
2016 10 12 19  7  0    0     3.10    -0.68    -0.47    -351.6     -4.97      0.81     5.689      35550    0    0    0    1    1
2016 10 12 19  8  0    0     3.08    -0.86    -0.18    -352.0     -5.24      1.34     5.675      35520    0    0    0    1    1
2016 10 12 19  9  0    0     3.02    -0.91    -0.17    -352.5     -4.90      0.58     5.653      35489    0    0    0    1    1
2016 10 12 19 10  0    0     2.96    -0.96    -0.14    -352.3     -3.67     -0.70     5.644      35462    0    0    0    1    1
2016 10 12 19 11  0    0     2.92    -1.04    -0.04    -352.3     -2.37     -1.19     5.650      35434    0    0    0    1    1
2016 10 12 19 12  0    0     2.94    -1.11     0.06    -352.0     -2.33     -1.39     5.671      35408    0    0    0    1    1
2016 10 12 19 13  0    0     2.96    -1.07     0.05    -351.2     -2.71     -1.59     5.675      35384    0    0    0    1    1
2016 10 12 19 14  0    0     3.03    -0.83    -0.03    -351.1     -2.66     -1.22     5.650      35357    0    0    0    1    1
2016 10 12 19 15  0    0     3.03    -0.81    -0.03    -351.0     -2.25     -1.04     5.597      35330    0    0    0    1    1
2016 10 12 19 16  0    0     3.04    -0.74    -0.05    -351.0     -2.37     -0.44     5.582      35302    0    0    0    1    1
2016 10 12 19 17  0    0     3.12    -0.40    -0.27    -351.0     -3.06     -0.36     5.585      35274    0    0    0    1    1
2016 10 12 19 18  0    0     3.13    -0.38    -0.39    -350.8     -2.90     -0.39     5.579      35247    0    0    0    1    1
2016 10 12 19 19  0    0     3.13    -0.40    -0.42    -349.5     -0.98     -0.78     5.502      35225    0    0    0    1    1
2016 10 12 19 20  0    0     3.13    -0.39    -0.43    -348.8      0.17     -1.49     5.455      35201    0    0    0    1    1
2016 10 12 19 21  0    0     3.07    -0.30    -0.57    -348.7      0.11     -2.35     5.443      35173    0    0    0    1    1
2016 10 12 19 22  0    0     3.04    -0.12    -0.82    -349.2     -0.47     -2.16     5.444      35143    0    0    0    1    1
2016 10 12 19 23  0    0     3.04    -0.23    -0.87    -349.8     -1.13     -1.87     5.444      35112    0    0    0    1    1
2016 10 12 19 24  0    0     3.02    -0.25    -0.90    -348.8     -1.45     -1.47     5.297      35089    0    0    0    1    1
2016 10 12 19 25  0    0     3.03    -0.27    -0.89    -348.2     -1.21     -1.12     5.176      35064    0    0    0    1    1
2016 10 12 19 26  0    0     3.03    -0.39    -0.89    -348.0     -0.68      0.13     5.170      35036    0    0    0    1    1
2016 10 12 19 27  0    0     2.99    -0.41    -1.04    -348.5     -2.62      0.93     5.275      35005    0    0    0    1    1
2016 10 12 19 28  0    0     2.98    -0.42    -1.09    -350.6     -3.59      0.92     5.358      34966    0    0    0    1    1
2016 10 12 19 29  0    0     2.98    -0.68    -0.76    -351.0     -4.16      1.85     5.384      34936    0    0    0    1    1
2016 10 12 19 30  0    0     3.05    -0.84    -0.47    -351.4     -4.40      3.06     5.407      34906    0    0    0    1    1
2016 10 12 19 31  0    0     3.25    -0.86    -0.26    -351.6     -3.96      3.72     5.480      34877    0    0    0    1    1
2016 10 12 19 32  0    0     3.27    -0.82    -0.16    -351.1     -2.49      3.81     5.516      34853    0    0    0    1    1
2016 10 12 19 33  0    0     3.27    -0.77    -0.16    -351.0     -0.74      3.40     5.531      34826    0    0    0    1    1
2016 10 12 19 34  0    0     3.29    -0.64    -0.17    -350.2     -0.79      2.23     5.543      34802    0    0    0    1    1
2016 10 12 19 35  0    0     3.29    -0.53    -0.17    -349.9     -0.56      0.98     5.555      34775    0    0    0    1    1
2016 10 12 19 36  0    0     3.29    -0.55    -0.04    -349.8     -0.48     -0.64     5.568      34748    0    0    0    1    1
2016 10 12 19 37  0    0     3.28    -0.54    -0.03    -349.5     -0.51     -1.02     5.632      34721    0    0    0    1    1
2016 10 12 19 38  0    0     3.29    -0.52    -0.09    -349.5     -0.56      0.18     5.728      34693    0    0    0    1    1
2016 10 12 19 39  0    0     3.29    -0.44    -0.14    -349.0     -0.76      1.11     5.765      34668    0    0    0    1    1
2016 10 12 19 40  0    0     3.30    -0.40    -0.15    -348.8     -0.77      1.25     5.756      34641    0    0    0    1    1
2016 10 12 19 41  0    0     3.30    -0.41    -0.11    -348.8     -1.10      1.02     5.732      34614    0    0    0    1    1
2016 10 12 19 42  0    0     3.28    -0.45     0.13    -348.9     -1.27      0.99     5.719      34585    0    0    0    1    1
2016 10 12 19 43  0    0     3.25    -0.52     0.22    -349.0     -2.16      1.05     5.721      34557    0    0    0    1    1
2016 10 12 19 44  0    0     3.18    -0.67     0.38    -350.4     -3.99      1.95     5.724      34521    0    0    0    1    1
2016 10 12 19 45  0    0     3.18    -0.67     0.26    -350.6     -4.18      1.70     5.709      34492    0    0    0    1    1
2016 10 12 19 46  0    0     3.21    -0.64     0.21    -350.2     -4.02      1.57     5.575      34466    0    0    0    1    1
2016 10 12 19 47  0    0     3.27    -0.60    -0.39    -349.8     -3.96      0.96     5.469      34440    0    0    0    1    1
2016 10 12 19 48  0    0     3.28    -0.57    -0.45    -349.4     -3.63      0.58     5.439      34414    0    0    0    1    1
2016 10 12 19 49  0    0     3.23    -0.56    -0.45    -349.9     -3.50     -0.26     5.532      34383    0    0    0    1    1
2016 10 12 19 50  0    0     3.22    -0.56    -0.56    -349.4     -3.52     -0.18     5.579      34358    0    0    0    1    1
2016 10 12 19 51  0    0     3.19    -0.56    -0.58    -349.8     -3.74     -0.34     5.528      34328    0    0    0    1    1
2016 10 12 19 52  0    0     3.18    -0.53     0.23    -349.7     -4.69     -1.28     5.495      34301    0    0    0    1    1
2016 10 12 19 53  0    0     3.18    -0.38     0.24    -349.8     -5.35     -1.65     5.491      34273    0    0    0    1    1
2016 10 12 19 54  0    0     3.18    -0.30    -0.01    -349.5     -5.61     -1.55     5.494      34246    0    0    0    1    1
2016 10 12 19 55  0    0     3.11    -0.34    -0.05    -349.2     -5.56     -1.07     5.495      34220    0    0    0    1    1
2016 10 12 19 56  0    0     3.05    -0.62     0.13    -348.8     -5.49      0.70     5.412      29973    0    0    0    1    1
2016 10 12 19 57  0    0     3.04    -0.87     0.20    -348.6     -5.26      1.45     5.368      28438    0    0    0    0    0
2016 10 12 19 58  0    0     3.07    -0.78     0.20    -348.6     -4.80      1.38     5.354      29988    0    0    0    0    0
2016 10 12 19 59  0    0     3.15    -0.89     0.23    -348.9     -4.88      0.98     5.362      30685    0    0    0    0    0
2016 10 12 20  0  0    0     3.17    -0.94     0.29    -349.0     -5.58      0.82     5.532      29939    0    0    0    0    0
2016 10 12 20  1  0    0     3.17    -0.93     0.38    -348.7     -6.70      0.09     5.617      27602    0    0    0    0    0
2016 10 12 20  2  0    0     3.19    -1.10     0.36    -348.5     -6.95     -0.61     5.691      26767    0    0    0    0    0
2016 10 12 20  3  0    0     3.24    -1.19     0.31    -348.3     -6.74     -0.86     5.743      26719    0    0    0    0    0
2016 10 12 20  4  0    0     3.26    -1.07     0.26    -347.9     -6.41     -0.12     5.784      26090    0    0    0    0    0
2016 10 12 20  5  0    0     3.23    -0.97     0.18    -347.6     -5.87      0.77     5.715      25646    0    0    0    0    0
2016 10 12 20  6  0    0     3.19    -0.83    -0.06    -347.2     -5.21      1.16     5.655      25814    0    0    0    0    0
2016 10 12 20  7  0    0     3.18    -0.64    -0.36    -346.9     -4.58      1.16     5.664      26106    0    0    0    0    0
2016 10 12 20  8  0    0     3.18    -0.59    -0.48    -346.7     -4.13      1.19     5.618      26950    0    0    0    0    0
2016 10 12 20  9  0    0     3.25    -0.61    -0.47    -346.5     -4.28      1.38     5.577      28200    0    0    0    0    0
2016 10 12 20 10  0    0     3.37    -0.55    -0.41    -346.6     -4.51      1.31     5.523      28200    0    0    0    0    0
2016 10 12 20 11  0    0     3.39    -0.42    -0.28    -346.8     -4.31      1.54     5.521      28604    0    0    0    0    0
2016 10 12 20 12  0    0     3.38    -0.42    -0.21    -346.9     -4.46      1.22     5.620      30305    0    0    0    0    0
2016 10 12 20 13  0    0     3.37    -0.43    -0.31    -346.7     -4.50      0.69     5.714      31871    0    0    0    0    0
2016 10 12 20 14  0    0     3.36    -0.43    -0.48    -346.5     -4.19      0.32     5.703      31223    0    0    0    0    0
2016 10 12 20 15  0    0     3.33    -0.44    -0.51    -346.5     -3.97      0.27     5.715      29380    0    0    0    0    0
2016 10 12 20 16  0    0     3.35    -0.44    -0.59    -346.4     -4.46     -0.14     5.700      28162    0    0    0    0    0
2016 10 12 20 17  0    0     3.38    -0.43    -0.60    -346.3     -5.12     -0.28     5.749      28651    0    0    0    0    0
2016 10 12 20 18  0    0     3.38    -0.51    -0.65    -346.6     -6.22     -0.21     5.732      30041    0    0    0    0    0
2016 10 12 20 19  0    0     3.34    -0.63    -0.63    -347.4     -6.88     -0.21     5.660      30528    0    0    0    0    0
2016 10 12 20 20  0    0     3.30    -0.71    -0.64    -348.1     -7.12     -0.31     5.593      30311    0    0    0    0    0
2016 10 12 20 21  0    0     3.29    -0.70    -0.81    -348.0     -6.84      0.26     5.595      30177    0    0    0    0    0
