Initial OMNI file

#COORDINATES
GSE

year mo dy hr mn sc msc Bx By Bz Ux Uy Uz Rho T
#START
2017 09 06 18 52 00 000         0.75        -2.66         0.24     99999.90     99999.90     99999.90       999.99  10000000.00
2017 09 06 18 53 00 000         0.81        -2.63        -0.20     99999.90     99999.90     99999.90       999.99  10000000.00
2017 09 06 18 54 00 000         1.08        -2.54        -0.56     99999.90     99999.90     99999.90       999.99  10000000.00
2017 09 06 18 55 00 000         1.07        -2.61        -0.27      -404.40       -13.40        21.30         2.65     32283.00
2017 09 06 18 56 00 000         1.11        -2.63        -0.24      -404.40       -13.40        21.30         2.65     32283.00
2017 09 06 18 57 00 000         0.90        -2.73        -0.04     99999.90     99999.90     99999.90       999.99  10000000.00
2017 09 06 18 58 00 000         1.06        -2.67        -0.04     99999.90     99999.90     99999.90       999.99  10000000.00
2017 09 06 18 59 00 000         1.16        -2.60        -0.07      -402.10       -16.30        20.60         2.45     27966.00
2017 09 06 19 00 00 000         1.08        -2.58         0.01      -402.10       -16.30        20.60         2.45     27966.00
2017 09 06 19 01 00 000         1.31        -2.42         0.49     99999.90     99999.90     99999.90       999.99  10000000.00
2017 09 06 19 02 00 000         0.92        -2.56         0.67      -403.20       -17.80        32.50         2.33     27966.00
2017 09 06 19 03 00 000         0.89        -2.47         0.90      -403.20       -17.80        32.50         2.33     27966.00
2017 09 06 19 04 00 000         1.00        -2.23         1.25      -403.20       -17.80        32.50         2.33     27966.00
2017 09 06 19 05 00 000         0.65        -2.49         0.94      -403.60       -16.20        36.10         2.52     29282.00
2017 09 06 19 06 00 000         0.84        -2.47         0.90      -403.60       -16.20        36.10         2.52     29282.00
2017 09 06 19 07 00 000         0.78        -2.55         0.73      -403.60       -16.20        36.10         2.52     29282.00
2017 09 06 19 08 00 000         0.81        -2.60         0.67      -403.70       -14.50        33.80         2.56     35139.00
2017 09 06 19 09 00 000         0.76        -2.62         0.62      -403.70       -14.50        33.80         2.56     35139.00
2017 09 06 19 10 00 000         0.80        -2.62         0.62      -403.70       -14.50        33.80         2.56     35139.00
2017 09 06 19 11 00 000         0.85        -2.58         0.74      -405.10       -15.90        32.40         2.82     34848.00
2017 09 06 19 12 00 000         0.57        -2.70         0.56      -405.10       -15.90        32.40         2.82     34848.00
2017 09 06 19 13 00 000         0.37        -2.76         0.44      -405.10       -15.90        32.40         2.82     34848.00
2017 09 06 19 14 00 000         0.40        -2.73         0.61      -404.30       -15.60        27.50         2.72     32564.00
2017 09 06 19 15 00 000         0.73        -2.71         0.41      -404.30       -15.60        27.50         2.72     32564.00
2017 09 06 19 16 00 000         0.94        -2.68         0.37     99999.90     99999.90     99999.90       999.99  10000000.00
2017 09 06 19 17 00 000         0.88        -2.74         0.19     99999.90     99999.90     99999.90       999.99  10000000.00
2017 09 06 19 18 00 000         0.97        -2.75        -0.03      -405.40       -15.00        32.60         2.98     30086.00
2017 09 06 19 19 00 000         0.79        -2.70         0.29      -405.40       -15.00        32.60         2.98     30086.00
2017 09 06 19 20 00 000         0.49        -2.72         0.51      -405.40       -15.00        32.60         2.98     30086.00
2017 09 06 19 21 00 000         0.40        -2.68         0.56     99999.90     99999.90     99999.90       999.99  10000000.00
2017 09 06 19 22 00 000        -0.08        -2.63         0.91      -410.70       -15.40        31.30         2.94     26427.00
2017 09 06 19 23 00 000         0.07        -2.63         0.87      -410.70       -15.40        31.30         2.94     26427.00
2017 09 06 19 24 00 000         0.82        -2.58         0.76      -400.00       -15.70        32.40         2.96     29512.00
2017 09 06 19 25 00 000         0.83        -2.61         0.43      -399.60       -15.80        31.90         2.93     29721.00
2017 09 06 19 26 00 000         1.01        -2.56         0.37      -400.20       -17.40        28.90         2.80     30010.00
2017 09 06 19 27 00 000         1.01        -2.53         0.41      -400.30       -16.20        28.70         2.77     27593.00
2017 09 06 19 28 00 000         1.14        -2.47         0.44      -398.70       -16.50        28.10         2.70     30054.00
2017 09 06 19 29 00 000         0.95        -2.50         0.39      -398.60       -15.70        31.00         2.81     29266.00
2017 09 06 19 30 00 000         1.18        -2.33         0.50      -397.90       -15.60        32.20         2.73     27781.00
2017 09 06 19 31 00 000         0.94        -2.33         0.09      -399.10       -15.20        29.40         2.53     29260.00
2017 09 06 19 32 00 000         0.74        -2.47        -0.24      -403.60       -15.90        21.70         2.38     28759.00
2017 09 06 19 33 00 000         1.18        -2.53         0.07      -400.20       -16.50        23.30         2.34     25955.00
2017 09 06 19 34 00 000         0.71        -2.59         0.01      -397.40       -16.40        25.80         2.42     25962.00
2017 09 06 19 35 00 000         1.01        -2.58         0.03      -398.60       -16.00        26.50         2.46     27693.00
2017 09 06 19 36 00 000         0.98        -2.58        -0.03     99999.90     99999.90     99999.90       999.99  10000000.00
2017 09 06 19 37 00 000         0.89        -2.56        -0.15      -398.90       -16.10        26.70         2.54     26427.00
2017 09 06 19 38 00 000         0.73        -2.54        -0.15      -398.90       -10.10        24.40         2.48     26035.00
2017 09 06 19 39 00 000         0.76        -2.65        -0.16      -399.20        -0.80        21.20         2.39     26229.00
2017 09 06 19 40 00 000         0.83        -2.55        -0.04      -400.00       -16.50        26.50         2.47     32812.00
2017 09 06 19 41 00 000         1.00        -2.47         0.08      -395.00       -14.00        29.20         2.63     31641.00
2017 09 06 19 42 00 000         0.80        -2.59        -0.07      -398.50       -16.30        23.30         2.39     30350.00
2017 09 06 19 43 00 000         1.56        -2.21         0.47      -398.70       -17.30        22.20         2.23     26294.00
2017 09 06 19 44 00 000         1.57        -2.20         0.51     99999.90     99999.90     99999.90       999.99  10000000.00
2017 09 06 19 45 00 000         1.52        -2.23         0.32     99999.90     99999.90     99999.90       999.99  10000000.00
2017 09 06 19 46 00 000         1.45        -2.31         0.43      -391.20       -16.10        29.00         2.41     28041.00
2017 09 06 19 47 00 000         1.49        -2.26         0.45      -389.60       -18.40        29.10         2.25     23147.00
2017 09 06 19 48 00 000         1.35        -2.32         0.47      -392.70       -14.50        28.40         2.50     27105.00
2017 09 06 19 49 00 000         1.35        -2.22         0.60      -392.90       -14.00        29.00         2.52     29078.00
2017 09 06 19 50 00 000         1.48        -2.06         0.52      -392.20       -12.70        29.50         2.56     31733.00
2017 09 06 19 51 00 000         1.37        -1.91         0.56      -391.50       -12.00        30.10         2.51     32590.00
2017 09 06 19 52 00 000         0.57        -1.70         0.47      -393.80       -10.00        28.40         2.39     31148.00
2017 09 06 19 53 00 000        -0.14        -2.07         0.25      -401.80       -10.80        28.50         2.68     25425.00
2017 09 06 19 54 00 000      9999.99      9999.99      9999.99      -401.80       -10.80        28.50         2.68     25425.00
2017 09 06 19 55 00 000        -0.84        -1.87        -0.12      -403.50       -10.80        24.30         2.60     23479.00
2017 09 06 19 56 00 000        -0.87        -1.90        -0.25      -403.50       -10.80        24.30         2.60     23479.00
2017 09 06 19 57 00 000        -0.98        -1.89        -0.47      -403.50       -10.80        24.30         2.60     23479.00
2017 09 06 19 58 00 000        -0.99        -1.97        -0.43     99999.90     99999.90     99999.90       999.99  10000000.00
2017 09 06 19 59 00 000        -0.97        -2.02        -0.42      -406.00       -13.90        21.20         2.37     26427.00
2017 09 06 20 00 00 000        -0.25        -2.11         0.00      -406.00       -13.90        21.20         2.37     26427.00
2017 09 06 20 01 00 000         0.09        -2.08         0.04     99999.90     99999.90     99999.90       999.99  10000000.00
2017 09 06 20 02 00 000         0.39        -2.04         0.62     99999.90     99999.90     99999.90       999.99  10000000.00
2017 09 06 20 03 00 000         0.40        -1.97         0.70      -399.10       -12.20        26.10         2.73     29016.00
2017 09 06 20 04 00 000         0.42        -1.92         0.76      -399.10       -12.20        26.10         2.73     29016.00
2017 09 06 20 05 00 000         0.50        -1.83         0.99      -397.80        -9.90        27.10         2.62     30129.00
2017 09 06 20 06 00 000         0.78        -1.76         0.84      -397.50        -9.40        27.30         2.60     30356.00
2017 09 06 20 07 00 000         0.99        -1.39         1.17     99999.90     99999.90     99999.90       999.99  10000000.00
2017 09 06 20 08 00 000         0.55        -1.83         0.59     99999.90     99999.90     99999.90       999.99  10000000.00
2017 09 06 20 09 00 000         0.20        -2.04         0.36     99999.90     99999.90     99999.90       999.99  10000000.00
2017 09 06 20 10 00 000         0.03        -2.02         0.19      -402.10       -12.90        24.50         2.42     21383.00
2017 09 06 20 11 00 000        -0.08        -2.05        -0.10      -402.10       -12.90        24.50         2.42     21383.00
2017 09 06 20 12 00 000        -0.17        -2.11        -0.13     99999.90     99999.90     99999.90       999.99  10000000.00
2017 09 06 20 13 00 000      9999.99      9999.99      9999.99     99999.90     99999.90     99999.90       999.99  10000000.00
2017 09 06 20 14 00 000      9999.99      9999.99      9999.99     99999.90     99999.90     99999.90       999.99  10000000.00
2017 09 06 20 15 00 000      9999.99      9999.99      9999.99     99999.90     99999.90     99999.90       999.99  10000000.00
2017 09 06 20 16 00 000        -0.11        -2.12         0.02      -400.10       -14.60        26.00         2.44     28489.00
2017 09 06 20 17 00 000        -0.08        -2.09         0.15      -400.10       -14.60        26.00         2.44     28489.00
2017 09 06 20 18 00 000         0.11        -2.12         0.06     99999.90     99999.90     99999.90       999.99  10000000.00
2017 09 06 20 19 00 000         0.04        -2.17         0.03      -399.20       -15.00        27.20         2.31     26680.00
2017 09 06 20 20 00 000         0.00        -2.19        -0.05      -399.20       -15.00        27.20         2.31     26680.00
2017 09 06 20 21 00 000        -0.24        -1.96        -0.05      -400.80        -8.80        26.10         2.44     26175.00
