Corrected IMF based on L1.dat
yr mo dy hr mn sc ms bx by bz ux uy uz rho T
#START
2010 04 04 20 46 39 268       4.35      -3.33       3.00    -481.04     -35.07      38.68       4.06    110400.27
2010 04 04 20 47 42 860       4.05      -3.54       3.13    -480.41     -37.07      37.50       3.95    108261.50
2010 04 04 20 48 30 752       3.62      -3.97       3.22    -482.54     -40.45      39.35       3.66    114673.71
2010 04 04 20 48 57 667       2.55      -4.94       2.86    -488.46     -44.40      41.28       3.86    120455.97
2010 04 04 20 49 17  82       2.51      -5.13       2.63    -495.92     -49.27      43.34       3.57    129942.64
2010 04 04 20 50 30  68       2.99      -5.22       1.98    -493.51     -52.01      40.55       3.73    124709.30
2010 04 04 20 51 29 251       2.28      -5.65       1.58    -493.66     -54.71      37.02       3.49    128253.30
2010 04 04 20 52 21 875       3.72      -3.55       3.02    -495.02     -60.71      32.23       3.28    117302.02
2010 04 04 20 53 25 180       2.55      -4.99       2.65    -494.41     -54.59      39.35       3.69    111112.76
2010 04 04 20 54 28 149       2.93      -4.05       3.70    -493.86     -42.06      47.18       3.59    128527.14
2010 04 04 20 55 39 341       2.81      -3.79       4.10    -491.80     -35.97      49.27       3.81    132569.02
2010 04 04 20 56 16 953       2.55      -4.08       3.78    -495.94     -43.34      47.22       3.64    125988.69
2010 04 04 20 57 32 624       2.19      -4.31       3.66    -493.03     -40.38      46.16       3.54    126048.45
2010 04 04 20 58 27 895       2.58      -3.36       4.32    -493.91     -32.16      47.54       3.97    135108.29
2010 04 04 21 00 27 327       4.62      -1.60       3.78    -483.14     -27.70      42.12       4.34    117803.13
2010 04 04 21 02 09 919       4.63      -1.89       3.62    -475.72     -27.07      38.32       4.63    102484.64
2010 04 04 21 03 12 279       5.17       0.31       3.11    -475.31     -22.65      35.56       4.54    102465.42
2010 04 04 21 04 14 754       4.60      -0.81       3.92    -474.89     -17.59      34.27       4.00    106359.23
2010 04 04 21 05 03 673       4.71      -1.38       3.58    -476.79     -20.43      37.49       3.81    111064.59
2010 04 04 21 06 21 325       5.13      -0.41       3.04    -473.76     -22.75      33.08       4.12    105923.95
2010 04 04 21 07 30  59       4.67       0.33       3.58    -472.28     -18.49      30.72       4.23    104499.62
2010 04 04 21 07 54 378       4.79       0.17       3.52    -478.40     -19.52      37.55       4.08     99986.01
2010 04 04 21 09 23 258       5.36       0.78       2.60    -473.44      -9.35      24.97       3.93    111376.53
2010 04 04 21 10 22 647       4.89       1.92       2.85    -473.54     -10.26      22.36       3.81    116978.36
2010 04 04 21 11 25 883       4.34       2.08       3.27    -472.99     -11.96      25.30       4.15    113453.26
2010 04 04 21 11 49  17       3.74       2.47       3.80    -479.33      -0.60      23.88       3.67    120475.96
2010 04 04 21 12 22 509       4.16       2.63       3.19    -484.00       3.62      21.57       3.39    123743.32
2010 04 04 21 13 25 866       4.16       2.87       2.98    -483.40       4.07      19.69       3.40    123823.15
2010 04 04 21 14 35 651       4.75       2.68       2.40    -481.68       3.96      17.93       3.46    123347.37
2010 04 04 21 16 36 626       5.62       1.37       1.80    -471.17      -5.24      17.90       4.00     99328.04
2010 04 04 21 18 10  27       5.75       1.41       1.78    -465.61     -11.80      18.06       4.08     90727.08
2010 04 04 21 19 16 265       5.69       1.34       1.93    -464.59     -12.77      18.73       3.95     90144.61
2010 04 04 21 20 15 374       5.42       2.01       1.89    -464.73     -10.46      17.70       3.87     84729.81
2010 04 04 21 21 08 472       5.53       2.04       1.61    -465.87      -7.97      15.15       3.74     85771.38
2010 04 04 21 22 10 398       5.79       1.42       1.24    -465.55      -9.61      12.87       3.67     94356.68
2010 04 04 21 23 14 825       5.86       1.16       0.95    -464.82     -14.13      10.72       3.66     96604.78
2010 04 04 21 24 24 764       5.92       1.05       0.92    -463.20     -19.15      13.90       4.00     83855.20
2010 04 04 21 25 14  87       5.99       0.39       0.99    -464.94     -18.90      13.86       3.74     95822.63
2010 04 04 21 26 27 678       5.74       1.71       0.56    -462.73     -19.06      11.21       3.97     84890.25
2010 04 04 21 27 10 976       5.62       1.80       1.31    -465.46      -7.98      11.68       3.50     96230.44
2010 04 04 21 27 39 371       5.59       1.80       1.68    -470.71       0.43      11.65       3.41    105802.65
2010 04 04 21 28 45 354       5.57       1.37       1.74    -469.71      -2.48      16.43       3.53    102508.88
2010 04 04 21 30 07 361       5.45      -0.77       2.37    -466.05     -23.94      26.47       4.66     83788.07
2010 04 04 21 31 05 676       5.26      -1.41       2.14    -466.33     -24.22      27.25       4.23     97721.18
2010 04 04 21 32 03 714       5.32      -1.17       1.86    -466.65     -25.54      26.77       4.46    104376.47
2010 04 04 21 32 14 338       2.97       3.85      -3.05    -485.46     -18.80      -8.18       3.53    121078.19
2010 04 04 21 32 33 101       3.64       3.91      -2.16    -492.95       0.18     -33.77       3.04    124652.55
2010 04 04 21 33 46 930       3.83       3.41      -1.59    -490.41       1.00     -28.18       2.83    124306.34
2010 04 04 21 35 11 244       3.99       0.97      -4.00    -486.01      -9.56     -28.08       3.06    129053.16
2010 04 04 21 36 58  80       5.45      -0.37      -1.98    -477.76     -30.32     -27.01       3.52    128680.73
2010 04 04 21 39 01 314       5.18      -1.23      -2.14    -467.05     -37.00     -12.41       3.43    121615.81
2010 04 04 21 39 56 158       5.34       0.20      -2.27    -467.90     -40.04      -8.81       3.20    117885.04
2010 04 04 21 40 52 852       5.34       1.11      -2.27    -468.45     -29.06     -14.59       3.36    119263.68
2010 04 04 21 41 32 862       4.87       1.64      -2.88    -471.81     -16.63     -23.80       3.21    126505.27
2010 04 04 21 41 45 276       3.79       1.71      -4.12    -490.71     -13.74     -43.93       3.36    121412.19
2010 04 04 21 43 26 637       2.72       1.85      -5.23    -494.14     -26.01     -44.55       3.22    123794.00
2010 04 04 21 44 37 833       2.94       2.14      -4.99    -492.07     -20.65     -38.35       2.99    127854.23
2010 04 04 21 45 56  61       2.78       2.17      -5.10    -488.75     -19.83     -33.68       3.08    125203.79
2010 04 04 21 47 09 772       4.06       2.17      -4.28    -486.27     -20.16     -30.78       3.28    119743.36
2010 04 04 21 47 21 773       2.64       3.22      -4.42    -495.04     -13.97     -36.21       2.93    112433.43
2010 04 04 21 48 08 190       3.92       2.50      -4.18    -497.58     -14.15     -38.19       2.71    117772.76
2010 04 04 21 49 45  30       3.56       2.59      -3.88    -490.76     -15.11     -32.07       2.80    131644.23
2010 04 04 21 51 45 146       5.39       2.43       0.46    -480.01      -9.26     -11.00       3.20    132332.10
2010 04 04 21 53 41 996       5.10       3.05      -1.05    -470.27      -5.22      13.01       3.68    123226.71
2010 04 04 21 54 08 301       4.62       3.36      -1.78    -475.99      -0.81       3.61       3.26    125465.59
2010 04 04 21 54 51 112       4.44       3.91      -0.97    -478.97       1.91      -8.69       2.91    129006.56
2010 04 04 21 55 50 308       4.19       1.86      -3.87    -479.11      -2.93     -10.25       3.10    114804.81
2010 04 04 21 56 15 530       4.50       0.30      -4.02    -485.24     -25.49     -37.25       3.16    123629.01
2010 04 04 21 57 27 106       3.92       1.71      -4.43    -494.05      -4.95     -37.64       3.06    118580.63
2010 04 04 21 58 22 149       3.89       2.51      -4.32    -494.97      -1.16     -38.21       2.95    116634.27
2010 04 04 21 59 45 626       4.07       2.14      -4.26    -490.65     -11.06     -38.22       3.02    107342.66
2010 04 04 22 00 13 668       3.54       3.87      -3.57    -496.56       0.69     -38.89       3.00    111091.09
2010 04 04 22 01 02 736       2.87       4.39      -3.62    -498.61       8.91     -39.06       3.14    113122.84
