MIDL 32Re, 2015-06 (nT, km/s, cm^-3, K)

#COORDINATES
GSM                     Earth orbital motion included

year month day hour minute Bx By Bz Ux Uy Uz rho T B_interp Ux_interp Uyz_interp rho_interp T_interp
#START
2015  6 21  9  0    -2.62     1.45    -0.20    -282.2      9.27    -15.22     9.658       9539    0    0    0    0    0
2015  6 21  9  1    -2.57     1.30    -0.20    -282.8      9.92    -15.47     9.666       9191    0    0    0    0    0
2015  6 21  9  2    -2.47     1.29    -0.19    -282.8     10.22    -15.50     9.692       9007    0    0    0    0    0
2015  6 21  9  3    -2.29     1.27    -0.17    -282.9     10.22    -15.51     9.712       9064    0    0    0    0    0
2015  6 21  9  4    -2.22     1.19    -0.13    -283.3     10.24    -15.54     9.724       9347    0    0    0    0    0
2015  6 21  9  5    -2.23     1.14    -0.06    -283.4     10.20    -15.53     9.701       9582    0    0    0    0    0
2015  6 21  9  6    -2.26     1.15    -0.02    -283.2      9.87    -15.34     9.668       9607    0    0    0    0    0
2015  6 21  9  7    -2.27     1.19    -0.07    -282.9      9.40    -15.08     9.657       9658    0    0    0    0    0
2015  6 21  9  8    -2.27     1.26    -0.16    -282.7      9.15    -14.91     9.657       9730    0    0    0    0    0
2015  6 21  9  9    -2.26     1.28    -0.21    -282.7      9.10    -14.80     9.668       9678    0    0    0    0    0
2015  6 21  9 10    -2.25     1.33    -0.24    -282.5      8.81    -14.71     9.751       9534    0    0    0    0    0
2015  6 21  9 11    -2.24     1.38    -0.28    -282.5      8.58    -14.82     9.938       9451    0    0    0    0    0
2015  6 21  9 12    -2.23     1.42    -0.26    -282.4      8.14    -14.89     9.931       9378    0    0    0    0    0
2015  6 21  9 13    -2.24     1.44    -0.26    -282.0      7.65    -14.98     9.861       9340    0    0    0    0    0
2015  6 21  9 14    -2.20     1.61    -0.26    -282.2      8.17    -15.06     9.514       9461    0    0    0    0    0
2015  6 21  9 15    -1.89     1.61    -0.25    -282.4     10.55    -15.45     9.601      10240    0    0    0    0    0
2015  6 21  9 16    -1.37     1.24    -0.25    -284.1     13.05    -15.77    10.392      11183    0    0    0    0    0
2015  6 21  9 17    -1.18     0.88    -0.25    -284.8     12.83    -15.71    10.633      11422    0    0    0    0    0
2015  6 21  9 18    -1.21     0.80    -0.16    -285.2     13.28    -15.71    10.475      11439    0    0    0    0    0
2015  6 21  9 19    -1.23     0.76    -0.16    -285.2     13.79    -15.96    10.466      11493    0    0    0    0    0
2015  6 21  9 20    -1.22     0.76    -0.22    -285.2     13.83    -16.03    10.574      11496    0    0    0    0    0
2015  6 21  9 21    -1.13     0.76    -0.26    -284.6     14.17    -16.09    10.800      11490    0    0    0    0    0
2015  6 21  9 22    -1.08     0.77    -0.29    -284.2     14.06    -16.09    11.099      11488    0    0    0    0    0
2015  6 21  9 23    -1.06     0.75    -0.32    -283.8     14.14    -15.90    11.212      11489    0    0    0    0    0
2015  6 21  9 24    -1.07     0.70    -0.33    -283.6     14.25    -15.79    11.203      11489    0    0    0    0    0
2015  6 21  9 25    -1.18     0.55    -0.32    -283.6     14.34    -15.82    11.146      11404    0    0    0    0    0
2015  6 21  9 26    -1.26     0.44    -0.31    -283.7     14.42    -15.85    11.103      11330    0    0    0    0    0
2015  6 21  9 27    -1.27     0.42    -0.29    -283.4     14.45    -15.86    11.296      11281    0    0    0    0    0
2015  6 21  9 28    -1.24     0.44    -0.26    -282.9     14.35    -15.85    11.517      11225    0    0    0    0    0
2015  6 21  9 29    -1.16     0.52    -0.24    -282.8     14.05    -15.76    11.402      11195    0    0    0    0    0
2015  6 21  9 30    -1.16     0.56    -0.21    -282.7     13.93    -15.61    11.153      11132    0    0    0    0    0
2015  6 21  9 31    -1.17     0.67    -0.20    -282.7     14.11    -15.51    11.159      11162    0    0    0    0    0
2015  6 21  9 32    -1.17     0.67    -0.15    -282.9     14.62    -15.55    11.173      11235    0    0    0    0    0
2015  6 21  9 33    -1.16     0.70    -0.16    -283.5     14.67    -15.78    11.165      11224    0    0    0    0    0
2015  6 21  9 34    -1.15     0.66    -0.20    -283.9     14.35    -16.18    11.157      11213    0    0    0    0    0
2015  6 21  9 35    -1.17     0.61    -0.25    -283.9     13.75    -16.39    11.216      11641    0    0    0    0    0
2015  6 21  9 36    -1.19     0.62    -0.28    -283.9     13.59    -16.66    11.253      11906    0    0    0    0    0
2015  6 21  9 37    -1.16     0.76    -0.21    -283.8     13.70    -16.95    11.098      11684    0    0    0    0    0
2015  6 21  9 38    -1.14     0.88    -0.16    -283.6     13.82    -17.06    10.984      11522    0    0    0    0    0
2015  6 21  9 39    -1.16     0.85    -0.17    -283.0     14.30    -16.91    10.995      11564    0    0    0    0    0
2015  6 21  9 40    -1.20     0.77    -0.21    -282.2     14.90    -16.66    11.019      11665    0    0    0    0    0
2015  6 21  9 41    -1.21     0.74    -0.22    -281.9     14.78    -16.58    11.066      11839    0    0    0    0    0
2015  6 21  9 42    -1.26     0.65    -0.22    -281.7     15.11    -16.34    11.195      12025    0    0    0    0    0
2015  6 21  9 43    -1.27     0.58    -0.31    -281.5     15.11    -16.10    11.282      12133    0    0    0    0    0
2015  6 21  9 44    -1.27     0.57    -0.34    -281.7     15.11    -16.10    11.285      12134    0    1    1    1    1
2015  6 21  9 45    -1.23     0.58    -0.38    -281.9     15.14    -15.95    11.288      12049    0    1    1    2    2
2015  6 21  9 46    -1.23     0.60    -0.39    -282.0     14.98    -15.96    11.291      11965    0    1    1    2    2
2015  6 21  9 47    -1.24     0.59    -0.40    -282.3     14.72    -15.79    11.294      11891    0    1    1    1    1
2015  6 21  9 48    -1.25     0.61    -0.42    -282.1     14.47    -15.62    11.296      11922    0    0    0    0    0
2015  6 21  9 49    -1.30     0.65    -0.41    -281.9     14.37    -15.37    11.299      12161    0    0    0    0    0
2015  6 21  9 50    -1.33     0.71    -0.39    -281.5     14.22    -15.38    11.303      12424    0    0    0    0    0
2015  6 21  9 51    -1.36     0.70    -0.36    -281.8     13.70    -15.79    11.300      12428    0    0    0    0    0
2015  6 21  9 52    -1.36     0.70    -0.34    -281.8     13.53    -15.78    11.226      12410    0    0    0    0    0
2015  6 21  9 53    -1.27     0.75    -0.31    -281.7     13.33    -15.40    11.144      12383    0    0    0    0    0
2015  6 21  9 54    -1.27     0.80    -0.31    -281.3     12.28    -15.37    10.835      12107    0    0    0    0    0
2015  6 21  9 55    -1.34     0.81    -0.28    -280.9     12.26    -15.40    10.780      12079    0    0    0    0    0
2015  6 21  9 56    -1.41     0.86    -0.29    -280.7     12.27    -15.41    10.775      12550    0    0    0    0    0
2015  6 21  9 57    -1.43     0.88    -0.29    -281.2     12.49    -15.74    11.029      12704    0    0    0    0    0
2015  6 21  9 58    -1.28     0.85    -0.23    -281.7     12.37    -15.85    11.258      12422    0    0    0    0    0
2015  6 21  9 59    -1.22     0.79    -0.15    -281.8     12.10    -15.82    11.258      12422    0    0    0    0    0
2015  6 21 10  0    -1.18     0.78    -0.14    -281.9     12.16    -15.88    11.266      12398    0    0    0    0    0
