
Produced from WI_H0_MFI_19980802.txt
year mo dy hr mn sc msc x y z bx by bz
#START
1998 08 02 00 56 30 000	88.9280	-5.33493	-3.21343	-3.19119	-4.83137	3.37908
1998 08 02 00 57 30 000	88.9303	-5.33255	-3.21346	-3.34522	-4.55212	3.56410
1998 08 02 00 58 30 000	88.9325	-5.33016	-3.21350	-3.17301	-4.65837	3.53220
1998 08 02 00 59 30 000	88.9347	-5.32776	-3.21353	-3.20378	-4.43579	3.80174
1998 08 02 01 00 30 000	88.9370	-5.32538	-3.21357	-3.22634	-4.12109	4.09835
1998 08 02 01 01 30 000	88.9392	-5.32299	-3.21360	-3.18015	-4.73231	3.20650
1998 08 02 01 02 30 000	88.9414	-5.32060	-3.21364	-3.27160	-4.40017	3.45567
1998 08 02 01 03 30 000	88.9436	-5.31822	-3.21367	-3.16483	-4.49061	3.30422
1998 08 02 01 04 30 000	88.9459	-5.31583	-3.21370	-3.10851	-4.54763	3.29995
1998 08 02 01 05 30 000	88.9481	-5.31344	-3.21374	-3.00950	-4.66179	3.35553
1998 08 02 01 06 30 000	88.9503	-5.31105	-3.21377	-2.85238	-4.61354	3.34393
1998 08 02 01 07 30 000	88.9526	-5.30866	-3.21381	-2.83741	-4.60042	3.37072
1998 08 02 01 08 30 000	88.9548	-5.30627	-3.21384	-2.79257	-4.47302	3.51023
1998 08 02 01 09 30 000	88.9570	-5.30388	-3.21387	-2.85539	-4.38908	3.57902
1998 08 02 01 10 30 000	88.9592	-5.30149	-3.21391	-2.94959	-4.25169	3.60832
1998 08 02 01 11 30 000	88.9614	-5.29910	-3.21394	-2.86713	-4.35926	3.65350
1998 08 02 01 12 30 000	88.9637	-5.29671	-3.21398	-2.82999	-4.44845	3.72271
1998 08 02 01 13 30 000	88.9659	-5.29432	-3.21401	-2.84312	-4.35038	3.69024
1998 08 02 01 14 30 000	88.9681	-5.29193	-3.21405	-2.86441	-4.27546	3.65351
1998 08 02 01 15 30 000	88.9703	-5.28955	-3.21408	-2.80950	-4.33523	3.65171
1998 08 02 01 16 30 000	88.9726	-5.28716	-3.21411	-2.84471	-4.31438	3.72274
1998 08 02 01 17 30 000	88.9748	-5.28478	-3.21415	-2.76509	-4.24687	3.82715
1998 08 02 01 18 30 000	88.9770	-5.28238	-3.21418	-2.84645	-4.31273	3.64857
1998 08 02 01 19 30 000	88.9792	-5.28000	-3.21421	-2.87937	-4.27424	3.72343
1998 08 02 01 20 30 000	88.9814	-5.27761	-3.21425	-2.74537	-4.49312	3.77321
1998 08 02 01 21 30 000	88.9837	-5.27521	-3.21428	-2.86527	-4.47555	3.69940
1998 08 02 01 22 30 000	88.9859	-5.27283	-3.21432	-3.01511	-4.63146	3.61289
1998 08 02 01 23 30 000	88.9881	-5.27044	-3.21435	-3.30239	-4.37862	3.56077
1998 08 02 01 24 30 000	88.9903	-5.26805	-3.21438	-3.21541	-4.65575	3.43472
1998 08 02 01 25 30 000	88.9925	-5.26566	-3.21442	-3.08205	-4.39237	3.89539
1998 08 02 01 26 30 000	88.9947	-5.26327	-3.21445	-3.40145	-4.00824	4.01876
1998 08 02 01 27 30 000	88.9969	-5.26089	-3.21448	-3.16616	-4.18915	4.06319
1998 08 02 01 28 30 000	88.9991	-5.25850	-3.21452	-2.97286	-4.24559	4.13298
1998 08 02 01 29 30 000	89.0014	-5.25611	-3.21455	-2.89530	-4.12501	4.32899
1998 08 02 01 30 30 000	89.0036	-5.25372	-3.21459	-2.08402	-4.02513	4.73205
1998 08 02 01 31 30 000	89.0058	-5.25133	-3.21462	-2.35651	-3.98451	4.58255
1998 08 02 01 32 30 000	89.0080	-5.24895	-3.21465	-3.17903	-3.86174	4.25708
1998 08 02 01 33 30 000	89.0102	-5.24656	-3.21469	-3.09243	-3.80781	4.34576
1998 08 02 01 34 30 000	89.0124	-5.24416	-3.21472	-2.90822	-3.76012	4.45898
1998 08 02 01 35 30 000	89.0146	-5.24178	-3.21475	-2.80086	-3.82226	4.48435
1998 08 02 01 36 30 000	89.0168	-5.23939	-3.21479	-2.68070	-4.01850	4.31487
1998 08 02 01 37 30 000	89.0190	-5.23700	-3.21482	-2.67699	-3.60304	4.57964
1998 08 02 01 38 30 000	89.0212	-5.23461	-3.21485	-2.52134	-3.77396	4.50999
1998 08 02 01 39 30 000	89.0234	-5.23223	-3.21489	-2.54770	-4.02003	4.36485
1998 08 02 01 40 30 000	89.0257	-5.22984	-3.21492	-2.43051	-4.26920	4.16550
1998 08 02 01 41 30 000	89.0279	-5.22746	-3.21495	-2.74456	-3.80003	4.54215
1998 08 02 01 42 30 000	89.0301	-5.22507	-3.21499	-3.07235	-3.22511	4.70747
1998 08 02 01 43 30 000	89.0323	-5.22268	-3.21502	-3.16583	-3.21133	4.92390
1998 08 02 01 44 30 000	89.0345	-5.22029	-3.21505	-3.02137	-3.83794	4.63532
1998 08 02 01 45 30 000	89.0367	-5.21790	-3.21509	-3.05150	-3.78463	4.75330
1998 08 02 01 46 30 000	89.0389	-5.21551	-3.21512	-3.22410	-3.61216	4.81809
1998 08 02 01 47 30 000	89.0411	-5.21313	-3.21515	-3.14050	-3.43838	4.90425
1998 08 02 01 48 30 000	89.0433	-5.21074	-3.21519	-3.05571	-3.35077	4.82005
1998 08 02 01 49 30 000	89.0455	-5.20835	-3.21522	-2.79589	-3.96578	4.22606
1998 08 02 01 50 30 000	89.0477	-5.20596	-3.21525	-2.09754	-4.60345	3.29310
1998 08 02 01 51 30 000	89.0499	-5.20358	-3.21529	-2.10661	-4.63304	3.31471
1998 08 02 01 52 30 000	89.0521	-5.20119	-3.21532	-2.11825	-4.43240	3.68629
1998 08 02 01 53 30 000	89.0543	-5.19880	-3.21535	-2.41675	-4.22849	3.83070
1998 08 02 01 54 30 000	89.0565	-5.19641	-3.21538	-2.52116	-4.25607	3.90770
1998 08 02 01 55 30 000	89.0587	-5.19403	-3.21542	-2.47884	-3.80174	4.14480
