Corrected IMF based on L1.dat
yr mo dy hr mn sc ms bx by bz ux uy uz rho T
#START
2018 04 19 01 43 04  70       2.05       1.59      -1.33    -479.60    -109.20      93.50       2.07    247676.00
2018 04 19 01 44 02 493       2.30       1.21      -1.40    -479.90    -103.00      93.30       2.11    243649.00
2018 04 19 01 45 02 493       2.32       1.42      -1.19    -479.65    -101.70      87.00       2.10    244503.00
2018 04 19 01 46 05 123       2.02       1.67      -1.32    -479.40     -57.40      56.60       2.04    241865.00
2018 04 19 01 47 08 816       1.68       2.00      -1.15    -478.70     -59.40      58.20       2.05    243474.00
2018 04 19 01 48 06 705       1.67       2.08      -1.00    -479.10     -46.20      49.30       2.15    253698.00
2018 04 19 01 49 02 493       1.63       2.21      -1.14    -479.90     -58.50      57.10       2.04    246857.00
2018 04 19 01 50 07 760       1.68       2.09      -1.19    -478.90     -59.50      53.40       2.11    246822.00
2018 04 19 01 51 07 232       1.69       2.08      -1.41    -479.00    -102.50      90.30       2.15    250279.00
2018 04 19 01 52 02 493       1.59       2.38      -0.99    -479.90     -79.40      60.60       2.11    249638.00
2018 04 19 01 53 04 597       1.52       2.44      -0.88    -479.50     -63.70      75.60       2.13    246207.00
2018 04 19 01 54 07 760       1.64       2.38      -0.77    -478.90    -100.70      90.70       2.07    244983.00
2018 04 19 01 55 06 177       1.73       2.13      -1.09    -479.20     -98.40      78.90       2.10    252137.00
2018 04 19 01 56 06 177       1.68       1.95      -1.21    -471.75     -96.30      74.10       2.06    243839.00
2018 04 19 01 58 27 246       1.09       1.59      -0.84    -464.30      -1.30      10.60       1.62    151339.00
2018 04 19 01 59 28 931       1.19       1.57      -0.78    -464.00      -1.50      10.70       1.68    154051.00
2018 04 19 02 00 28 931       1.06       1.51      -0.89    -463.95      -1.40      10.65       1.64    153770.00
2018 04 19 02 01 29 494       1.03       1.54      -0.94    -463.90      -1.50      10.60       1.66    155087.00
2018 04 19 02 02 31 182       1.09       1.57      -0.93    -463.60      -1.60      10.80       1.63    155176.00
2018 04 19 02 03 31 746       1.13       1.42      -1.03    -463.50      -1.30      10.60       1.69    154636.00
2018 04 19 02 04 33 437       1.03       1.47      -1.06    -463.20      -1.50      10.70       1.71    155517.00
2018 04 19 02 05 42 496       0.89       1.61      -1.08    -461.60     -63.10      36.40       1.68    156596.00
2018 04 19 02 06 41 360       0.75       1.67      -1.00    -461.80    -100.50      43.50       1.68    159314.00
2018 04 19 02 07 35 696       0.75       1.61      -1.00    -462.80      -1.70      11.00       1.67    159946.00
2018 04 19 02 08 01 118       0.82       1.60      -0.97    -469.00     -36.60       6.30       1.00    164108.00
2018 04 19 02 08 42 541       0.79       1.59      -0.94    -472.40     -34.80       6.70       0.83    145999.00
2018 04 19 02 09 15 550       0.86       1.61      -0.87    -489.00     -35.40       7.10       0.54     63724.00
2018 04 19 02 09 41 105       0.83       1.62      -0.85    -495.90     -36.00       7.20       0.46     56677.00
2018 04 19 02 09 55 220       0.78       1.60      -0.92    -505.40     -36.30       7.30       0.49     64116.00
2018 04 19 02 40 04 280       0.87       1.52      -0.93    -292.10     -21.00       4.20       4.18     15069.00
2018 04 19 02 41 18 517       0.63       1.59      -0.97    -291.10     -20.90       4.20       5.68     15799.00
2018 04 19 02 42 21 376       0.75       1.61      -1.01    -290.90     -20.80       4.20       5.77     15531.00
2018 04 19 02 43 15 662       0.77       1.71      -0.97    -291.30     -20.85       4.20       5.98     15630.00
2018 04 19 02 44 21 376       0.71       1.74      -1.03    -290.90     -20.90       4.20       5.84     15342.00
2018 04 19 02 45 14 236       0.69       1.77      -0.99    -291.40     -20.80       4.20       5.63     15329.00
2018 04 19 02 46 15 662       0.64       1.88      -0.95    -291.30     -20.80       4.20       5.83     15341.00
2018 04 19 02 47 11 386       0.68       1.93      -0.96    -291.60     -20.90       4.20       5.87     15416.00
2018 04 19 02 48 08 541       0.63       1.99      -0.98    -291.80     -20.80       4.20       5.90     15524.00
2018 04 19 02 49 08 541       0.59       2.14      -0.97    -291.80     -20.90       4.20       5.83     15406.00
2018 04 19 02 49 55 785       0.71       2.12      -1.01    -292.70     -20.87       4.20       5.86     15222.00
2018 04 19 02 50 57 198       0.72       2.07      -0.97    -292.60     -20.85       4.20       5.87     15450.00
2018 04 19 02 51 58 613       0.80       2.01      -0.96    -292.50     -20.82       4.20       5.93     15243.00
2018 04 19 02 53 07 120       0.88       1.96      -0.90    -291.90     -20.80       4.20       5.99     15492.00
2018 04 19 02 54 01 403       1.36       0.76      -0.71    -296.60      45.00     -11.00       6.73     16100.00
2018 04 19 02 55 27 717       1.46       0.92      -0.42    -294.70      14.50      -4.60       6.71     16099.00
2018 04 19 02 55 55 907       1.52       0.83       0.15    -297.00      42.60     -10.70       6.62     15787.00
2018 04 19 02 57 26 324       1.42       1.01      -0.25    -294.80      12.70      -5.40       6.44     15947.00
2018 04 19 02 59 01 445       0.52       2.11      -1.04    -292.30     -20.70       4.20       6.21     15086.00
2018 04 19 03 00 31 414       0.69       1.96      -0.98    -290.20     -20.70       4.20       6.26     14896.00
