Sym-H and AL  obtained from Kyoto WDC for SWPC Event 6.  Units in nT.
year mo dy hr mn sc msc dst_sm AL
2011 08 05 04 00 00 000  -13.00  -127.00
2011 08 05 04 01 00 000  -13.00  -133.00
2011 08 05 04 02 00 000  -14.00  -118.00
2011 08 05 04 03 00 000  -14.00  -120.00
2011 08 05 04 04 00 000  -14.00  -121.00
2011 08 05 04 05 00 000  -14.00  -122.00
2011 08 05 04 06 00 000  -14.00  -128.00
2011 08 05 04 07 00 000  -14.00  -106.00
2011 08 05 04 08 00 000  -14.00  -103.00
2011 08 05 04 09 00 000  -14.00  -113.00
2011 08 05 04 10 00 000  -14.00  -116.00
2011 08 05 04 11 00 000  -13.00  -112.00
2011 08 05 04 12 00 000  -13.00  -115.00
2011 08 05 04 13 00 000  -14.00  -113.00
2011 08 05 04 14 00 000  -14.00  -110.00
2011 08 05 04 15 00 000  -14.00  -106.00
2011 08 05 04 16 00 000  -14.00   -97.00
2011 08 05 04 17 00 000  -15.00   -91.00
2011 08 05 04 18 00 000  -15.00   -95.00
2011 08 05 04 19 00 000  -15.00   -93.00
2011 08 05 04 20 00 000  -15.00   -93.00
2011 08 05 04 21 00 000  -15.00  -100.00
2011 08 05 04 22 00 000  -15.00  -110.00
2011 08 05 04 23 00 000  -15.00  -106.00
2011 08 05 04 24 00 000  -16.00   -92.00
2011 08 05 04 25 00 000  -16.00   -95.00
2011 08 05 04 26 00 000  -17.00  -105.00
2011 08 05 04 27 00 000  -17.00  -101.00
2011 08 05 04 28 00 000  -17.00   -85.00
2011 08 05 04 29 00 000  -17.00   -78.00
2011 08 05 04 30 00 000  -17.00   -78.00
2011 08 05 04 31 00 000  -17.00   -72.00
2011 08 05 04 32 00 000  -17.00   -70.00
2011 08 05 04 33 00 000  -17.00   -70.00
2011 08 05 04 34 00 000  -16.00   -70.00
2011 08 05 04 35 00 000  -17.00   -74.00
2011 08 05 04 36 00 000  -16.00   -76.00
2011 08 05 04 37 00 000  -16.00   -76.00
2011 08 05 04 38 00 000  -16.00   -78.00
2011 08 05 04 39 00 000  -17.00   -80.00
2011 08 05 04 40 00 000  -17.00   -76.00
