Sym-H and AL  obtained from Kyoto WDC for SWPC Event 5.  Units in nT.
year mo dy hr mn sc msc dst_sm AL
2010 04 04 21 05 00 000  -13.00   -66.00
2010 04 04 21 06 00 000  -13.00   -61.00
2010 04 04 21 07 00 000  -13.00   -56.00
2010 04 04 21 08 00 000  -13.00   -48.00
2010 04 04 21 09 00 000  -13.00   -42.00
2010 04 04 21 10 00 000  -12.00   -41.00
2010 04 04 21 11 00 000  -12.00   -37.00
2010 04 04 21 12 00 000  -12.00   -32.00
2010 04 04 21 13 00 000  -12.00   -25.00
2010 04 04 21 14 00 000  -13.00   -24.00
2010 04 04 21 15 00 000  -13.00   -25.00
2010 04 04 21 16 00 000  -13.00   -28.00
2010 04 04 21 17 00 000  -12.00   -27.00
2010 04 04 21 18 00 000  -12.00   -30.00
2010 04 04 21 19 00 000  -12.00   -31.00
2010 04 04 21 20 00 000  -13.00   -26.00
2010 04 04 21 21 00 000  -13.00   -20.00
2010 04 04 21 22 00 000  -13.00   -15.00
2010 04 04 21 23 00 000  -14.00   -16.00
2010 04 04 21 24 00 000  -14.00   -15.00
2010 04 04 21 25 00 000  -14.00   -12.00
2010 04 04 21 26 00 000  -14.00   -16.00
2010 04 04 21 27 00 000  -14.00    -8.00
2010 04 04 21 28 00 000  -13.00    -8.00
2010 04 04 21 29 00 000  -13.00    -7.00
2010 04 04 21 30 00 000  -12.00    -7.00
2010 04 04 21 31 00 000  -13.00    -6.00
2010 04 04 21 32 00 000  -13.00    -4.00
2010 04 04 21 33 00 000  -14.00    -6.00
2010 04 04 21 34 00 000  -13.00    -5.00
2010 04 04 21 35 00 000  -13.00    -7.00
2010 04 04 21 36 00 000  -14.00    -8.00
2010 04 04 21 37 00 000  -13.00   -13.00
2010 04 04 21 38 00 000  -12.00   -19.00
2010 04 04 21 39 00 000  -12.00   -36.00
2010 04 04 21 40 00 000  -12.00   -25.00
2010 04 04 21 41 00 000  -11.00   -17.00
2010 04 04 21 42 00 000  -12.00   -15.00
2010 04 04 21 43 00 000  -12.00   -13.00
2010 04 04 21 44 00 000  -12.00   -11.00
2010 04 04 21 45 00 000  -12.00   -12.00
2010 04 04 21 46 00 000  -12.00   -16.00
2010 04 04 21 47 00 000  -12.00   -17.00
2010 04 04 21 48 00 000  -11.00   -25.00
2010 04 04 21 49 00 000  -11.00   -42.00
2010 04 04 21 50 00 000  -10.00   -57.00
2010 04 04 21 51 00 000   -9.00   -72.00
2010 04 04 21 52 00 000   -9.00   -86.00
2010 04 04 21 53 00 000   -8.00  -100.00
2010 04 04 21 54 00 000   -9.00  -109.00
2010 04 04 21 55 00 000  -10.00  -118.00
2010 04 04 21 56 00 000  -10.00  -131.00
2010 04 04 21 57 00 000  -10.00  -137.00
2010 04 04 21 58 00 000  -11.00  -140.00
2010 04 04 21 59 00 000  -11.00  -145.00
2010 04 04 22 00 00 000  -12.00  -149.00
2010 04 04 22 01 00 000  -12.00  -155.00
2010 04 04 22 02 00 000  -13.00  -153.00
2010 04 04 22 03 00 000  -13.00  -152.00
2010 04 04 22 04 00 000  -13.00  -158.00
2010 04 04 22 05 00 000  -13.00  -156.00
2010 04 04 22 06 00 000  -13.00  -152.00
2010 04 04 22 07 00 000  -13.00  -158.00
2010 04 04 22 08 00 000  -14.00  -172.00
2010 04 04 22 09 00 000  -15.00  -186.00
2010 04 04 22 10 00 000  -15.00  -190.00
2010 04 04 22 11 00 000  -15.00  -180.00
2010 04 04 22 12 00 000  -16.00  -187.00
2010 04 04 22 13 00 000  -15.00  -224.00
2010 04 04 22 14 00 000  -15.00  -251.00
2010 04 04 22 15 00 000  -16.00  -288.00
2010 04 04 22 16 00 000  -16.00  -315.00
2010 04 04 22 17 00 000  -17.00  -357.00
2010 04 04 22 18 00 000  -17.00  -370.00
2010 04 04 22 19 00 000  -17.00  -378.00
2010 04 04 22 20 00 000  -16.00  -393.00
2010 04 04 22 21 00 000  -16.00  -401.00
2010 04 04 22 22 00 000  -17.00  -404.00
2010 04 04 22 23 00 000  -17.00  -429.00
2010 04 04 22 24 00 000  -17.00  -438.00
2010 04 04 22 25 00 000  -17.00  -448.00
2010 04 04 22 26 00 000  -18.00  -449.00
2010 04 04 22 27 00 000  -18.00  -456.00
2010 04 04 22 28 00 000  -18.00  -462.00
2010 04 04 22 29 00 000  -19.00  -440.00
2010 04 04 22 30 00 000  -18.00  -474.00
2010 04 04 22 31 00 000  -19.00  -508.00
2010 04 04 22 32 00 000  -19.00  -496.00
2010 04 04 22 33 00 000  -19.00  -507.00
2010 04 04 22 34 00 000  -20.00  -554.00
2010 04 04 22 35 00 000  -20.00  -564.00
2010 04 04 22 36 00 000  -20.00  -566.00
2010 04 04 22 37 00 000  -21.00  -573.00
2010 04 04 22 38 00 000  -21.00  -585.00
2010 04 04 22 39 00 000  -22.00  -605.00
2010 04 04 22 40 00 000  -23.00  -566.00
2010 04 04 22 41 00 000  -23.00  -574.00
2010 04 04 22 42 00 000  -23.00  -597.00
2010 04 04 22 43 00 000  -24.00  -606.00
2010 04 04 22 44 00 000  -25.00  -613.00
2010 04 04 22 45 00 000  -25.00  -592.00
2010 04 04 22 46 00 000  -24.00  -603.00
2010 04 04 22 47 00 000  -25.00  -645.00
2010 04 04 22 48 00 000  -25.00  -691.00
2010 04 04 22 49 00 000  -25.00  -717.00
2010 04 04 22 50 00 000  -24.00  -766.00
2010 04 04 22 51 00 000  -24.00  -795.00
2010 04 04 22 52 00 000  -24.00  -797.00
2010 04 04 22 53 00 000  -23.00  -785.00
2010 04 04 22 54 00 000  -23.00  -825.00
2010 04 04 22 55 00 000  -23.00  -801.00
2010 04 04 22 56 00 000  -23.00  -706.00
2010 04 04 22 57 00 000  -23.00  -620.00
2010 04 04 22 58 00 000  -23.00  -629.00
2010 04 04 22 59 00 000  -23.00  -605.00
2010 04 04 23 00 00 000  -24.00  -597.00
2010 04 04 23 01 00 000  -24.00  -614.00
2010 04 04 23 02 00 000  -24.00  -692.00
2010 04 04 23 03 00 000  -24.00  -817.00
2010 04 04 23 04 00 000  -24.00  -891.00
2010 04 04 23 05 00 000  -24.00  -836.00
2010 04 04 23 06 00 000  -24.00  -776.00
2010 04 04 23 07 00 000  -23.00  -796.00
2010 04 04 23 08 00 000  -23.00  -815.00
2010 04 04 23 09 00 000  -23.00  -784.00
2010 04 04 23 10 00 000  -23.00  -747.00
2010 04 04 23 11 00 000  -23.00  -763.00
2010 04 04 23 12 00 000  -23.00  -751.00
2010 04 04 23 13 00 000  -23.00  -705.00
2010 04 04 23 14 00 000  -23.00  -681.00
2010 04 04 23 15 00 000  -23.00  -638.00
2010 04 04 23 16 00 000  -23.00  -624.00
2010 04 04 23 17 00 000  -23.00  -627.00
2010 04 04 23 18 00 000  -23.00  -642.00
2010 04 04 23 19 00 000  -22.00  -666.00
2010 04 04 23 20 00 000  -22.00  -668.00
2010 04 04 23 21 00 000  -22.00  -666.00
2010 04 04 23 22 00 000  -22.00  -626.00
2010 04 04 23 23 00 000  -22.00  -606.00
2010 04 04 23 24 00 000  -22.00  -597.00
2010 04 04 23 25 00 000  -22.00  -568.00
2010 04 04 23 26 00 000  -22.00  -537.00
2010 04 04 23 27 00 000  -21.00  -507.00
2010 04 04 23 28 00 000  -21.00  -507.00
2010 04 04 23 29 00 000  -21.00  -496.00
2010 04 04 23 30 00 000  -22.00  -492.00
2010 04 04 23 31 00 000  -22.00  -476.00
2010 04 04 23 32 00 000  -22.00  -457.00
2010 04 04 23 33 00 000  -22.00  -439.00
2010 04 04 23 34 00 000  -22.00  -452.00
2010 04 04 23 35 00 000  -23.00  -491.00
2010 04 04 23 36 00 000  -23.00  -489.00
2010 04 04 23 37 00 000  -23.00  -472.00
2010 04 04 23 38 00 000  -23.00  -464.00
2010 04 04 23 39 00 000  -24.00  -445.00
2010 04 04 23 40 00 000  -24.00  -406.00
2010 04 04 23 41 00 000  -24.00  -404.00
2010 04 04 23 42 00 000  -24.00  -414.00
2010 04 04 23 43 00 000  -24.00  -421.00
2010 04 04 23 44 00 000  -25.00  -428.00
2010 04 04 23 45 00 000  -26.00  -428.00
2010 04 04 23 46 00 000  -26.00  -428.00
2010 04 04 23 47 00 000  -26.00  -434.00
2010 04 04 23 48 00 000  -27.00  -434.00
2010 04 04 23 49 00 000  -27.00  -449.00
2010 04 04 23 50 00 000  -27.00  -441.00
2010 04 04 23 51 00 000  -27.00  -434.00
2010 04 04 23 52 00 000  -27.00  -442.00
2010 04 04 23 53 00 000  -27.00  -440.00
2010 04 04 23 54 00 000  -28.00  -422.00
2010 04 04 23 55 00 000  -28.00  -446.00
2010 04 04 23 56 00 000  -28.00  -459.00
2010 04 04 23 57 00 000  -28.00  -401.00
2010 04 04 23 58 00 000  -28.00  -414.00
2010 04 04 23 59 00 000  -28.00  -441.00
2010 04 05 00 00 00 000  -28.00  -456.00
2010 04 05 00 01 00 000  -28.00  -440.00
2010 04 05 00 02 00 000  -29.00  -414.00
2010 04 05 00 03 00 000  -28.00  -395.00
2010 04 05 00 04 00 000  -29.00  -379.00
2010 04 05 00 05 00 000  -29.00  -357.00
2010 04 05 00 06 00 000  -29.00  -349.00
2010 04 05 00 07 00 000  -29.00  -375.00
2010 04 05 00 08 00 000  -29.00  -373.00
2010 04 05 00 09 00 000  -30.00  -353.00
2010 04 05 00 10 00 000  -30.00  -346.00
2010 04 05 00 11 00 000  -30.00  -339.00
2010 04 05 00 12 00 000  -30.00  -333.00
2010 04 05 00 13 00 000  -31.00  -349.00
2010 04 05 00 14 00 000  -30.00  -359.00
2010 04 05 00 15 00 000  -29.00  -361.00
2010 04 05 00 16 00 000  -29.00  -358.00
2010 04 05 00 17 00 000  -28.00  -334.00
2010 04 05 00 18 00 000  -28.00  -314.00
2010 04 05 00 19 00 000  -28.00  -296.00
2010 04 05 00 20 00 000  -28.00  -291.00
2010 04 05 00 21 00 000  -28.00  -280.00
2010 04 05 00 22 00 000  -28.00  -259.00
2010 04 05 00 23 00 000  -28.00  -250.00
2010 04 05 00 24 00 000  -27.00  -247.00
2010 04 05 00 25 00 000  -27.00  -242.00
2010 04 05 00 26 00 000  -27.00  -229.00
2010 04 05 00 27 00 000  -27.00  -225.00
2010 04 05 00 28 00 000  -26.00  -219.00
2010 04 05 00 29 00 000  -27.00  -216.00
2010 04 05 00 30 00 000  -26.00  -215.00
2010 04 05 00 31 00 000  -26.00  -204.00
2010 04 05 00 32 00 000  -26.00  -194.00
2010 04 05 00 33 00 000  -26.00  -192.00
2010 04 05 00 34 00 000  -25.00  -179.00
2010 04 05 00 35 00 000  -25.00  -157.00
2010 04 05 00 36 00 000  -25.00  -144.00
2010 04 05 00 37 00 000  -25.00  -139.00
2010 04 05 00 38 00 000  -25.00  -137.00
2010 04 05 00 39 00 000  -25.00  -137.00
2010 04 05 00 40 00 000  -25.00  -128.00
2010 04 05 00 41 00 000  -25.00  -134.00
2010 04 05 00 42 00 000  -25.00  -138.00
2010 04 05 00 43 00 000  -24.00  -141.00
2010 04 05 00 44 00 000  -24.00  -141.00
2010 04 05 00 45 00 000  -23.00  -130.00
2010 04 05 00 46 00 000  -23.00  -120.00
2010 04 05 00 47 00 000  -24.00  -113.00
2010 04 05 00 48 00 000  -24.00  -110.00
2010 04 05 00 49 00 000  -23.00  -118.00
2010 04 05 00 50 00 000  -24.00  -116.00
2010 04 05 00 51 00 000  -23.00  -108.00
2010 04 05 00 52 00 000  -23.00  -119.00
2010 04 05 00 53 00 000  -22.00  -123.00
2010 04 05 00 54 00 000  -22.00  -113.00
2010 04 05 00 55 00 000  -21.00  -106.00
2010 04 05 00 56 00 000  -21.00  -102.00
2010 04 05 00 57 00 000  -21.00  -103.00
2010 04 05 00 58 00 000  -22.00  -108.00
2010 04 05 00 59 00 000  -22.00  -104.00
2010 04 05 01 00 00 000  -22.00  -118.00
2010 04 05 01 01 00 000  -21.00  -133.00
2010 04 05 01 02 00 000  -21.00  -146.00
2010 04 05 01 03 00 000  -20.00  -149.00
2010 04 05 01 04 00 000  -19.00  -143.00
2010 04 05 01 05 00 000  -19.00  -124.00
2010 04 05 01 06 00 000  -18.00  -109.00
2010 04 05 01 07 00 000  -18.00  -113.00
2010 04 05 01 08 00 000  -18.00  -133.00
2010 04 05 01 09 00 000  -18.00  -113.00
2010 04 05 01 10 00 000  -18.00  -139.00
2010 04 05 01 11 00 000  -18.00  -158.00
2010 04 05 01 12 00 000  -18.00  -165.00
2010 04 05 01 13 00 000  -17.00  -173.00
2010 04 05 01 14 00 000  -18.00  -174.00
2010 04 05 01 15 00 000  -17.00  -161.00
2010 04 05 01 16 00 000  -17.00  -149.00
2010 04 05 01 17 00 000  -17.00  -159.00
2010 04 05 01 18 00 000  -17.00  -164.00
2010 04 05 01 19 00 000  -17.00  -167.00
2010 04 05 01 20 00 000  -17.00  -179.00
2010 04 05 01 21 00 000  -17.00  -185.00
2010 04 05 01 22 00 000  -17.00  -188.00
2010 04 05 01 23 00 000  -17.00  -191.00
2010 04 05 01 24 00 000  -17.00  -193.00
2010 04 05 01 25 00 000  -18.00  -185.00
2010 04 05 01 26 00 000  -18.00  -171.00
2010 04 05 01 27 00 000  -18.00  -159.00
2010 04 05 01 28 00 000  -18.00  -152.00
2010 04 05 01 29 00 000  -18.00  -152.00
2010 04 05 01 30 00 000  -18.00  -156.00
2010 04 05 01 31 00 000  -19.00  -151.00
2010 04 05 01 32 00 000  -19.00  -147.00
2010 04 05 01 33 00 000  -19.00  -143.00
2010 04 05 01 34 00 000  -19.00  -145.00
2010 04 05 01 35 00 000  -20.00  -154.00
2010 04 05 01 36 00 000  -20.00  -155.00
2010 04 05 01 37 00 000  -20.00  -151.00
2010 04 05 01 38 00 000  -20.00  -164.00
2010 04 05 01 39 00 000  -20.00  -173.00
2010 04 05 01 40 00 000  -20.00  -174.00
2010 04 05 01 41 00 000  -20.00  -160.00
2010 04 05 01 42 00 000  -20.00  -152.00
2010 04 05 01 43 00 000  -20.00  -151.00
2010 04 05 01 44 00 000  -20.00  -159.00
2010 04 05 01 45 00 000  -21.00  -173.00
2010 04 05 01 46 00 000  -21.00  -183.00
2010 04 05 01 47 00 000  -21.00  -199.00
2010 04 05 01 48 00 000  -20.00  -211.00
2010 04 05 01 49 00 000  -21.00  -218.00
2010 04 05 01 50 00 000  -21.00  -201.00
2010 04 05 01 51 00 000  -21.00  -206.00
2010 04 05 01 52 00 000  -21.00  -222.00
2010 04 05 01 53 00 000  -21.00  -227.00
2010 04 05 01 54 00 000  -21.00  -230.00
2010 04 05 01 55 00 000  -21.00  -219.00
2010 04 05 01 56 00 000  -21.00  -201.00
2010 04 05 01 57 00 000  -20.00  -194.00
2010 04 05 01 58 00 000  -19.00  -183.00
2010 04 05 01 59 00 000  -18.00  -151.00
2010 04 05 02 00 00 000  -17.00  -160.00
2010 04 05 02 01 00 000  -17.00  -173.00
2010 04 05 02 02 00 000  -17.00  -177.00
2010 04 05 02 03 00 000  -17.00  -177.00
2010 04 05 02 04 00 000  -17.00  -153.00
2010 04 05 02 05 00 000  -17.00  -124.00
2010 04 05 02 06 00 000  -17.00  -103.00
2010 04 05 02 07 00 000  -16.00   -94.00
2010 04 05 02 08 00 000  -16.00   -99.00
2010 04 05 02 09 00 000  -15.00  -117.00
2010 04 05 02 10 00 000  -16.00  -127.00
2010 04 05 02 11 00 000  -17.00  -128.00
2010 04 05 02 12 00 000  -17.00  -133.00
2010 04 05 02 13 00 000  -17.00  -127.00
2010 04 05 02 14 00 000  -17.00  -124.00
2010 04 05 02 15 00 000  -17.00  -128.00
2010 04 05 02 16 00 000  -17.00  -159.00
2010 04 05 02 17 00 000  -17.00  -197.00
2010 04 05 02 18 00 000  -17.00  -212.00
2010 04 05 02 19 00 000  -17.00  -194.00
2010 04 05 02 20 00 000  -17.00  -190.00
2010 04 05 02 21 00 000  -17.00  -189.00
2010 04 05 02 22 00 000  -18.00  -185.00
2010 04 05 02 23 00 000  -18.00  -181.00
2010 04 05 02 24 00 000  -18.00  -179.00
2010 04 05 02 25 00 000  -18.00  -164.00
2010 04 05 02 26 00 000  -17.00  -174.00
2010 04 05 02 27 00 000  -17.00  -207.00
2010 04 05 02 28 00 000  -17.00  -183.00
2010 04 05 02 29 00 000  -17.00  -156.00
2010 04 05 02 30 00 000  -16.00  -142.00
2010 04 05 02 31 00 000  -16.00  -133.00
2010 04 05 02 32 00 000  -16.00  -137.00
2010 04 05 02 33 00 000  -16.00  -132.00
2010 04 05 02 34 00 000  -16.00  -133.00
2010 04 05 02 35 00 000  -17.00  -123.00
2010 04 05 02 36 00 000  -17.00  -108.00
2010 04 05 02 37 00 000  -17.00  -114.00
2010 04 05 02 38 00 000  -18.00  -106.00
2010 04 05 02 39 00 000  -18.00  -104.00
2010 04 05 02 40 00 000  -18.00   -81.00
2010 04 05 02 41 00 000  -18.00   -84.00
2010 04 05 02 42 00 000  -18.00   -94.00
2010 04 05 02 43 00 000  -18.00  -106.00
2010 04 05 02 44 00 000  -18.00  -120.00
2010 04 05 02 45 00 000  -18.00  -111.00
2010 04 05 02 46 00 000  -18.00   -90.00
2010 04 05 02 47 00 000  -18.00  -101.00
2010 04 05 02 48 00 000  -17.00   -96.00
2010 04 05 02 49 00 000  -18.00  -104.00
2010 04 05 02 50 00 000  -17.00   -92.00
2010 04 05 02 51 00 000  -18.00   -82.00
2010 04 05 02 52 00 000  -18.00   -70.00
