Corrected IMF based on L1.dat
yr mo dy hr mn sc ms bx by bz ux uy uz rho T
 1998  7  7  1 33 39 920      -0.48      -4.75       0.35    -522.59     -28.06     -13.54       2.41     20498.47
 1998  7  7  1 34 41 618      -0.52      -4.78       0.27    -522.15     -27.24     -12.31       2.50     17134.07
 1998  7  7  1 35 39 866      -0.64      -4.76       0.27    -522.60     -26.94     -11.87       2.62     14489.04
 1998  7  7  1 36 34 623      -0.92      -4.69       0.13    -523.96     -27.44     -13.49       2.76     16261.96
 1998  7  7  1 37 28 215      -1.04      -4.68       0.19    -525.63     -27.00     -13.63       2.96     15323.70
 1998  7  7  1 38 30 805      -0.84      -4.74       0.21    -524.96     -26.69     -13.20       2.71     19139.70
 1998  7  7  1 39 31 978      -1.13      -4.73       0.25    -524.65     -26.60     -11.91       2.71     14184.57
 1998  7  7  1 40 30 230       0.20      -4.80       0.36    -525.11     -26.46     -13.96       2.43     18798.61
 1998  7  7  1 42 23 251       0.44      -4.77       0.56    -511.61     -26.74     -10.57       2.51     16595.94
 1998  7  7  1 43 17 187       0.28      -4.83       0.52    -513.12     -26.29      -8.15       2.56     13071.04
 1998  7  7  1 44  5 368       0.51      -4.80       0.57    -516.09     -27.43      -9.64       2.58     15038.03
 1998  7  7  1 45 11  16       0.43      -4.82       0.44    -514.67     -27.38      -8.61       2.66     14817.64
 1998  7  7  1 46  0  48       0.50      -4.78       0.51    -517.43     -26.94      -9.80       2.64     14000.40
 1998  7  7  1 47  8 822       0.70      -4.78       0.49    -515.22     -27.81      -9.20       2.48     12960.69
 1998  7  7  1 48  7 757       0.58      -4.80       0.53    -515.49     -27.69      -9.75       2.49     14507.48
 1998  7  7  1 49  9 769       0.71      -4.80       0.51    -514.98     -28.23      -8.15       2.47     14841.91
 1998  7  7  1 50  6 364       0.59      -4.79       0.50    -515.84     -27.92      -8.77       2.61     14567.21
 1998  7  7  1 51  3 733       0.77      -4.77       0.65    -516.50     -27.73      -8.79       2.66     14931.26
 1998  7  7  1 51 59 480       0.77      -4.79       0.63    -517.58     -28.00      -6.78       2.61     14393.22
 1998  7  7  1 52 55 210       0.62      -4.79       0.63    -518.66     -27.71      -7.22       2.67     14057.20
 1998  7  7  1 54  3 519       0.49      -4.82       0.63    -516.55     -27.42      -8.81       2.56     15042.00
 1998  7  7  1 55  1 792       0.34      -4.88       0.47    -516.99     -27.05      -8.14       2.38     14673.65
 1998  7  7  1 56  1 630       0.01      -4.89       0.49    -517.03     -28.47      -7.42       2.34     16407.32
 1998  7  7  1 56 45 630       0.23      -4.89       0.64    -521.12     -28.52     -12.20       2.46     12685.20
 1998  7  7  1 58  8 926       0.56      -4.88       0.44    -515.19     -30.09      -9.31       2.08     12611.70
 1998  7  7  1 58 54 959       0.44      -4.91       0.40    -518.73     -29.23      -6.46       2.30     14305.95
 1998  7  7  2  0 13 438       0.67      -4.85       0.12    -514.06     -31.09      -9.34       2.21     14288.77
 1998  7  7  2  0 51 168       0.10      -4.91       0.25    -519.70     -28.50     -10.06       2.70     13867.04
 1998  7  7  2  1 47 470       0.18      -4.85       0.43    -520.64     -29.66     -10.82       2.40     17465.20
 1998  7  7  2  2 54 429       0.38      -4.83       0.41    -518.86     -26.65     -10.25       2.59     15412.78
 1998  7  7  2  4  5 555       0.53      -4.80       0.37    -516.04     -26.55      -7.11       2.63     14224.36
 1998  7  7  2  5  6 550       0.47      -4.82       0.39    -515.79     -26.93      -7.29       2.73     14899.01
 1998  7  7  2  6  6 110       0.41      -4.83       0.28    -515.90     -26.79      -7.96       2.79     15767.64
 1998  7  7  2  7  8 926       0.46      -4.81       0.38    -515.19     -26.75      -7.36       2.75     16457.35
 1998  7  7  2  8 14 169       0.60      -4.76       0.63    -513.88     -26.94      -7.24       2.74     16424.27
 1998  7  7  2  9 14 453       0.16      -4.83       0.37    -513.80     -26.95      -7.39       2.74     16796.82
 1998  7  7  2 10  8 914       0.19      -4.85       0.24    -515.19     -26.28      -6.93       2.75     17868.74
 1998  7  7  2 11 13  10       0.23      -4.83       0.12    -514.17     -25.92      -6.40       2.80     16489.00
 1998  7  7  2 12  6 915      -0.27      -4.83       0.32    -515.70     -25.68      -6.13       2.78     16542.60
 1998  7  7  2 13 23 251      -0.28      -4.88       0.18    -511.61     -24.93      -5.58       2.68     16741.07
 1998  7  7  2 14 21 957      -0.03      -4.85       0.30    -511.94     -25.29      -7.37       2.61     20356.32
 1998  7  7  2 15 19 953      -0.37      -4.88       0.13    -512.43     -25.85      -8.65       2.94     15693.02
 1998  7  7  2 16 21 184      -0.24      -4.88       0.16    -512.13     -24.10      -7.90       2.77     18247.35
 1998  7  7  2 17 33 554      -0.26      -4.85       0.20    -509.07     -23.78      -7.48       2.80     15800.73
 1998  7  7  2 18 30 394      -0.37      -4.93       0.18    -509.85     -22.46      -8.20       2.77     18998.18
 1998  7  7  2 19 37 651      -0.47      -4.94      -0.14    -508.07     -22.46      -6.97       2.96     15602.70
 1998  7  7  2 20 41 465      -0.56      -5.01      -0.39    -507.14     -21.09      -7.00       2.54     15368.09
 1998  7  7  2 21 41 506      -0.46      -5.01      -0.36    -507.13     -20.30      -4.78       2.76     11457.67
 1998  7  7  2 22 39 837      -0.66      -4.98      -0.26    -507.53     -20.12      -4.98       2.69      9803.84
 1998  7  7  2 23 49 487      -0.57      -4.95      -0.72    -505.19     -19.86      -5.80       2.78      9434.17
 1998  7  7  2 24 56 559      -0.53      -4.90      -0.59    -503.49     -19.87      -4.29       3.14      8724.15
 1998  7  7  2 25 46 287      -0.96      -4.92      -0.38    -505.96     -19.83      -2.17       3.12      9537.80
 1998  7  7  2 26 44  67      -0.84      -4.97      -0.18    -506.50     -19.28      -0.62       3.07      9085.03
 1998  7  7  2 27 52 590      -0.98      -4.95      -0.30    -504.44     -19.02      -0.87       2.83      8929.13
 1998  7  7  2 28 43 700      -0.71      -4.89      -0.67    -506.59     -19.02       0.20       3.40      8444.28
 1998  7  7  2 29 47 500      -0.84      -4.86      -0.54    -505.67     -18.81      -3.04       3.10     10759.88
 1998  7  7  2 30 48 417      -0.94      -4.91      -0.42    -505.45     -21.12      -4.20       3.83     10914.38
 1998  7  7  2 31 39 161      -1.10      -4.88      -0.60    -507.70     -20.28      -4.50       3.05     12525.86
 1998  7  7  2 32 40 870      -1.17      -4.89      -0.57    -507.28     -19.34      -5.34       3.48     10223.28
 1998  7  7  2 33 45 458      -1.34      -4.89      -0.49    -506.17     -18.98      -6.62       2.75     10538.51
 1998  7  7  2 34 45 166      -1.44      -4.88      -0.67    -506.24     -19.97      -6.57       3.16      8682.06
 1998  7  7  2 35 55 930      -1.19      -4.95      -0.44    -503.64     -18.43      -4.22       2.67      8339.68
 1998  7  7  2 37  4 538      -1.27      -4.81      -1.06    -501.58     -18.88      -1.64       3.16      9206.38
 1998  7  7  2 38  1 656      -1.52      -4.86      -0.46    -502.26     -18.54      -2.17       3.02     10177.09
 1998  7  7  2 38 55 136      -1.58      -4.73      -1.09    -503.83     -17.77      -4.73       2.94     10095.61
 1998  7  7  2 39 52  96      -1.85      -4.74      -0.66    -504.56     -17.89      -6.36       3.12      9514.92
 1998  7  7  2 40 51 400      -1.73      -4.74      -1.25    -504.73     -18.47      -6.83       3.08      9112.97
 1998  7  7  2 41 52 818      -1.90      -4.59      -1.31    -504.39     -18.69      -7.07       3.00      9859.38
 1998  7  7  2 42 55 485      -1.85      -4.51      -1.50    -503.74     -18.78      -7.46       3.13     11144.36
 1998  7  7  2 43 58 539      -0.20      -5.21      -0.20    -503.01     -18.74      -7.22       3.44     10967.10
 1998  7  7  2 45  9 598       0.05      -5.23       0.13    -500.37     -16.81      -3.42       3.08     13258.93
 1998  7  7  2 45 51 752      -0.15      -5.18      -0.04    -504.64     -20.41      -7.30       3.85      9038.64
 1998  7  7  2 46 53 648       0.05      -5.12       0.07    -504.19     -19.52      -6.48       3.00      9459.60
 1998  7  7  2 47 49 384      -0.09      -5.16       0.05    -505.21     -18.94      -8.03       3.63      8633.55
 1998  7  7  2 48 49  61      -0.12      -5.14      -0.04    -505.29     -19.57      -9.50       3.20      9273.53
 1998  7  7  2 49 40 710       0.02      -5.13      -0.19    -507.32     -21.07     -13.08       3.90      7199.51
 1998  7  7  2 50 47 946      -1.04      -4.73      -1.16    -505.56     -21.36     -12.21       3.39      8892.75
 1998  7  7  2 51 33  16      -0.48      -5.00      -0.55    -509.20     -22.00     -16.42       4.15      7688.07
 1998  7  7  2 52 44 598      -0.23      -5.05       0.09    -506.38     -21.80     -12.75       4.27      9385.07
 1998  7  7  2 53 56 263       0.51      -5.12       0.32    -503.56     -20.88      -9.66       3.83      8534.63
 1998  7  7  2 55 18 196       0.73      -4.92       0.94    -498.34     -19.52      -4.35       3.70      8286.70
 1998  7  7  2 56 13 137       0.27      -5.05       0.48    -499.54     -19.56      -3.61       4.00      8666.43
 1998  7  7  2 57  5 239      -0.50      -5.17      -0.14    -501.41     -18.77      -5.74       3.73      8891.48
