Sym-H and AL  obtained from Kyoto WDC for SWPC Event 7.  Units in nT.
year mo dy hr mn sc msc dst_sm AL
1998 07 07 02 38 00 000  -19.00   -49.00
1998 07 07 02 39 00 000  -19.00   -47.00
1998 07 07 02 40 00 000  -18.00   -47.00
1998 07 07 02 41 00 000  -18.00   -48.00
1998 07 07 02 42 00 000  -18.00   -50.00
1998 07 07 02 43 00 000  -18.00   -52.00
1998 07 07 02 44 00 000  -19.00   -49.00
1998 07 07 02 45 00 000  -19.00   -45.00
1998 07 07 02 46 00 000  -19.00   -45.00
1998 07 07 02 47 00 000  -19.00   -43.00
1998 07 07 02 48 00 000  -19.00   -43.00
1998 07 07 02 49 00 000  -19.00   -42.00
1998 07 07 02 50 00 000  -19.00   -41.00
1998 07 07 02 51 00 000  -19.00   -60.00
1998 07 07 02 52 00 000  -19.00   -68.00
1998 07 07 02 53 00 000  -20.00   -51.00
1998 07 07 02 54 00 000  -19.00   -44.00
1998 07 07 02 55 00 000  -18.00   -44.00
1998 07 07 02 56 00 000  -19.00   -49.00
1998 07 07 02 57 00 000  -19.00   -55.00
1998 07 07 02 58 00 000  -19.00   -61.00
1998 07 07 02 59 00 000  -19.00   -57.00
1998 07 07 03 00 00 000  -20.00   -59.00
1998 07 07 03 01 00 000  -19.00   -60.00
1998 07 07 03 02 00 000  -19.00   -52.00
1998 07 07 03 03 00 000  -19.00   -52.00
1998 07 07 03 04 00 000  -18.00   -54.00
1998 07 07 03 05 00 000  -17.00   -68.00
1998 07 07 03 06 00 000  -17.00   -74.00
1998 07 07 03 07 00 000  -18.00   -75.00
1998 07 07 03 08 00 000  -18.00   -75.00
1998 07 07 03 09 00 000  -19.00   -69.00
1998 07 07 03 10 00 000  -20.00   -75.00
1998 07 07 03 11 00 000  -21.00   -69.00
1998 07 07 03 12 00 000  -22.00   -48.00
1998 07 07 03 13 00 000  -23.00   -51.00
1998 07 07 03 14 00 000  -23.00   -58.00
1998 07 07 03 15 00 000  -23.00   -53.00
1998 07 07 03 16 00 000  -23.00   -43.00
1998 07 07 03 17 00 000  -22.00   -45.00
1998 07 07 03 18 00 000  -21.00   -51.00
1998 07 07 03 19 00 000  -21.00   -56.00
1998 07 07 03 20 00 000  -20.00   -73.00
1998 07 07 03 21 00 000  -19.00   -82.00
1998 07 07 03 22 00 000  -18.00   -85.00
1998 07 07 03 23 00 000  -18.00   -90.00
1998 07 07 03 24 00 000  -18.00   -93.00
1998 07 07 03 25 00 000  -19.00   -97.00
1998 07 07 03 26 00 000  -20.00   -90.00
1998 07 07 03 27 00 000  -21.00   -81.00
1998 07 07 03 28 00 000  -21.00   -71.00
1998 07 07 03 29 00 000  -22.00   -64.00
1998 07 07 03 30 00 000  -22.00   -64.00
1998 07 07 03 31 00 000  -22.00   -70.00
1998 07 07 03 32 00 000  -23.00   -68.00
1998 07 07 03 33 00 000  -23.00   -65.00
1998 07 07 03 34 00 000  -23.00   -62.00
1998 07 07 03 35 00 000  -23.00   -63.00
1998 07 07 03 36 00 000  -23.00   -65.00
1998 07 07 03 37 00 000  -23.00   -66.00
1998 07 07 03 38 00 000  -23.00   -68.00
1998 07 07 03 39 00 000  -23.00   -64.00
1998 07 07 03 40 00 000  -23.00   -63.00
1998 07 07 03 41 00 000  -23.00   -64.00
1998 07 07 03 42 00 000  -24.00   -62.00
1998 07 07 03 43 00 000  -24.00   -61.00
1998 07 07 03 44 00 000  -24.00   -59.00
1998 07 07 03 45 00 000  -24.00   -53.00
1998 07 07 03 46 00 000  -24.00   -50.00
1998 07 07 03 47 00 000  -24.00   -52.00
1998 07 07 03 48 00 000  -25.00   -54.00
1998 07 07 03 49 00 000  -24.00   -58.00
1998 07 07 03 50 00 000  -24.00   -63.00
1998 07 07 03 51 00 000  -25.00   -64.00
1998 07 07 03 52 00 000  -25.00   -63.00
1998 07 07 03 53 00 000  -25.00   -67.00
1998 07 07 03 54 00 000  -25.00   -73.00
1998 07 07 03 55 00 000  -25.00   -71.00
1998 07 07 03 56 00 000  -25.00   -61.00
1998 07 07 03 57 00 000  -25.00   -49.00
1998 07 07 03 58 00 000  -24.00   -43.00
1998 07 07 03 59 00 000  -24.00   -45.00
1998 07 07 04 00 00 000  -24.00   -51.00
1998 07 07 04 01 00 000  -23.00   -59.00
1998 07 07 04 02 00 000  -24.00   -59.00
1998 07 07 04 03 00 000  -24.00   -54.00
1998 07 07 04 04 00 000  -25.00   -47.00
1998 07 07 04 05 00 000  -25.00   -48.00
1998 07 07 04 06 00 000  -26.00   -57.00
1998 07 07 04 07 00 000  -26.00   -71.00
1998 07 07 04 08 00 000  -26.00   -80.00
1998 07 07 04 09 00 000  -26.00   -78.00
1998 07 07 04 10 00 000  -27.00   -71.00
1998 07 07 04 11 00 000  -27.00   -61.00
1998 07 07 04 12 00 000  -28.00   -57.00
1998 07 07 04 13 00 000  -28.00   -54.00
