Sym-H and AL  obtained from Kyoto WDC for SWPC Event 4.  Units in nT.
year mo dy hr mn sc msc dst_sm AL
2005 08 31 05 00 00 000   13.00   -61.00
2005 08 31 05 01 00 000   12.00   -64.00
2005 08 31 05 02 00 000   12.00   -62.00
2005 08 31 05 03 00 000   11.00   -66.00
2005 08 31 05 04 00 000   11.00   -70.00
2005 08 31 05 05 00 000   11.00   -67.00
2005 08 31 05 06 00 000   11.00   -66.00
2005 08 31 05 07 00 000   11.00   -75.00
2005 08 31 05 08 00 000   11.00   -78.00
2005 08 31 05 09 00 000   11.00   -75.00
2005 08 31 05 10 00 000   11.00   -77.00
2005 08 31 05 11 00 000   11.00   -79.00
2005 08 31 05 12 00 000   12.00   -80.00
2005 08 31 05 13 00 000   12.00   -82.00
2005 08 31 05 14 00 000   12.00   -88.00
2005 08 31 05 15 00 000   12.00   -93.00
2005 08 31 05 16 00 000   12.00   -97.00
2005 08 31 05 17 00 000   12.00   -98.00
2005 08 31 05 18 00 000   12.00   -99.00
2005 08 31 05 19 00 000   12.00  -100.00
2005 08 31 05 20 00 000   12.00   -94.00
2005 08 31 05 21 00 000   13.00   -88.00
2005 08 31 05 22 00 000   13.00   -84.00
2005 08 31 05 23 00 000   13.00   -87.00
2005 08 31 05 24 00 000   13.00   -87.00
2005 08 31 05 25 00 000   14.00   -91.00
2005 08 31 05 26 00 000   13.00   -94.00
2005 08 31 05 27 00 000   13.00   -99.00
2005 08 31 05 28 00 000   14.00  -103.00
2005 08 31 05 29 00 000   13.00  -106.00
2005 08 31 05 30 00 000   13.00  -105.00
2005 08 31 05 31 00 000   13.00  -108.00
2005 08 31 05 32 00 000   13.00  -107.00
2005 08 31 05 33 00 000   13.00  -106.00
2005 08 31 05 34 00 000   13.00  -102.00
2005 08 31 05 35 00 000   13.00   -98.00
2005 08 31 05 36 00 000   12.00   -97.00
2005 08 31 05 37 00 000   12.00   -97.00
2005 08 31 05 38 00 000   12.00  -101.00
2005 08 31 05 39 00 000   12.00  -104.00
2005 08 31 05 40 00 000   12.00   -97.00
2005 08 31 05 41 00 000   12.00   -93.00
2005 08 31 05 42 00 000   12.00   -90.00
2005 08 31 05 43 00 000   13.00   -91.00
2005 08 31 05 44 00 000   13.00  -100.00
2005 08 31 05 45 00 000   13.00  -100.00
2005 08 31 05 46 00 000   13.00   -97.00
2005 08 31 05 47 00 000   13.00   -94.00
2005 08 31 05 48 00 000   12.00   -93.00
2005 08 31 05 49 00 000   12.00   -87.00
2005 08 31 05 50 00 000   12.00   -86.00
2005 08 31 05 51 00 000   11.00   -82.00
2005 08 31 05 52 00 000   10.00   -77.00
2005 08 31 05 53 00 000   10.00   -77.00
2005 08 31 05 54 00 000    9.00   -78.00
2005 08 31 05 55 00 000    9.00   -76.00
2005 08 31 05 56 00 000    9.00   -74.00
2005 08 31 05 57 00 000    9.00   -75.00
2005 08 31 05 58 00 000    8.00   -77.00
2005 08 31 05 59 00 000    8.00   -75.00
2005 08 31 06 00 00 000    7.00   -73.00
2005 08 31 06 01 00 000    7.00   -75.00
2005 08 31 06 02 00 000    6.00   -81.00
2005 08 31 06 03 00 000    6.00   -74.00
2005 08 31 06 04 00 000    6.00   -54.00
2005 08 31 06 05 00 000    7.00   -44.00
2005 08 31 06 06 00 000    8.00   -36.00
2005 08 31 06 07 00 000    8.00   -37.00
2005 08 31 06 08 00 000    9.00   -38.00
2005 08 31 06 09 00 000   10.00   -33.00
2005 08 31 06 10 00 000   11.00   -35.00
2005 08 31 06 11 00 000   13.00   -35.00
2005 08 31 06 12 00 000   14.00   -40.00
2005 08 31 06 13 00 000   14.00   -46.00
2005 08 31 06 14 00 000   14.00   -44.00
2005 08 31 06 15 00 000   13.00   -50.00
2005 08 31 06 16 00 000   12.00   -45.00
2005 08 31 06 17 00 000   12.00   -53.00
2005 08 31 06 18 00 000   11.00   -69.00
2005 08 31 06 19 00 000   11.00   -88.00
2005 08 31 06 20 00 000   12.00   -91.00
2005 08 31 06 21 00 000   13.00   -93.00
2005 08 31 06 22 00 000   13.00  -102.00
2005 08 31 06 23 00 000   14.00  -110.00
2005 08 31 06 24 00 000   15.00  -106.00
2005 08 31 06 25 00 000   15.00  -100.00
2005 08 31 06 26 00 000   15.00   -96.00
2005 08 31 06 27 00 000   15.00   -97.00
2005 08 31 06 28 00 000   15.00  -106.00
2005 08 31 06 29 00 000   15.00  -115.00
2005 08 31 06 30 00 000   15.00  -105.00
2005 08 31 06 31 00 000   15.00   -86.00
2005 08 31 06 32 00 000   15.00   -77.00
2005 08 31 06 33 00 000   15.00   -77.00
2005 08 31 06 34 00 000   15.00   -79.00
2005 08 31 06 35 00 000   14.00   -82.00
2005 08 31 06 36 00 000   14.00   -83.00
2005 08 31 06 37 00 000   15.00   -86.00
