Sym-H and AL  obtained from Kyoto WDC for SWPC Event 10.  Units in nT.
year mo dy hr mn sc msc dst_sm AL
1999 07 02 02 13 00 000   -4.00   -78.00
1999 07 02 02 14 00 000   -3.00   -74.00
1999 07 02 02 15 00 000   -4.00   -69.00
1999 07 02 02 16 00 000   -4.00   -63.00
1999 07 02 02 17 00 000   -4.00   -60.00
1999 07 02 02 18 00 000   -4.00   -59.00
1999 07 02 02 19 00 000   -5.00   -57.00
1999 07 02 02 20 00 000   -6.00   -62.00
1999 07 02 02 21 00 000   -6.00   -61.00
1999 07 02 02 22 00 000   -5.00   -54.00
1999 07 02 02 23 00 000   -5.00   -57.00
1999 07 02 02 24 00 000   -6.00   -64.00
1999 07 02 02 25 00 000   -7.00   -69.00
1999 07 02 02 26 00 000   -7.00   -65.00
1999 07 02 02 27 00 000   -6.00   -56.00
1999 07 02 02 28 00 000   -6.00   -50.00
1999 07 02 02 29 00 000   -6.00   -59.00
1999 07 02 02 30 00 000   -6.00   -57.00
1999 07 02 02 31 00 000   -7.00   -59.00
1999 07 02 02 32 00 000   -8.00   -68.00
1999 07 02 02 33 00 000   -8.00   -82.00
1999 07 02 02 34 00 000   -8.00   -90.00
1999 07 02 02 35 00 000   -8.00   -94.00
1999 07 02 02 36 00 000   -7.00   -96.00
1999 07 02 02 37 00 000   -7.00   -84.00
1999 07 02 02 38 00 000   -6.00   -76.00
1999 07 02 02 39 00 000   -6.00   -70.00
1999 07 02 02 40 00 000   -7.00   -68.00
1999 07 02 02 41 00 000   -7.00   -65.00
1999 07 02 02 42 00 000   -6.00   -60.00
1999 07 02 02 43 00 000   -7.00   -55.00
1999 07 02 02 44 00 000   -7.00   -56.00
1999 07 02 02 45 00 000   -7.00   -57.00
1999 07 02 02 46 00 000   -7.00   -58.00
1999 07 02 02 47 00 000   -7.00   -59.00
1999 07 02 02 48 00 000   -7.00   -59.00
1999 07 02 02 49 00 000   -7.00   -58.00
1999 07 02 02 50 00 000   -7.00   -57.00
1999 07 02 02 51 00 000   -8.00   -60.00
1999 07 02 02 52 00 000   -8.00   -63.00
1999 07 02 02 53 00 000   -8.00   -61.00
1999 07 02 02 54 00 000   -8.00   -62.00
1999 07 02 02 55 00 000   -7.00   -62.00
1999 07 02 02 56 00 000   -7.00   -64.00
1999 07 02 02 57 00 000   -7.00   -65.00
1999 07 02 02 58 00 000   -7.00   -65.00
1999 07 02 02 59 00 000   -7.00   -65.00
1999 07 02 03 00 00 000   -7.00   -65.00
1999 07 02 03 01 00 000   -8.00   -66.00
1999 07 02 03 02 00 000   -8.00   -67.00
1999 07 02 03 03 00 000   -8.00   -68.00
1999 07 02 03 04 00 000   -8.00   -69.00
1999 07 02 03 05 00 000   -8.00   -71.00
1999 07 02 03 06 00 000   -8.00   -73.00
1999 07 02 03 07 00 000   -8.00   -75.00
1999 07 02 03 08 00 000   -8.00   -77.00
1999 07 02 03 09 00 000   -9.00   -77.00
1999 07 02 03 10 00 000   -8.00   -75.00
1999 07 02 03 11 00 000   -9.00   -74.00
1999 07 02 03 12 00 000   -9.00   -76.00
1999 07 02 03 13 00 000   -9.00   -78.00
1999 07 02 03 14 00 000   -9.00   -77.00
1999 07 02 03 15 00 000   -8.00   -75.00
1999 07 02 03 16 00 000   -8.00   -72.00
1999 07 02 03 17 00 000   -8.00   -70.00
1999 07 02 03 18 00 000   -8.00   -68.00
1999 07 02 03 19 00 000   -8.00   -66.00
1999 07 02 03 20 00 000   -8.00   -67.00
1999 07 02 03 21 00 000   -8.00   -66.00
1999 07 02 03 22 00 000   -7.00   -63.00
1999 07 02 03 23 00 000   -7.00   -69.00
1999 07 02 03 24 00 000   -7.00   -72.00
1999 07 02 03 25 00 000   -7.00   -73.00
1999 07 02 03 26 00 000   -7.00   -75.00
1999 07 02 03 27 00 000   -7.00   -77.00
1999 07 02 03 28 00 000   -6.00   -81.00
1999 07 02 03 29 00 000   -5.00   -85.00
1999 07 02 03 30 00 000   -6.00  -107.00
1999 07 02 03 31 00 000   -6.00  -112.00
1999 07 02 03 32 00 000   -6.00  -108.00
1999 07 02 03 33 00 000   -6.00  -103.00
1999 07 02 03 34 00 000   -6.00   -92.00
1999 07 02 03 35 00 000   -6.00   -97.00
1999 07 02 03 36 00 000   -6.00   -87.00
1999 07 02 03 37 00 000   -6.00   -94.00
1999 07 02 03 38 00 000   -6.00   -98.00
1999 07 02 03 39 00 000   -7.00   -96.00
1999 07 02 03 40 00 000   -7.00   -92.00
1999 07 02 03 41 00 000   -7.00   -91.00
1999 07 02 03 42 00 000   -7.00   -87.00
1999 07 02 03 43 00 000   -6.00   -84.00
1999 07 02 03 44 00 000   -6.00   -86.00
1999 07 02 03 45 00 000   -5.00   -81.00
1999 07 02 03 46 00 000   -5.00   -68.00
